"beruf","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1985","Staedtischer Raum","1909","0.154667051827597","0.147040915297148","0.162293188358047"
"Angestellte, einfache Tätigkeiten","1985","Laendlicher Raum","444","0.147281540712351","0.133010930228119","0.161552151196583"
"Angestellte, qualifizierte Tätigkeiten","1985","Staedtischer Raum","2122","0.251199820579736","0.242052699949176","0.260346941210297"
"Angestellte, qualifizierte Tätigkeiten","1985","Laendlicher Raum","498","0.195203954697216","0.179243223501683","0.211164685892749"
"Arbeitslose","1985","Staedtischer Raum","380","0.0367159803958848","0.0327495803299063","0.0406823804618633"
"Arbeitslose","1985","Laendlicher Raum","123","0.0471846372271597","0.038646360106031","0.0557229143482883"
"Beamte","1985","Staedtischer Raum","342","0.0454881432603015","0.0410934198924359","0.0498828666281671"
"Beamte","1985","Laendlicher Raum","125","0.0518083076515705","0.0428832025996852","0.0607334127034558"
"In Ausbildung","1985","Staedtischer Raum","865","0.0951220270151601","0.0889343543548314","0.101309699675489"
"In Ausbildung","1985","Laendlicher Raum","232","0.0969207079811628","0.0850072786901865","0.108834137272139"
"In Rente oder Pension","1985","Staedtischer Raum","1187","0.224431584140227","0.215632371377459","0.233230796902995"
"In Rente oder Pension","1985","Laendlicher Raum","405","0.247680275856287","0.23029776552781","0.265062786184764"
"Selbstständige/ManagerInnen","1985","Staedtischer Raum","438","0.0527320010813663","0.0480182642369133","0.0574457379258193"
"Selbstständige/ManagerInnen","1985","Laendlicher Raum","171","0.0724810653328638","0.0620401340665779","0.0829219965991497"
"Sonstige Nichterwerbspersonen","1985","Staedtischer Raum","1393","0.139643391699727","0.132332990400929","0.146953792998525"
"Sonstige Nichterwerbspersonen","1985","Laendlicher Raum","371","0.14143951054139","0.127406967521013","0.155472053561766"
"Angestellte, einfache Tätigkeiten","1986","Staedtischer Raum","1829","0.15003673814707","0.14235784310955","0.157715633184589"
"Angestellte, einfache Tätigkeiten","1986","Laendlicher Raum","436","0.14943086225834","0.134722738583626","0.164138985933053"
"Angestellte, qualifizierte Tätigkeiten","1986","Staedtischer Raum","2041","0.255954556468312","0.246570707474943","0.26533840546168"
"Angestellte, qualifizierte Tätigkeiten","1986","Laendlicher Raum","480","0.202979970385288","0.186386259398543","0.219573681372034"
"Arbeitslose","1986","Staedtischer Raum","349","0.033483800786386","0.0296154861543998","0.0373521154183722"
"Arbeitslose","1986","Laendlicher Raum","112","0.0465727758861065","0.0378793261431688","0.0552662256290441"
"Beamte","1986","Staedtischer Raum","325","0.0445350429809962","0.0400993838264071","0.0489707021355854"
"Beamte","1986","Laendlicher Raum","122","0.0526926635018294","0.0434753822882665","0.0619099447153923"
"In Ausbildung","1986","Staedtischer Raum","873","0.0933145503378488","0.0870599026168505","0.0995691980588471"
"In Ausbildung","1986","Laendlicher Raum","221","0.0906147223176522","0.078771888015274","0.10245755662003"
"In Rente oder Pension","1986","Staedtischer Raum","1144","0.229077998300788","0.220041571040142","0.238114425561434"
"In Rente oder Pension","1986","Laendlicher Raum","370","0.242086906036719","0.224415233041022","0.259758579032416"
"Selbstständige/ManagerInnen","1986","Staedtischer Raum","430","0.0531120172374056","0.0482898135834066","0.0579342208914046"
"Selbstständige/ManagerInnen","1986","Laendlicher Raum","162","0.0736175468621499","0.0628437658854165","0.0843913278388833"
"Sonstige Nichterwerbspersonen","1986","Staedtischer Raum","1317","0.140485295741194","0.133013208437546","0.147957383044843"
"Sonstige Nichterwerbspersonen","1986","Laendlicher Raum","354","0.142004552751915","0.127604106937912","0.156404998565919"
"Angestellte, einfache Tätigkeiten","1987","Staedtischer Raum","1808","0.154849424200558","0.147022264807153","0.162676583593962"
"Angestellte, einfache Tätigkeiten","1987","Laendlicher Raum","474","0.169534032294031","0.15393958218364","0.185128482404421"
"Angestellte, qualifizierte Tätigkeiten","1987","Staedtischer Raum","2019","0.260380561489014","0.250885653235584","0.269875469742444"
"Angestellte, qualifizierte Tätigkeiten","1987","Laendlicher Raum","474","0.206258892894784","0.189442746595904","0.223075039193665"
