year,sampreg,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Full Time,0.33862,5630,12171,0.33022,0.34703
1984,West,Part Time,0.12523,1887,12171,0.11935,0.13111
1984,West,Not Working,0.36269,4654,12171,0.35415,0.37123
1985,West,Full Time,0.33514,4950,11026,0.32633,0.34395
1985,West,Part Time,0.13587,1858,11026,0.12948,0.14227
1985,West,Not Working,0.36762,4218,11026,0.35862,0.37662
1986,West,Full Time,0.34197,4836,10585,0.33293,0.35100
1986,West,Part Time,0.13630,1822,10585,0.12976,0.14284
1986,West,Not Working,0.35924,3927,10585,0.35010,0.36838
1987,West,Full Time,0.35079,4871,10455,0.34164,0.35994
1987,West,Part Time,0.13839,1809,10455,0.13177,0.14500
1987,West,Not Working,0.34606,3775,10455,0.33694,0.35518
1988,West,Full Time,0.34751,4580,9972,0.33816,0.35685
1988,West,Part Time,0.14571,1845,9972,0.13878,0.15263
1988,West,Not Working,0.34214,3547,9972,0.33283,0.35145
1989,West,Full Time,0.35611,4539,9664,0.34656,0.36565
1989,West,Part Time,0.13837,1708,9664,0.13148,0.14525
1989,West,Not Working,0.34233,3417,9664,0.33286,0.35179
1990,West,Full Time,0.35960,4424,9463,0.34993,0.36927
1990,West,Part Time,0.14526,1726,9463,0.13816,0.15236
1990,West,Not Working,0.32886,3313,9463,0.31939,0.33833
1991,West,Full Time,0.35446,4416,9409,0.34479,0.36412
1991,West,Part Time,0.14686,1752,9409,0.13971,0.15402
1991,West,Not Working,0.32430,3241,9409,0.31484,0.33376
1992,West,Full Time,0.35625,4398,9341,0.34654,0.36596
1992,West,Part Time,0.14615,1740,9341,0.13899,0.15332
1992,West,Not Working,0.32422,3203,9341,0.31473,0.33372
1992,East,Full Time,0.40604,2181,3976,0.39077,0.42131
1992,East,Part Time,0.14728,762,3976,0.13627,0.15830
1992,East,Not Working,0.26044,1033,3976,0.24680,0.27409
1993,West,Full Time,0.35353,4310,9274,0.34380,0.36326
1993,West,Part Time,0.15036,1805,9274,0.14308,0.15763
1993,West,Not Working,0.32219,3159,9274,0.31267,0.33170
