year,bula_h,sampreg,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,West,Yes,0.78596,294,361,0.74359,0.82833
2001,Schleswig-Holstein,West,No,0.20995,67,361,0.16788,0.25202
2001,Hamburg,West,Yes,0.65921,119,179,0.58957,0.72884
2001,Hamburg,West,No,0.33079,60,179,0.26167,0.39991
2001,Lower Saxony,West,Yes,0.76498,752,948,0.73797,0.79199
2001,Lower Saxony,West,No,0.22052,196,948,0.19411,0.24693
2001,Bremen,West,Yes,0.75195,74,74,0.65288,0.85103
2001,North Rhine-Westphalia,West,Yes,0.75187,1864,2463,0.73481,0.76893
2001,North Rhine-Westphalia,West,No,0.23588,599,2463,0.21911,0.25265
2001,Hesse,West,Yes,0.78729,614,773,0.75842,0.81615
2001,Hesse,West,No,0.19800,159,773,0.16989,0.22611
2001,"Rhineland-Palatinate, Saarland",West,Yes,0.76446,546,709,0.73320,0.79572
2001,"Rhineland-Palatinate, Saarland",West,No,0.22317,163,709,0.19250,0.25384
2001,Baden-Wuerttemberg,West,Yes,0.77880,1042,1350,0.75665,0.80095
2001,Baden-Wuerttemberg,West,No,0.20755,308,1350,0.18591,0.22919
2001,Bavaria,West,Yes,0.82045,1332,1599,0.80163,0.83927
2001,Bavaria,West,No,0.16618,267,1599,0.14792,0.18443
2001,Berlin,West,Yes,0.65609,176,270,0.59933,0.71286
2001,Berlin,West,No,0.33807,94,270,0.28154,0.39460
2001,Berlin,East,Yes,0.68996,138,209,0.62711,0.75282
2001,Berlin,East,No,0.30420,71,209,0.24167,0.36672
2001,Brandenburg,East,Yes,0.77714,375,497,0.74051,0.81376
2001,Brandenburg,East,No,0.21584,122,497,0.17963,0.25204
2001,Mecklenburg-Western Pomerania,East,Yes,0.77752,217,283,0.72898,0.82606
2001,Mecklenburg-Western Pomerania,East,No,0.21660,66,283,0.16852,0.26467
2001,Saxony,East,Yes,0.78895,658,843,0.76139,0.81651
2001,Saxony,East,No,0.20120,185,843,0.17413,0.22828
2001,Saxony-Anhalt,East,Yes,0.71002,354,501,0.67024,0.74979
2001,Saxony-Anhalt,East,No,0.28112,147,501,0.24172,0.32053
2001,Thuringa,East,Yes,0.75605,371,490,0.71798,0.79411
2001,Thuringa,East,No,0.23622,119,490,0.19857,0.27387
2003,Schleswig-Holstein,West,Yes,0.66551,265,365,0.61704,0.71398
2003,Schleswig-Holstein,West,No,0.31838,100,365,0.27052,0.36624
2003,Hamburg,West,Yes,0.64102,123,182,0.57113,0.71091
2003,Hamburg,West,No,0.35898,59,182,0.28909,0.42887
2003,Lower Saxony,West,Yes,0.69622,727,971,0.66728,0.72516
2003,Lower Saxony,West,No,0.28639,244,971,0.25794,0.31484
2003,Bremen,West,Yes,0.73176,76,76,0.63149,0.83203
2003,North Rhine-Westphalia,West,Yes,0.71752,1841,2473,0.69977,0.73527
2003,North Rhine-Westphalia,West,No,0.26793,632,2473,0.25047,0.28539
2003,Hesse,West,Yes,0.68977,582,799,0.65767,0.72187
2003,Hesse,West,No,0.30182,217,799,0.26997,0.33367
