year,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.09304,1366,12139,0.08787,0.09821
1984,West,No,0.73155,10773,12139,0.72366,0.73943
1985,West,Yes,0.09480,1254,11005,0.08933,0.10028
1985,West,No,0.74223,9751,11005,0.73406,0.75041
1986,West,Yes,0.10289,1291,10554,0.09709,0.10868
1986,West,No,0.73190,9263,10554,0.72344,0.74035
1987,West,Yes,0.10372,1234,10420,0.09787,0.10957
1987,West,No,0.72788,9186,10420,0.71934,0.73643
1988,West,Yes,0.10460,1201,9938,0.09858,0.11062
1988,West,No,0.72745,8737,9938,0.71870,0.73621
1989,West,Yes,0.10282,1145,9630,0.09675,0.10889
1989,West,No,0.73139,8485,9630,0.72254,0.74024
1991,West,Yes,0.10973,1169,9378,0.10340,0.11606
1991,West,No,0.71242,8209,9378,0.70326,0.72158
1992,West,Yes,0.10521,1118,9303,0.09898,0.11145
1992,West,No,0.71708,8185,9303,0.70793,0.72624
1992,East,Yes,0.07940,365,3958,0.07098,0.08783
1992,East,No,0.73044,3593,3958,0.71662,0.74427
1994,West,Yes,0.11005,1105,9063,0.10361,0.11650
1994,West,No,0.70848,7958,9063,0.69912,0.71784
1994,East,Yes,0.09067,392,3770,0.08150,0.09983
1994,East,No,0.72647,3378,3770,0.71224,0.74071
1995,West,Yes,0.10428,1139,9540,0.09815,0.11041
1995,West,No,0.71106,8401,9540,0.70196,0.72016
1995,East,Yes,0.09807,428,3675,0.08845,0.10768
1995,East,No,0.72217,3247,3675,0.70769,0.73666
1996,West,Yes,0.10396,1136,9326,0.09776,0.11015
1996,West,No,0.71163,8190,9326,0.70243,0.72082
1996,East,Yes,0.10995,452,3678,0.09984,0.12006
1996,East,No,0.71750,3226,3678,0.70295,0.73205
1997,West,Yes,0.10517,1128,9151,0.09889,0.11146
1997,West,No,0.71160,8023,9151,0.70232,0.72089
1997,East,Yes,0.10572,421,3626,0.09571,0.11573
1997,East,No,0.72910,3205,3626,0.71463,0.74357
1998,West,Yes,0.10367,1250,10358,0.09780,0.10954
1998,West,No,0.71783,9108,10358,0.70917,0.72650
1998,East,Yes,0.11012,483,3860,0.10024,0.11999
1998,East,No,0.72565,3377,3860,0.71157,0.73973
1999,West,Yes,0.10600,1190,9875,0.09993,0.11207
1999,West,No,0.71630,8685,9875,0.70740,0.72519
1999,East,Yes,0.11367,479,3779,0.10355,0.12380
1999,East,No,0.73052,3300,3779,0.71637,0.74467
2000,West,Yes,0.09832,2142,18218,0.09399,0.10264
2000,West,No,0.72229,16076,18218,0.71579,0.72880
2000,East,Yes,0.10805,713,5836,0.10009,0.11602
2000,East,No,0.73802,5123,5836,0.72674,0.74930
2001,West,Yes,0.10225,1979,16432,0.09761,0.10688
2001,West,No,0.71703,14453,16432,0.71014,0.72392
2001,East,Yes,0.10422,642,5420,0.09609,0.11236
2001,East,No,0.75055,4778,5420,0.73903,0.76208
2002,West,Yes,0.10202,2052,17557,0.09755,0.10650
2002,West,No,0.71914,15505,17557,0.71250,0.72579
2002,East,Yes,0.11251,648,5422,0.10410,0.12092
2002,East,No,0.75035,4774,5422,0.73883,0.76187
2003,West,Yes,0.09998,1960,16754,0.09544,0.10453
2003,West,No,0.72060,14794,16754,0.71380,0.72739
2003,East,Yes,0.11406,656,5330,0.10552,0.12259
2003,East,No,0.75114,4674,5330,0.73953,0.76275
2004,West,Yes,0.10469,1951,16333,0.10000,0.10939
2004,West,No,0.72091,14382,16333,0.71403,0.72779
2004,East,Yes,0.11351,625,5217,0.10490,0.12212
2004,East,No,0.75772,4592,5217,0.74609,0.76935
2005,West,Yes,0.09458,1669,15612,0.08999,0.09917
2005,West,No,0.73644,13943,15612,0.72953,0.74335
2005,East,Yes,0.11398,611,5013,0.10518,0.12277
2005,East,No,0.75027,4402,5013,0.73828,0.76225
2006,West,Yes,0.09973,1896,16664,0.09518,0.10428
2006,West,No,0.72548,14768,16664,0.71870,0.73225
2006,East,Yes,0.11741,656,5265,0.10871,0.12610
2006,East,No,0.74736,4609,5265,0.73562,0.75910
2007,West,Yes,0.10032,1805,15459,0.09558,0.10505
2007,West,No,0.72316,13654,15459,0.71611,0.73021
2007,East,Yes,0.11120,630,4993,0.10247,0.11992
2007,East,No,0.75871,4363,4993,0.74684,0.77058
2008,West,Yes,0.09360,1640,14502,0.08886,0.09834
