year,age_gr,pgisced97,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Pre-primary Level,"Yes, definitely",0.66597,152,152,0.59074,0.74120
1994,17-29 y.,Lower Secondary Level,"No, definitely not",0.03487,36,258,0.01244,0.05730
1994,17-29 y.,Lower Secondary Level,Probably,0.07425,50,258,0.04219,0.10630
1994,17-29 y.,Lower Secondary Level,"Yes, definitely",0.23653,172,258,0.18457,0.28848
1994,17-29 y.,Upper Secondary Level,"No, definitely not",0.01985,38,461,0.00711,0.03260
1994,17-29 y.,Upper Secondary Level,Probably,0.03981,72,461,0.02194,0.05767
1994,17-29 y.,Upper Secondary Level,"Yes, definitely",0.21776,351,461,0.18004,0.25547
1994,17-29 y.,Post-secondary Non-tertiary Level,"Yes, definitely",0.26421,53,53,0.14437,0.38405
1994,30-45 y.,Lower Secondary Level,"No, definitely not",0.13664,48,135,0.07848,0.19479
1994,30-45 y.,Lower Secondary Level,Probably,0.11191,48,135,0.05853,0.16529
1994,30-45 y.,Lower Secondary Level,"Yes, definitely",0.07965,39,135,0.03381,0.12550
1994,30-45 y.,Upper Secondary Level,"No, definitely not",0.04411,98,489,0.02589,0.06233
1994,30-45 y.,Upper Secondary Level,Probably not,0.02567,50,489,0.01164,0.03970
1994,30-45 y.,Upper Secondary Level,Probably,0.05310,116,489,0.03320,0.07299
1994,30-45 y.,Upper Secondary Level,"Yes, definitely",0.09189,225,489,0.06626,0.11752
1994,30-45 y.,Second Stage of Tertiary Education,"Yes, definitely",0.05968,46,46,-0.00954,0.12889
1994,46-65 y.,Primary Level,"No, definitely not",0.45247,121,121,0.36341,0.54152
1994,46-65 y.,Lower Secondary Level,"No, definitely not",0.51048,387,387,0.46061,0.56035
1994,46-65 y.,Upper Secondary Level,"No, definitely not",0.33632,635,824,0.30404,0.36860
1994,46-65 y.,Upper Secondary Level,Probably not,0.02681,51,824,0.01577,0.03784
1994,46-65 y.,Upper Secondary Level,Probably,0.01904,46,824,0.00970,0.02837
1994,46-65 y.,Upper Secondary Level,"Yes, definitely",0.04303,92,824,0.02916,0.05689
1994,46-65 y.,First Stage of Tertiary Education,"No, definitely not",0.30044,67,67,0.18983,0.41104
1994,46-65 y.,Second Stage of Tertiary Education,"No, definitely not",0.19216,105,105,0.11644,0.26788
1994,66 and older,Lower Secondary Level,"No, definitely not",0.96151,453,453,0.94377,0.97924
1994,66 and older,Upper Secondary Level,"No, definitely not",0.95570,713,713,0.94059,0.97081
1994,66 and older,First Stage of Tertiary Education,"No, definitely not",0.90714,82,82,0.84394,0.97035
1994,66 and older,Second Stage of Tertiary Education,"No, definitely not",0.91787,120,120,0.86853,0.96720
1995,17-29 y.,Pre-primary Level,"No, definitely not",0.14936,42,231,0.10329,0.19543
1995,17-29 y.,Pre-primary Level,"Yes, definitely",0.63903,189,231,0.57696,0.70110
1995,17-29 y.,Lower Secondary Level,"No, definitely not",0.03654,34,229,0.01219,0.06090
1995,17-29 y.,Lower Secondary Level,Probably,0.05650,45,229,0.02653,0.08647
1995,17-29 y.,Lower Secondary Level,"Yes, definitely",0.20226,150,229,0.15012,0.25440
1995,17-29 y.,Upper Secondary Level,"No, definitely not",0.01997,37,453,0.00708,0.03287
1995,17-29 y.,Upper Secondary Level,Probably,0.04682,74,453,0.02734,0.06629
1995,17-29 y.,Upper Secondary Level,"Yes, definitely",0.21397,342,453,0.17617,0.25178
1995,17-29 y.,Post-secondary Non-tertiary Level,"Yes, definitely",0.28645,47,47,0.15580,0.41710
1995,30-45 y.,Lower Secondary Level,"No, definitely not",0.10930,47,143,0.05798,0.16062
1995,30-45 y.,Lower Secondary Level,Probably,0.13226,46,143,0.07654,0.18798
1995,30-45 y.,Lower Secondary Level,"Yes, definitely",0.12162,50,143,0.06786,0.17538
1995,30-45 y.,Upper Secondary Level,"No, definitely not",0.04492,103,528,0.02723,0.06260
1995,30-45 y.,Upper Secondary Level,Probably not,0.02225,57,528,0.00966,0.03485
1995,30-45 y.,Upper Secondary Level,Probably,0.04790,126,528,0.02967,0.06614
1995,30-45 y.,Upper Secondary Level,"Yes, definitely",0.09415,242,528,0.06922,0.11908
1995,30-45 y.,Second Stage of Tertiary Education,"Yes, definitely",0.06403,51,51,-0.00383,0.13189
1995,46-65 y.,Primary Level,"No, definitely not",0.40957,119,119,0.32084,0.49830
1995,46-65 y.,Lower Secondary Level,"No, definitely not",0.50748,358,358,0.45562,0.55935
1995,46-65 y.,Upper Secondary Level,"No, definitely not",0.33968,644,833,0.30749,0.37186
1995,46-65 y.,Upper Secondary Level,Probably not,0.02575,55,833,0.01499,0.03652
1995,46-65 y.,Upper Secondary Level,Probably,0.02081,52,833,0.01111,0.03051
1995,46-65 y.,Upper Secondary Level,"Yes, definitely",0.03546,82,833,0.02289,0.04803
1995,46-65 y.,First Stage of Tertiary Education,"No, definitely not",0.28532,60,60,0.17009,0.40055
1995,46-65 y.,Second Stage of Tertiary Education,"No, definitely not",0.17566,94,94,0.09832,0.25300
1995,66 and older,Lower Secondary Level,"No, definitely not",0.96800,467,467,0.95202,0.98398
1995,66 and older,Upper Secondary Level,"No, definitely not",0.94419,709,709,0.92728,0.96110
1995,66 and older,First Stage of Tertiary Education,"No, definitely not",0.90731,76,76,0.84168,0.97295
1995,66 and older,Second Stage of Tertiary Education,"No, definitely not",0.92173,142,142,0.87739,0.96606
1996,17-29 y.,Pre-primary Level,"No, definitely not",0.11189,36,244,0.07226,0.15153
1996,17-29 y.,Pre-primary Level,"Yes, definitely",0.70665,208,244,0.64940,0.76390
1996,17-29 y.,Lower Secondary Level,"No, definitely not",0.04377,33,238,0.01772,0.06982
1996,17-29 y.,Lower Secondary Level,Probably,0.06645,51,238,0.03474,0.09817
1996,17-29 y.,Lower Secondary Level,"Yes, definitely",0.22401,154,238,0.17093,0.27709
1996,17-29 y.,Upper Secondary Level,"No, definitely not",0.02236,41,435,0.00845,0.03627
1996,17-29 y.,Upper Secondary Level,Probably,0.05205,80,435,0.03116,0.07295
1996,17-29 y.,Upper Secondary Level,"Yes, definitely",0.21251,314,435,0.17403,0.25100
1996,17-29 y.,Post-secondary Non-tertiary Level,"Yes, definitely",0.25133,41,41,0.11690,0.38576
1996,30-45 y.,Lower Secondary Level,"No, definitely not",0.08826,37,128,0.03892,0.13760
1996,30-45 y.,Lower Secondary Level,Probably,0.11473,45,128,0.05930,0.17016
1996,30-45 y.,Lower Secondary Level,"Yes, definitely",0.10296,46,128,0.05010,0.15582
1996,30-45 y.,Upper Secondary Level,"No, definitely not",0.03766,101,526,0.02138,0.05395
1996,30-45 y.,Upper Secondary Level,Probably not,0.02192,52,526,0.00940,0.03445
1996,30-45 y.,Upper Secondary Level,Probably,0.05260,125,526,0.03351,0.07170
1996,30-45 y.,Upper Secondary Level,"Yes, definitely",0.09302,248,526,0.06818,0.11787
1996,30-45 y.,Second Stage of Tertiary Education,"Yes, definitely",0.06772,60,60,0.00360,0.13183
1996,46-65 y.,Primary Level,"No, definitely not",0.42817,111,111,0.33570,0.52064
1996,46-65 y.,Lower Secondary Level,"No, definitely not",0.53252,373,373,0.48181,0.58322
1996,46-65 y.,Upper Secondary Level,"No, definitely not",0.33810,642,840,0.30609,0.37011
1996,46-65 y.,Upper Secondary Level,Probably not,0.03419,67,840,0.02190,0.04649
1996,46-65 y.,Upper Secondary Level,Probably,0.01902,50,840,0.00978,0.02827
1996,46-65 y.,Upper Secondary Level,"Yes, definitely",0.03781,81,840,0.02490,0.05071
1996,46-65 y.,First Stage of Tertiary Education,"No, definitely not",0.30699,64,64,0.19309,0.42089
1996,46-65 y.,Second Stage of Tertiary Education,"No, definitely not",0.17105,96,96,0.09533,0.24678
1996,66 and older,Primary Level,"No, definitely not",0.96269,41,41,0.90396,1.02142
1996,66 and older,Lower Secondary Level,"No, definitely not",0.96978,455,455,0.95403,0.98553
1996,66 and older,Upper Secondary Level,"No, definitely not",0.95243,735,735,0.93703,0.96783
1996,66 and older,First Stage of Tertiary Education,"No, definitely not",0.97717,76,76,0.94337,1.01097
1996,66 and older,Second Stage of Tertiary Education,"No, definitely not",0.91330,141,141,0.86669,0.95991
1997,17-29 y.,Pre-primary Level,"No, definitely not",0.11701,42,257,0.07763,0.15638
1997,17-29 y.,Pre-primary Level,"Yes, definitely",0.68552,215,257,0.62864,0.74240
1997,17-29 y.,Lower Secondary Level,Probably,0.06536,48,198,0.03085,0.09988
1997,17-29 y.,Lower Secondary Level,"Yes, definitely",0.22002,150,198,0.16217,0.27787
1997,17-29 y.,Upper Secondary Level,"No, definitely not",0.02557,38,398,0.01004,0.04110
1997,17-29 y.,Upper Secondary Level,Probably,0.06035,77,398,0.03692,0.08377
1997,17-29 y.,Upper Secondary Level,"Yes, definitely",0.20953,283,398,0.16949,0.24956
1997,30-45 y.,Lower Secondary Level,"No, definitely not",0.08631,36,131,0.03803,0.13458
1997,30-45 y.,Lower Secondary Level,Probably,0.08029,40,131,0.03357,0.12700
1997,30-45 y.,Lower Secondary Level,"Yes, definitely",0.12531,55,131,0.06840,0.18223
1997,30-45 y.,Upper Secondary Level,"No, definitely not",0.04242,106,552,0.02559,0.05925
1997,30-45 y.,Upper Secondary Level,Probably not,0.02896,59,552,0.01495,0.04296
1997,30-45 y.,Upper Secondary Level,Probably,0.05581,130,552,0.03664,0.07498
1997,30-45 y.,Upper Secondary Level,"Yes, definitely",0.10373,257,552,0.07827,0.12919
1997,30-45 y.,Second Stage of Tertiary Education,"Yes, definitely",0.05491,49,49,-0.00954,0.11935
1997,46-65 y.,Primary Level,"No, definitely not",0.40857,106,106,0.31455,0.50260
