year,bula_h,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Schleswig-Holstein,Yes,0.30769,301,332,0.25797,0.35741
2012,Schleswig-Holstein,No,0.02320,31,332,0.00698,0.03941
2012,Hamburg,Yes,0.24205,106,106,0.16012,0.32398
2012,Lower Saxony,Yes,0.30006,845,919,0.27041,0.32970
2012,Lower Saxony,No,0.02461,74,919,0.01459,0.03463
2012,Bremen,Yes,0.23227,51,51,0.11522,0.34932
2012,North Rhine-Westphalia,Yes,0.26690,1584,1694,0.24583,0.28797
2012,North Rhine-Westphalia,No,0.01585,110,1694,0.00990,0.02180
2012,Hesse,Yes,0.28695,591,625,0.25145,0.32244
2012,Hesse,No,0.01038,34,625,0.00243,0.01833
2012,"Rhineland-Palatinate, Saarland",Yes,0.24848,468,517,0.21119,0.28577
2012,"Rhineland-Palatinate, Saarland",No,0.03063,49,517,0.01576,0.04550
2012,Baden-Wuerttemberg,Yes,0.24664,928,998,0.21988,0.27340
2012,Baden-Wuerttemberg,No,0.01715,70,998,0.00909,0.02520
2012,Bavaria,Yes,0.27892,1251,1321,0.25473,0.30311
2012,Bavaria,No,0.01283,70,1321,0.00675,0.01890
2012,Berlin,Yes,0.33210,339,339,0.28189,0.38230
2012,Brandenburg,Yes,0.30595,393,393,0.26033,0.35157
2012,Mecklenburg-Western Pomerania,Yes,0.36378,229,229,0.30133,0.42622
2012,Saxony,Yes,0.33222,631,665,0.29639,0.36805
2012,Saxony,No,0.01322,34,665,0.00454,0.02191
2012,Saxony-Anhalt,Yes,0.36408,402,402,0.31699,0.41118
2012,Thuringa,Yes,0.30581,349,349,0.25740,0.35422
2013,Schleswig-Holstein,Yes,0.29019,306,306,0.23925,0.34112
2013,Hamburg,Yes,0.25317,145,145,0.18215,0.32419
2013,Lower Saxony,Yes,0.29738,903,966,0.26854,0.32622
2013,Lower Saxony,No,0.01582,63,966,0.00794,0.02369
2013,Bremen,Yes,0.29077,68,68,0.18203,0.39951
2013,North Rhine-Westphalia,Yes,0.25419,1673,1785,0.23398,0.27439
2013,North Rhine-Westphalia,No,0.01397,112,1785,0.00852,0.01941
2013,Hesse,Yes,0.25459,597,641,0.22084,0.28834
2013,Hesse,No,0.01464,44,641,0.00533,0.02394
2013,"Rhineland-Palatinate, Saarland",Yes,0.26191,492,492,0.22302,0.30081
2013,Baden-Wuerttemberg,Yes,0.25480,955,1028,0.22815,0.28145
