year,quintil_oecd,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Very concerned,0.05377,252,878,0.03884,0.06870
1984,1st Quintile,Somewhat concerned,0.06743,295,878,0.05083,0.08402
1984,1st Quintile,Not concerned at all,0.08649,331,878,0.06789,0.10509
1984,2nd Quintile,Very concerned,0.08080,308,1183,0.06526,0.09633
1984,2nd Quintile,Somewhat concerned,0.12365,425,1183,0.10488,0.14242
1984,2nd Quintile,Not concerned at all,0.13793,450,1183,0.11827,0.15758
1984,3rd Quintile,Very concerned,0.07625,293,1390,0.06229,0.09020
1984,3rd Quintile,Somewhat concerned,0.14093,465,1390,0.12263,0.15923
1984,3rd Quintile,Not concerned at all,0.20942,632,1390,0.18803,0.23082
1984,4th Quintile,Very concerned,0.06527,260,1605,0.05318,0.07736
1984,4th Quintile,Somewhat concerned,0.15314,500,1605,0.13551,0.17076
1984,4th Quintile,Not concerned at all,0.27349,845,1605,0.25167,0.29530
1984,5th Quintile,Very concerned,0.07369,231,1687,0.06122,0.08616
1984,5th Quintile,Somewhat concerned,0.14906,444,1687,0.13206,0.16606
1984,5th Quintile,Not concerned at all,0.36899,1012,1687,0.34595,0.39202
1985,1st Quintile,Very concerned,0.04068,170,851,0.02740,0.05396
1985,1st Quintile,Somewhat concerned,0.08348,336,851,0.06489,0.10208
1985,1st Quintile,Not concerned at all,0.10950,345,851,0.08851,0.13049
1985,2nd Quintile,Very concerned,0.04899,181,1045,0.03590,0.06208
1985,2nd Quintile,Somewhat concerned,0.10599,355,1045,0.08732,0.12467
1985,2nd Quintile,Not concerned at all,0.17417,509,1045,0.15117,0.19718
1985,3rd Quintile,Very concerned,0.05351,199,1263,0.04109,0.06593
1985,3rd Quintile,Somewhat concerned,0.12975,387,1263,0.11121,0.14829
1985,3rd Quintile,Not concerned at all,0.23519,677,1263,0.21179,0.25859
1985,4th Quintile,Very concerned,0.05891,197,1425,0.04668,0.07113
1985,4th Quintile,Somewhat concerned,0.14475,421,1425,0.12648,0.16303
1985,4th Quintile,Not concerned at all,0.30373,807,1425,0.27985,0.32762
1985,5th Quintile,Very concerned,0.04649,128,1510,0.03586,0.05711
1985,5th Quintile,Somewhat concerned,0.14122,374,1510,0.12365,0.15879
1985,5th Quintile,Not concerned at all,0.40218,1008,1510,0.37744,0.42692
1986,1st Quintile,Very concerned,0.03637,155,703,0.02252,0.05022
1986,1st Quintile,Somewhat concerned,0.07785,277,703,0.05803,0.09767
1986,1st Quintile,Not concerned at all,0.08666,271,703,0.06585,0.10747
1986,2nd Quintile,Very concerned,0.05196,198,1014,0.03830,0.06563
1986,2nd Quintile,Somewhat concerned,0.10788,338,1014,0.08877,0.12698
1986,2nd Quintile,Not concerned at all,0.16634,478,1014,0.14340,0.18927
1986,3rd Quintile,Very concerned,0.05409,171,1231,0.04145,0.06673
1986,3rd Quintile,Somewhat concerned,0.12114,386,1231,0.10290,0.13937
1986,3rd Quintile,Not concerned at all,0.25160,674,1231,0.22735,0.27585
1986,4th Quintile,Very concerned,0.06139,204,1462,0.04908,0.07370
1986,4th Quintile,Somewhat concerned,0.14746,429,1462,0.12928,0.16564
1986,4th Quintile,Not concerned at all,0.32149,829,1462,0.29754,0.34544
1986,5th Quintile,Very concerned,0.04936,122,1430,0.03813,0.06059
1986,5th Quintile,Somewhat concerned,0.13857,334,1430,0.12066,0.15648
1986,5th Quintile,Not concerned at all,0.39671,974,1430,0.37134,0.42207
1987,1st Quintile,Very concerned,0.03072,119,695,0.01788,0.04356
1987,1st Quintile,Somewhat concerned,0.08783,290,695,0.06677,0.10889
1987,1st Quintile,Not concerned at all,0.08827,286,695,0.06716,0.10938
1987,2nd Quintile,Very concerned,0.04932,177,1055,0.03624,0.06239
1987,2nd Quintile,Somewhat concerned,0.11995,375,1055,0.10033,0.13956
1987,2nd Quintile,Not concerned at all,0.17967,503,1055,0.15650,0.20285
1987,3rd Quintile,Very concerned,0.03908,142,1233,0.02826,0.04990
1987,3rd Quintile,Somewhat concerned,0.13531,420,1233,0.11621,0.15441
1987,3rd Quintile,Not concerned at all,0.24838,671,1233,0.22426,0.27251
1987,4th Quintile,Very concerned,0.05236,157,1475,0.04099,0.06373
1987,4th Quintile,Somewhat concerned,0.18011,486,1475,0.16050,0.19973
1987,4th Quintile,Not concerned at all,0.32584,832,1475,0.30192,0.34977
1987,5th Quintile,Very concerned,0.04277,116,1468,0.03241,0.05312
1987,5th Quintile,Somewhat concerned,0.15941,403,1468,0.14067,0.17814
1987,5th Quintile,Not concerned at all,0.40510,949,1468,0.37998,0.43022
1988,1st Quintile,Very concerned,0.04319,161,705,0.02817,0.05821
1988,1st Quintile,Somewhat concerned,0.08333,264,705,0.06291,0.10374
1988,1st Quintile,Not concerned at all,0.08553,280,705,0.06487,0.10619
1988,2nd Quintile,Very concerned,0.04805,173,1009,0.03485,0.06125
1988,2nd Quintile,Somewhat concerned,0.11866,371,1009,0.09870,0.13863
1988,2nd Quintile,Not concerned at all,0.15465,465,1009,0.13233,0.17697
1988,3rd Quintile,Very concerned,0.05462,187,1192,0.04172,0.06753
1988,3rd Quintile,Somewhat concerned,0.16268,438,1192,0.14172,0.18364
1988,3rd Quintile,Not concerned at all,0.22727,567,1192,0.20347,0.25108
1988,4th Quintile,Very concerned,0.05429,171,1344,0.04217,0.06641
1988,4th Quintile,Somewhat concerned,0.17388,450,1344,0.15361,0.19415
1988,4th Quintile,Not concerned at all,0.30219,723,1344,0.27763,0.32674
1988,5th Quintile,Very concerned,0.05356,122,1371,0.04163,0.06548
1988,5th Quintile,Somewhat concerned,0.17355,403,1371,0.15350,0.19361
1988,5th Quintile,Not concerned at all,0.39670,846,1371,0.37079,0.42260
1989,1st Quintile,Very concerned,0.03237,118,702,0.01927,0.04547
1989,1st Quintile,Somewhat concerned,0.07426,261,702,0.05485,0.09367
1989,1st Quintile,Not concerned at all,0.10847,323,702,0.08545,0.13149
1989,2nd Quintile,Very concerned,0.03351,116,1023,0.02247,0.04454
1989,2nd Quintile,Somewhat concerned,0.10237,328,1023,0.08378,0.12095
1989,2nd Quintile,Not concerned at all,0.21498,579,1023,0.18979,0.24016
1989,3rd Quintile,Very concerned,0.04063,115,1140,0.02916,0.05209
1989,3rd Quintile,Somewhat concerned,0.13578,358,1140,0.11589,0.15568
1989,3rd Quintile,Not concerned at all,0.27808,667,1140,0.25206,0.30410
1989,4th Quintile,Very concerned,0.02920,94,1343,0.02020,0.03821
1989,4th Quintile,Somewhat concerned,0.15074,388,1343,0.13159,0.16988
1989,4th Quintile,Not concerned at all,0.36641,861,1343,0.34063,0.39219
1989,5th Quintile,Very concerned,0.02658,62,1334,0.01795,0.03522
1989,5th Quintile,Somewhat concerned,0.15169,338,1334,0.13244,0.17095
1989,5th Quintile,Not concerned at all,0.44527,934,1334,0.41859,0.47195
1990,1st Quintile,Very concerned,0.03912,134,688,0.02462,0.05362
1990,1st Quintile,Somewhat concerned,0.07375,237,688,0.05421,0.09329
1990,1st Quintile,Not concerned at all,0.11582,317,688,0.09189,0.13975
1990,2nd Quintile,Very concerned,0.03048,112,979,0.01971,0.04125
1990,2nd Quintile,Somewhat concerned,0.10231,322,979,0.08332,0.12131
1990,2nd Quintile,Not concerned at all,0.22498,545,979,0.19881,0.25115
1990,3rd Quintile,Very concerned,0.05033,140,1144,0.03766,0.06301
1990,3rd Quintile,Somewhat concerned,0.14368,400,1144,0.12334,0.16401
1990,3rd Quintile,Not concerned at all,0.24898,604,1144,0.22391,0.27405
1990,4th Quintile,Very concerned,0.03240,93,1296,0.02276,0.04205
1990,4th Quintile,Somewhat concerned,0.14804,349,1296,0.12870,0.16739
1990,4th Quintile,Not concerned at all,0.38503,854,1296,0.35853,0.41153
1990,5th Quintile,Very concerned,0.02657,59,1306,0.01785,0.03530
1990,5th Quintile,Somewhat concerned,0.15334,338,1306,0.13379,0.17289
1990,5th Quintile,Not concerned at all,0.44026,909,1306,0.41333,0.46719
1991,1st Quintile,Very concerned,0.02939,106,727,0.01711,0.04168
1991,1st Quintile,Somewhat concerned,0.07836,254,727,0.05881,0.09791
1991,1st Quintile,Not concerned at all,0.13117,367,727,0.10661,0.15573
1991,2nd Quintile,Very concerned,0.02479,80,1033,0.01530,0.03428
1991,2nd Quintile,Somewhat concerned,0.09741,306,1033,0.07932,0.11550
1991,2nd Quintile,Not concerned at all,0.24210,647,1033,0.21596,0.26823
1991,3rd Quintile,Very concerned,0.02615,84,1173,0.01702,0.03529
1991,3rd Quintile,Somewhat concerned,0.11087,314,1173,0.09290,0.12885
1991,3rd Quintile,Not concerned at all,0.31755,775,1173,0.29090,0.34420
1991,4th Quintile,Very concerned,0.02546,75,1313,0.01694,0.03398
1991,4th Quintile,Somewhat concerned,0.13126,319,1313,0.11299,0.14954
1991,4th Quintile,Not concerned at all,0.40000,919,1313,0.37349,0.42651
1991,5th Quintile,Very concerned,0.02112,46,1339,0.01342,0.02882
1991,5th Quintile,Somewhat concerned,0.12259,263,1339,0.10502,0.14017
1991,5th Quintile,Not concerned at all,0.49121,1030,1339,0.46442,0.51799
1992,1st Quintile,Very concerned,0.08111,395,1057,0.06465,0.09758
1992,1st Quintile,Somewhat concerned,0.07908,365,1057,0.06280,0.09536
