year,age_gr,bula_h,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,17-29 y.,Schleswig-Holstein,Sometimes,0.31058,33,33,0.15025,0.47091
2007,17-29 y.,Hamburg,Sometimes,0.63230,34,34,0.46778,0.79682
2007,17-29 y.,Lower Saxony,Seldom,0.15515,57,256,0.11071,0.19959
2007,17-29 y.,Lower Saxony,Sometimes,0.39852,120,256,0.33842,0.45861
2007,17-29 y.,Lower Saxony,Often,0.23277,79,256,0.18090,0.28464
2007,17-29 y.,North Rhine-Westphalia,Very seldom,0.07364,59,633,0.05327,0.09400
2007,17-29 y.,North Rhine-Westphalia,Seldom,0.20576,144,633,0.17424,0.23727
2007,17-29 y.,North Rhine-Westphalia,Sometimes,0.36289,240,633,0.32540,0.40038
2007,17-29 y.,North Rhine-Westphalia,Often,0.21231,152,633,0.18042,0.24419
2007,17-29 y.,North Rhine-Westphalia,Very often,0.04343,38,633,0.02754,0.05932
2007,17-29 y.,Hesse,Seldom,0.15099,44,177,0.09810,0.20389
2007,17-29 y.,Hesse,Sometimes,0.42988,86,177,0.35674,0.50302
2007,17-29 y.,Hesse,Often,0.20866,47,177,0.14863,0.26870
2007,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.17264,40,168,0.11532,0.22996
2007,17-29 y.,"Rhineland-Palatinate, Saarland",Sometimes,0.38409,84,168,0.31032,0.45786
2007,17-29 y.,"Rhineland-Palatinate, Saarland",Often,0.27275,44,168,0.20520,0.34030
2007,17-29 y.,Baden-Wuerttemberg,Seldom,0.20073,102,444,0.16343,0.23803
2007,17-29 y.,Baden-Wuerttemberg,Sometimes,0.36995,187,444,0.32499,0.41491
2007,17-29 y.,Baden-Wuerttemberg,Often,0.23143,111,444,0.19216,0.27071
2007,17-29 y.,Baden-Wuerttemberg,Very often,0.08599,44,444,0.05988,0.11209
2007,17-29 y.,Bavaria,Very seldom,0.06351,40,470,0.04144,0.08559
2007,17-29 y.,Bavaria,Seldom,0.21717,107,470,0.17986,0.25449
2007,17-29 y.,Bavaria,Sometimes,0.36802,191,470,0.32437,0.41166
2007,17-29 y.,Bavaria,Often,0.18615,100,470,0.15092,0.22138
2007,17-29 y.,Bavaria,Very often,0.07260,32,470,0.04912,0.09608
2007,17-29 y.,Berlin,Seldom,0.17038,32,129,0.10525,0.23552
2007,17-29 y.,Berlin,Sometimes,0.42072,65,129,0.33519,0.50624
2007,17-29 y.,Berlin,Often,0.19432,32,129,0.12577,0.26287
2007,17-29 y.,Brandenburg,Sometimes,0.40522,60,100,0.30851,0.50192
2007,17-29 y.,Brandenburg,Often,0.30345,40,100,0.21289,0.39401
2007,17-29 y.,Mecklenburg-Western Pomerania,Sometimes,0.31569,31,31,0.14937,0.48201
2007,17-29 y.,Saxony,Seldom,0.14156,46,240,0.09737,0.18576
2007,17-29 y.,Saxony,Sometimes,0.44544,117,240,0.38243,0.50845
2007,17-29 y.,Saxony,Often,0.25638,77,240,0.20103,0.31174
2007,17-29 y.,Saxony-Anhalt,Sometimes,0.47681,78,78,0.36525,0.58837
2007,17-29 y.,Thuringa,Seldom,0.18118,32,149,0.11912,0.24323
2007,17-29 y.,Thuringa,Sometimes,0.39925,75,149,0.32035,0.47816
2007,17-29 y.,Thuringa,Often,0.22180,42,149,0.15487,0.28874
