year,quintil_oecd,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,1st Quintile,Yes,0.58256,3994,4337,0.56788,0.59724
2012,1st Quintile,No,0.04640,343,4337,0.04014,0.05266
2012,2nd Quintile,Yes,0.62736,3918,4231,0.61279,0.64193
2012,2nd Quintile,No,0.04483,313,4231,0.03860,0.05107
2012,3rd Quintile,Yes,0.67756,4105,4390,0.66373,0.69138
2012,3rd Quintile,No,0.05451,285,4390,0.04779,0.06122
2012,4th Quintile,Yes,0.73439,4185,4416,0.72136,0.74742
2012,4th Quintile,No,0.03700,231,4416,0.03144,0.04257
2012,5th Quintile,Yes,0.76411,4661,4913,0.75223,0.77598
2012,5th Quintile,No,0.04871,252,4913,0.04269,0.05473
2013,1st Quintile,Yes,0.65771,3887,4211,0.64338,0.67204
2013,1st Quintile,No,0.03885,324,4211,0.03302,0.04469
2013,2nd Quintile,Yes,0.70391,4212,4504,0.69058,0.71724
2013,2nd Quintile,No,0.03186,292,4504,0.02673,0.03699
2013,3rd Quintile,Yes,0.73226,4211,4479,0.71930,0.74523
2013,3rd Quintile,No,0.04231,268,4479,0.03641,0.04820
2013,4th Quintile,Yes,0.78236,4347,4565,0.77039,0.79433
2013,4th Quintile,No,0.03569,218,4565,0.03030,0.04107
2013,5th Quintile,Yes,0.80607,4863,5127,0.79525,0.81690
2013,5th Quintile,No,0.03907,264,5127,0.03377,0.04438
2014,1st Quintile,Yes,0.52580,3289,3582,0.50945,0.54216
2014,1st Quintile,No,0.03384,293,3582,0.02792,0.03977
2014,2nd Quintile,Yes,0.62432,3790,4054,0.60941,0.63923
2014,2nd Quintile,No,0.03282,264,4054,0.02733,0.03830
2014,3rd Quintile,Yes,0.68411,3933,4155,0.66997,0.69825
2014,3rd Quintile,No,0.03422,222,4155,0.02869,0.03975
2014,4th Quintile,Yes,0.74916,4219,4430,0.73639,0.76193
2014,4th Quintile,No,0.03027,211,4430,0.02522,0.03531
