year,sex,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Germany,0.72976,4177,5678,0.71821,0.74131
1984,male,Southern Europe,0.02241,877,5678,0.01856,0.02626
1984,male,Western Asia,0.02046,544,5678,0.01678,0.02415
1984,male,Eastern Europe,0.00836,49,5678,0.00599,0.01072
1984,male,Western Europe,0.00525,31,5678,0.00337,0.00713
1984,female,Germany,0.76634,4621,5927,0.75557,0.77712
1984,female,Southern Europe,0.01426,706,5927,0.01124,0.01728
1984,female,Western Asia,0.01612,491,5927,0.01291,0.01933
1984,female,Eastern Europe,0.01087,72,5927,0.00823,0.01351
1984,female,Western Europe,0.00511,37,5927,0.00329,0.00692
1985,male,Germany,0.74319,3875,5135,0.73124,0.75514
1985,male,Southern Europe,0.02307,747,5135,0.01896,0.02718
1985,male,Western Asia,0.01865,465,5135,0.01495,0.02236
1985,male,Eastern Europe,0.00867,48,5135,0.00613,0.01120
1985,female,Germany,0.77519,4245,5366,0.76402,0.78636
1985,female,Southern Europe,0.01480,610,5366,0.01156,0.01803
1985,female,Western Asia,0.01430,403,5366,0.01113,0.01748
1985,female,Eastern Europe,0.01192,72,5366,0.00902,0.01482
1985,female,Western Europe,0.00550,36,5366,0.00352,0.00748
1986,male,Germany,0.73940,3717,4956,0.72718,0.75163
1986,male,Southern Europe,0.02394,723,4956,0.01968,0.02819
1986,male,Western Asia,0.01971,468,4956,0.01584,0.02358
1986,male,Eastern Europe,0.00961,48,4956,0.00689,0.01232
1986,female,Germany,0.76820,4041,5114,0.75663,0.77976
1986,female,Southern Europe,0.01494,572,5114,0.01162,0.01827
1986,female,Western Asia,0.01472,394,5114,0.01142,0.01802
1986,female,Eastern Europe,0.01333,73,5114,0.01019,0.01647
1986,female,Western Europe,0.00530,34,5114,0.00331,0.00729
1987,male,Germany,0.73111,3673,4903,0.71870,0.74353
1987,male,Southern Europe,0.02521,710,4903,0.02083,0.02960
1987,male,Western Asia,0.02110,471,4903,0.01708,0.02513
1987,male,Eastern Europe,0.00985,49,4903,0.00708,0.01261
1987,female,Germany,0.76484,3967,5014,0.75310,0.77658
1987,female,Southern Europe,0.01602,566,5014,0.01255,0.01950
1987,female,Western Asia,0.01618,404,5014,0.01269,0.01967
1987,female,Eastern Europe,0.01435,77,5014,0.01106,0.01764
1988,male,Germany,0.73607,3524,4686,0.72345,0.74869
1988,male,Southern Europe,0.02329,659,4686,0.01897,0.02761
1988,male,Western Asia,0.01988,454,4686,0.01588,0.02388
1988,male,Eastern Europe,0.01077,49,4686,0.00781,0.01372
1988,female,Germany,0.76481,3779,4789,0.75280,0.77683
1988,female,Southern Europe,0.01468,535,4789,0.01128,0.01809
1988,female,Western Asia,0.01560,399,4789,0.01209,0.01911
1988,female,Eastern Europe,0.01495,76,4789,0.01152,0.01839
1989,male,Germany,0.73256,3417,4540,0.71969,0.74544
1989,male,Southern Europe,0.02509,623,4540,0.02054,0.02964
1989,male,Western Asia,0.02170,451,4540,0.01746,0.02593
1989,male,Eastern Europe,0.01104,49,4540,0.00800,0.01408
1989,female,Germany,0.75958,3659,4661,0.74731,0.77185
1989,female,Southern Europe,0.01649,518,4661,0.01284,0.02015
1989,female,Western Asia,0.01744,404,4661,0.01369,0.02120
1989,female,Eastern Europe,0.01637,80,4661,0.01272,0.02001
1990,male,Germany,0.72733,5375,6499,0.71650,0.73815
1990,male,Southern Europe,0.02154,611,6499,0.01801,0.02506
1990,male,Western Asia,0.01847,439,6499,0.01520,0.02175
1990,male,Eastern Europe,0.01062,74,6499,0.00813,0.01311
1990,female,Germany,0.75498,5841,6838,0.74478,0.76517
1990,female,Southern Europe,0.01389,496,6838,0.01112,0.01667
1990,female,Western Asia,0.01481,385,6838,0.01194,0.01767
1990,female,Eastern Europe,0.01619,116,6838,0.01320,0.01918
1991,male,Germany,0.72208,5266,6366,0.71107,0.73309
1991,male,Southern Europe,0.02240,586,6366,0.01876,0.02603
1991,male,Western Asia,0.02020,439,6366,0.01674,0.02366
1991,male,Eastern Europe,0.01124,75,6366,0.00865,0.01383
1991,female,Germany,0.75225,5698,6680,0.74190,0.76261
1991,female,Southern Europe,0.01481,478,6680,0.01192,0.01771
1991,female,Western Asia,0.01618,381,6680,0.01315,0.01920
1991,female,Eastern Europe,0.01761,123,6680,0.01445,0.02076
1992,male,Germany,0.71896,5139,6212,0.70778,0.73014
1992,male,Southern Europe,0.02554,567,6212,0.02162,0.02947
1992,male,Western Asia,0.02142,430,6212,0.01782,0.02502
1992,male,Eastern Europe,0.01162,76,6212,0.00896,0.01429
1992,female,Germany,0.74704,5626,6621,0.73656,0.75751
1992,female,Southern Europe,0.01630,458,6621,0.01325,0.01935
1992,female,Western Asia,0.01757,378,6621,0.01441,0.02074
1992,female,Eastern Europe,0.01768,125,6621,0.01450,0.02085
1992,female,Western Europe,0.00689,34,6621,0.00490,0.00888
1993,male,Germany,0.71417,5079,6119,0.70285,0.72549
1993,male,Southern Europe,0.02719,551,6119,0.02311,0.03127
1993,male,Western Asia,0.02297,415,6119,0.01921,0.02672
1993,male,Eastern Europe,0.01162,74,6119,0.00893,0.01431
1993,female,Germany,0.74175,5547,6519,0.73112,0.75237
1993,female,Southern Europe,0.01850,457,6519,0.01523,0.02177
1993,female,Western Asia,0.01803,360,6519,0.01480,0.02126
1993,female,Eastern Europe,0.01802,124,6519,0.01479,0.02125
1993,female,Western Europe,0.00703,31,6519,0.00500,0.00906
1994,male,Germany,0.70849,5006,5981,0.69697,0.72000
1994,male,Southern Europe,0.02855,520,5981,0.02433,0.03277
1994,male,Western Asia,0.02273,380,5981,0.01895,0.02651
1994,male,Eastern Europe,0.01249,75,5981,0.00967,0.01530
1994,female,Germany,0.73893,5510,6445,0.72821,0.74966
1994,female,Southern Europe,0.02002,443,6445,0.01660,0.02344
1994,female,Western Asia,0.01884,338,6445,0.01552,0.02216
1994,female,Eastern Europe,0.01770,122,6445,0.01448,0.02092
1994,female,Western Europe,0.00749,32,6445,0.00538,0.00959
1995,male,Germany,0.69016,5001,6158,0.67861,0.70171
1995,male,Southern Europe,0.02651,514,6158,0.02249,0.03052
1995,male,Central Asia,0.00307,42,6158,0.00169,0.00445
1995,male,Western Asia,0.02068,369,6158,0.01712,0.02423
1995,male,Eastern Europe,0.02676,232,6158,0.02273,0.03079
1995,female,Germany,0.72072,5504,6645,0.70993,0.73151
1995,female,Southern Europe,0.01940,438,6645,0.01609,0.02272
1995,female,Central Asia,0.00270,40,6645,0.00145,0.00395
1995,female,Western Asia,0.01692,340,6645,0.01382,0.02003
1995,female,Eastern Europe,0.03096,284,6645,0.02680,0.03513
1995,female,Western Europe,0.00805,39,6645,0.00591,0.01020
1996,male,Germany,0.69236,4985,6069,0.68075,0.70397
1996,male,Southern Europe,0.02751,483,6069,0.02340,0.03163
1996,male,Central Asia,0.00328,44,6069,0.00184,0.00471
1996,male,Western Asia,0.02060,345,6069,0.01703,0.02418
1996,male,Eastern Europe,0.02549,212,6069,0.02152,0.02945
1996,female,Germany,0.72254,5465,6555,0.71170,0.73338
1996,female,Southern Europe,0.02053,412,6555,0.01710,0.02396
1996,female,Central Asia,0.00310,44,6555,0.00176,0.00445
1996,female,Western Asia,0.01687,320,6555,0.01375,0.01999
1996,female,Eastern Europe,0.03100,277,6555,0.02681,0.03520
1996,female,Western Europe,0.00779,37,6555,0.00566,0.00991
1997,male,Germany,0.69485,4958,6012,0.68321,0.70649
1997,male,Southern Europe,0.02877,466,6012,0.02455,0.03300
1997,male,Central Asia,0.00387,49,6012,0.00230,0.00544
1997,male,Western Asia,0.02043,326,6012,0.01685,0.02400
1997,male,Eastern Europe,0.02672,213,6012,0.02264,0.03079
1997,female,Germany,0.72369,5400,6449,0.71277,0.73460
1997,female,Southern Europe,0.02133,388,6449,0.01780,0.02485
1997,female,Central Asia,0.00346,46,6449,0.00202,0.00489
1997,female,Western Asia,0.01732,300,6449,0.01414,0.02051
1997,female,Eastern Europe,0.03408,278,6449,0.02965,0.03851
1997,female,Western Europe,0.00728,37,6449,0.00521,0.00936
1998,male,Germany,0.70307,5677,6700,0.69213,0.71401
1998,male,Southern Europe,0.02936,437,6700,0.02532,0.03341
1998,male,Central Asia,0.00514,56,6700,0.00343,0.00685
1998,male,Western Asia,0.02062,297,6700,0.01721,0.02402
1998,male,Eastern Europe,0.02701,233,6700,0.02313,0.03090
1998,female,Germany,0.72704,6164,7179,0.71673,0.73735
