year,bula_h,regtyp,chronill,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,Urban regions,Yes,0.60804,127,20435,0.60684,0.60923
2011,Schleswig-Holstein,Urban regions,No,0.39196,77,20435,0.39077,0.39316
2011,Schleswig-Holstein,Rural regions,Yes,0.58983,265,20435,0.58904,0.59062
2011,Schleswig-Holstein,Rural regions,No,0.41017,179,20435,0.40938,0.41096
2011,Hamburg,Urban regions,Yes,0.55640,180,20435,0.55553,0.55728
2011,Hamburg,Urban regions,No,0.44360,127,20435,0.44272,0.44447
2011,Lower Saxony,Urban regions,Yes,0.60663,511,20435,0.60604,0.60722
2011,Lower Saxony,Urban regions,No,0.39337,336,20435,0.39278,0.39396
2011,Lower Saxony,Rural regions,Yes,0.64346,654,20435,0.64293,0.64398
2011,Lower Saxony,Rural regions,No,0.35654,386,20435,0.35602,0.35707
2011,Bremen,Urban regions,Yes,0.63306,71,20435,0.63175,0.63438
2011,Bremen,Urban regions,No,0.36694,53,20435,0.36562,0.36825
2011,North Rhine-Westphalia,Urban regions,Yes,0.61790,2320,20435,0.61763,0.61816
2011,North Rhine-Westphalia,Urban regions,No,0.38210,1624,20435,0.38184,0.38237
2011,North Rhine-Westphalia,Rural regions,Yes,0.57323,76,20435,0.57177,0.57469
2011,North Rhine-Westphalia,Rural regions,No,0.42677,59,20435,0.42531,0.42823
2011,Hesse,Urban regions,Yes,0.60659,687,20435,0.60608,0.60710
2011,Hesse,Urban regions,No,0.39341,462,20435,0.39290,0.39392
2011,Hesse,Rural regions,Yes,0.73565,165,20435,0.73468,0.73662
2011,Hesse,Rural regions,No,0.26435,81,20435,0.26338,0.26532
2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.62764,527,20435,0.62704,0.62824
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.37236,340,20435,0.37176,0.37296
2011,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.61445,205,20435,0.61351,0.61538
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.38555,118,20435,0.38462,0.38649
2011,Baden-Wuerttemberg,Urban regions,Yes,0.58742,1244,20435,0.58705,0.58779
2011,Baden-Wuerttemberg,Urban regions,No,0.41258,970,20435,0.41221,0.41295
2011,Baden-Wuerttemberg,Rural regions,Yes,0.57770,142,20435,0.57663,0.57877
2011,Baden-Wuerttemberg,Rural regions,No,0.42230,102,20435,0.42123,0.42337
2011,Bavaria,Urban regions,Yes,0.60213,911,20435,0.60167,0.60259
2011,Bavaria,Urban regions,No,0.39787,562,20435,0.39741,0.39833
2011,Bavaria,Rural regions,Yes,0.63882,1033,20435,0.63838,0.63926
2011,Bavaria,Rural regions,No,0.36118,631,20435,0.36074,0.36162
2011,Berlin,Urban regions,Yes,0.64764,472,20435,0.64705,0.64823
2011,Berlin,Urban regions,No,0.35236,298,20435,0.35177,0.35295
2011,Brandenburg,Urban regions,Yes,1.00000,50,20435,1.00000,1.00000
2011,Brandenburg,Rural regions,Yes,0.65182,520,20435,0.65110,0.65254
2011,Brandenburg,Rural regions,No,0.34818,288,20435,0.34746,0.34890
2011,Mecklenburg-Western Pomerania,Rural regions,Yes,0.66711,287,20435,0.66625,0.66797
2011,Mecklenburg-Western Pomerania,Rural regions,No,0.33289,177,20435,0.33203,0.33375
2011,Saxony,Urban regions,Yes,0.63580,450,20435,0.63505,0.63655
2011,Saxony,Urban regions,No,0.36420,266,20435,0.36345,0.36495
2011,Saxony,Rural regions,Yes,0.65478,421,20435,0.65409,0.65546
2011,Saxony,Rural regions,No,0.34522,248,20435,0.34454,0.34591
2011,Saxony-Anhalt,Urban regions,Yes,0.63915,131,20435,0.63763,0.64068
2011,Saxony-Anhalt,Urban regions,No,0.36085,73,20435,0.35932,0.36237
2011,Saxony-Anhalt,Rural regions,Yes,0.65493,420,20435,0.65415,0.65571
2011,Saxony-Anhalt,Rural regions,No,0.34507,234,20435,0.34429,0.34585
2011,Thuringa,Urban regions,Yes,0.54404,164,20435,0.54271,0.54537
2011,Thuringa,Urban regions,No,0.45596,98,20435,0.45463,0.45729
2011,Thuringa,Rural regions,Yes,0.66569,379,20435,0.66482,0.66656
2011,Thuringa,Rural regions,No,0.33431,234,20435,0.33344,0.33518
2013,Schleswig-Holstein,Urban regions,Yes,0.67878,109,18639,0.67758,0.67998
2013,Schleswig-Holstein,Urban regions,No,0.32122,59,18639,0.32002,0.32242
2013,Schleswig-Holstein,Rural regions,Yes,0.63307,275,18639,0.63229,0.63386
2013,Schleswig-Holstein,Rural regions,No,0.36693,149,18639,0.36614,0.36771
2013,Hamburg,Urban regions,Yes,0.64816,188,18639,0.64730,0.64902
2013,Hamburg,Urban regions,No,0.35184,119,18639,0.35098,0.35270
2013,Lower Saxony,Urban regions,Yes,0.66403,463,18639,0.66342,0.66464
2013,Lower Saxony,Urban regions,No,0.33597,270,18639,0.33536,0.33658
2013,Lower Saxony,Rural regions,Yes,0.68329,700,18639,0.68279,0.68379
2013,Lower Saxony,Rural regions,No,0.31671,335,18639,0.31621,0.31721
2013,Bremen,Urban regions,Yes,0.56517,63,18639,0.56369,0.56665
2013,Bremen,Urban regions,No,0.43483,55,18639,0.43335,0.43631
2013,North Rhine-Westphalia,Urban regions,Yes,0.66492,2272,18639,0.66465,0.66519
2013,North Rhine-Westphalia,Urban regions,No,0.33508,1314,18639,0.33481,0.33535
2013,North Rhine-Westphalia,Rural regions,Yes,0.63951,57,18639,0.63784,0.64117
2013,North Rhine-Westphalia,Rural regions,No,0.36049,44,18639,0.35883,0.36216
2013,Hesse,Urban regions,Yes,0.66072,673,18639,0.66019,0.66125
2013,Hesse,Urban regions,No,0.33928,361,18639,0.33875,0.33981
2013,Hesse,Rural regions,Yes,0.76879,172,18639,0.76788,0.76969
2013,Hesse,Rural regions,No,0.23121,73,18639,0.23031,0.23212
2013,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.64797,534,18639,0.64737,0.64856
