year,bula_h,sex,doctoryn,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Yes,0.5978835978835979,16099,0.5903093269676528,0.605457868799543
1984,Schleswig-Holstein,male,No,0.4021164021164021,16099,0.394542131200457,0.4096906730323472
1984,Schleswig-Holstein,female,Yes,0.8071065989847716,16099,0.8010115001053605,0.8132016978641826
1984,Schleswig-Holstein,female,No,0.19289340101522842,16099,0.18679830213581733,0.19898849989463951
1984,Hamburg,male,Yes,0.6333333333333333,16099,0.6258892965662571,0.6407773701004095
1984,Hamburg,male,No,0.36666666666666664,16099,0.3592226298995904,0.37411070343374286
1984,Hamburg,female,Yes,0.7044025157232704,16099,0.6973536792222664,0.7114513522242744
1984,Hamburg,female,No,0.29559748427672955,16099,0.2885486477757256,0.3026463207777335
1984,Lower Saxony,male,Yes,0.6006655574043261,16099,0.5930999923332099,0.6082311224754424
1984,Lower Saxony,male,No,0.39933444259567386,16099,0.3917688775245576,0.40690000766679013
1984,Lower Saxony,female,Yes,0.7567140600315956,16099,0.7500860824884994,0.7633420375746918
1984,Lower Saxony,female,No,0.24328593996840442,16099,0.2366579624253083,0.24991391751150055
1984,Bremen,male,Yes,0.6031746031746031,16099,0.5956171080730881,0.6107320982761182
1984,Bremen,male,No,0.3968253968253968,16099,0.3892679017238818,0.4043828919269118
1984,Bremen,female,Yes,0.7101449275362319,16099,0.7031365003070896,0.7171533547653742
1984,Bremen,female,No,0.2898550724637681,16099,0.28284664523462577,0.2968634996929105
1984,North Rhine-Westphalia,male,Yes,0.5945102932002495,16099,0.5869258059178054,0.6020947804826936
1984,North Rhine-Westphalia,male,No,0.4054897067997505,16099,0.39790521951730645,0.41307419408219453
1984,North Rhine-Westphalia,female,Yes,0.7528770442156268,16099,0.7462139616668065,0.7595401267644472
1984,North Rhine-Westphalia,female,No,0.2471229557843731,16099,0.24045987323555282,0.2537860383331934
1984,Hesse,male,Yes,0.6198083067092651,16099,0.6123095954839599,0.6273070179345703
1984,Hesse,male,No,0.3801916932907348,16099,0.3726929820654296,0.38769040451604003
1984,Hesse,female,Yes,0.7342995169082126,16099,0.7274762962792279,0.7411227375371973
1984,Hesse,female,No,0.26570048309178745,16099,0.2588772624628028,0.2725237037207721
1984,"Rhineland-Palatinate, Saarland",male,Yes,0.6033653846153846,16099,0.5958085116186215,0.6109222576121477
1984,"Rhineland-Palatinate, Saarland",male,No,0.39663461538461536,16099,0.38907774238785225,0.40419148838137847
1984,"Rhineland-Palatinate, Saarland",female,Yes,0.7563218390804598,16099,0.7496902402571026,0.762953437903817
1984,"Rhineland-Palatinate, Saarland",female,No,0.24367816091954023,16099,0.23704656209618308,0.2503097597428974
1984,Baden-Wuerttemberg,male,Yes,0.6007162041181737,16099,0.593150799895885,0.6082816083404624
1984,Baden-Wuerttemberg,male,No,0.39928379588182633,16099,0.39171839165953765,0.406849200104115
1984,Baden-Wuerttemberg,female,Yes,0.7480176211453744,16099,0.7413110950108072,0.7547241472799416
1984,Baden-Wuerttemberg,female,No,0.25198237885462554,16099,0.24527585272005833,0.2586889049891928
1984,Bavaria,male,Yes,0.6226034308779012,16099,0.6151155082228651,0.6300913535329372
1984,Bavaria,male,No,0.3773965691220989,16099,0.36990864646706284,0.38488449177713496
1984,Bavaria,female,Yes,0.759090909090909,16099,0.7524850377529549,0.7656967804288631
1984,Bavaria,female,No,0.2409090909090909,16099,0.23430321957113684,0.24751496224704497
1984,Berlin,male,Yes,0.5888324873096447,16099,0.5812316419111132,0.5964333327081761
1984,Berlin,male,No,0.41116751269035534,16099,0.40356666729182383,0.41876835808888685
1984,Berlin,female,Yes,0.7772511848341233,16099,0.7708236414179073,0.7836787282503392
1984,Berlin,female,No,0.22274881516587677,16099,0.21632127174966084,0.2291763585820927
1985,Schleswig-Holstein,male,Yes,0.6432748538011696,14443,0.6354623090972006,0.6510873985051385
1985,Schleswig-Holstein,male,No,0.3567251461988304,14443,0.34891260149486136,0.3645376909027994
1985,Schleswig-Holstein,female,Yes,0.7692307692307693,14443,0.7623593785621247,0.7761021598994139
1985,Schleswig-Holstein,female,No,0.23076923076923078,14443,0.2238978401005862,0.23764062143787537
1985,Hamburg,male,Yes,0.7050359712230215,14443,0.6975986330065295,0.7124733094395136
1985,Hamburg,male,No,0.2949640287769784,14443,0.2875266905604864,0.3024013669934704
1985,Hamburg,female,Yes,0.75177304964539,14443,0.7447278191239637,0.7588182801668164
1985,Hamburg,female,No,0.24822695035460993,14443,0.2411817198331836,0.25527218087603626
1985,Lower Saxony,male,Yes,0.6462962962962963,14443,0.6384986594899832,0.6540939331026093
1985,Lower Saxony,male,No,0.3537037037037037,14443,0.34590606689739056,0.3615013405100168
1985,Lower Saxony,female,Yes,0.7795414462081128,14443,0.7727804538039049,0.7863024386123207
1985,Lower Saxony,female,No,0.2204585537918871,14443,0.21369756138767915,0.22721954619609508
1985,Bremen,male,Yes,0.7407407407407407,14443,0.7335936775914532,0.7478878038900282
1985,Bremen,male,No,0.25925925925925924,14443,0.25211219610997176,0.2664063224085467
1985,Bremen,female,Yes,0.7419354838709677,14443,0.7347991594773361,0.7490718082645994
1985,Bremen,female,No,0.25806451612903225,14443,0.25092819173540054,0.26520084052266396
1985,North Rhine-Westphalia,male,Yes,0.5915300546448088,14443,0.5835133510410602,0.5995467582485574
1985,North Rhine-Westphalia,male,No,0.40846994535519127,14443,0.40045324175144265,0.4164866489589399
1985,North Rhine-Westphalia,female,Yes,0.7454909819639278,14443,0.7383870278016404,0.7525949361262152
1985,North Rhine-Westphalia,female,No,0.2545090180360721,14443,0.24740506387378478,0.2616129721983595
1985,Hesse,male,Yes,0.6473684210526316,14443,0.6395761559054123,0.6551606861998509
1985,Hesse,male,No,0.3526315789473684,14443,0.3448393138001491,0.3604238440945877
1985,Hesse,female,Yes,0.7216312056737588,14443,0.7143215773865089,0.7289408339610087
1985,Hesse,female,No,0.2783687943262411,14443,0.2710591660389912,0.285678422613491
1985,"Rhineland-Palatinate, Saarland",male,Yes,0.6020942408376964,14443,0.5941115425551596,0.6100769391202331
1985,"Rhineland-Palatinate, Saarland",male,No,0.39790575916230364,14443,0.38992306087976686,0.4058884574448404
1985,"Rhineland-Palatinate, Saarland",female,Yes,0.7282051282051282,14443,0.7209495026567715,0.7354607537534849
1985,"Rhineland-Palatinate, Saarland",female,No,0.2717948717948718,14443,0.2645392462465151,0.27905049734322845
1985,Baden-Wuerttemberg,male,Yes,0.6128078817733991,14443,0.6048636338153683,0.6207521297314298
1985,Baden-Wuerttemberg,male,No,0.387192118226601,14443,0.37924787026857026,0.3951363661846317
1985,Baden-Wuerttemberg,female,Yes,0.7378167641325536,14443,0.7306437103899509,0.7449898178751563
1985,Baden-Wuerttemberg,female,No,0.2621832358674464,14443,0.25501018212484367,0.26935628961004915
1985,Bavaria,male,Yes,0.64562569213732,14443,0.637824717211855,0.6534266670627851
1985,Bavaria,male,No,0.35437430786268,14443,0.34657333293721493,0.36217528278814504
1985,Bavaria,female,Yes,0.7877263581488934,14443,0.7810573217153755,0.7943953945824113
1985,Bavaria,female,No,0.21227364185110664,14443,0.20560460541758874,0.21894267828462455
1985,Berlin,male,Yes,0.6136363636363636,14443,0.6056952569254979,0.6215774703472294
1985,Berlin,male,No,0.38636363636363635,14443,0.3784225296527705,0.3943047430745022
1985,Berlin,female,Yes,0.7513227513227513,14443,0.7442732456764751,0.7583722569690274
1985,Berlin,female,No,0.24867724867724866,14443,0.2416277430309725,0.2557267543235248
1986,Schleswig-Holstein,male,Yes,0.6855345911949685,13742,0.6777715440065453,0.6932976383833918
1986,Schleswig-Holstein,male,No,0.31446540880503143,13742,0.30670236161660813,0.32222845599345473
1986,Schleswig-Holstein,female,Yes,0.7865853658536586,13742,0.7797349627380922,0.793435768969225
1986,Schleswig-Holstein,female,No,0.21341463414634146,13742,0.20656423103077506,0.22026503726190785
1986,Hamburg,male,Yes,0.7109375,13742,0.7033579628173676,0.7185170371826324
1986,Hamburg,male,No,0.2890625,13742,0.2814829628173676,0.2966420371826324
1986,Hamburg,female,Yes,0.78125,13742,0.7743380570438831,0.7881619429561169
1986,Hamburg,female,No,0.21875,13742,0.21183805704388317,0.22566194295611683
1986,Lower Saxony,male,Yes,0.6266173752310537,13742,0.6185299669577746,0.6347047835043327
1986,Lower Saxony,male,No,0.3733826247689464,13742,0.3652952164956674,0.38147003304222543
1986,Lower Saxony,female,Yes,0.7954144620811288,13742,0.7886697206366686,0.8021592035255889
1986,Lower Saxony,female,No,0.20458553791887124,13742,0.19784079647441105,0.21133027936333143
1986,Bremen,male,Yes,0.54,13742,0.531666894215497,0.5483331057845031
1986,Bremen,male,No,0.46,13742,0.451666894215497,0.46833310578450305
1986,Bremen,female,Yes,0.847457627118644,13742,0.8414460926096934,0.8534691616275947
1986,Bremen,female,No,0.15254237288135594,13742,0.14653083837240533,0.15855390739030656
1986,North Rhine-Westphalia,male,Yes,0.6132208157524613,13742,0.6050780659614395,0.6213635655434832
1986,North Rhine-Westphalia,male,No,0.38677918424753865,13742,0.3786364344565168,0.3949219340385605
1986,North Rhine-Westphalia,female,Yes,0.7505226480836237,13742,0.7432878142122897,0.7577574819549576
1986,North Rhine-Westphalia,female,No,0.2494773519163763,13742,0.24224251804504232,0.25671218578771027
1986,Hesse,male,Yes,0.6603053435114504,13742,0.6523867534076465,0.6682239336152543
1986,Hesse,male,No,0.33969465648854963,13742,0.3317760663847457,0.34761324659235354
1986,Hesse,female,Yes,0.7771428571428571,13742,0.7701846907771156,0.7841010235085987
1986,Hesse,female,No,0.22285714285714286,13742,0.2158989764914013,0.22981530922288443
1986,"Rhineland-Palatinate, Saarland",male,Yes,0.623342175066313,13742,0.6152406299964508,0.6314437201361751
1986,"Rhineland-Palatinate, Saarland",male,No,0.376657824933687,13742,0.3685562798638248,0.3847593700035492
1986,"Rhineland-Palatinate, Saarland",female,Yes,0.7576530612244898,13742,0.7504885748752445,0.7648175475737352
1986,"Rhineland-Palatinate, Saarland",female,No,0.2423469387755102,13742,0.23518245242626487,0.24951142512475552
1986,Baden-Wuerttemberg,male,Yes,0.600597609561753,13742,0.5924086593842456,0.6087865597392604
1986,Baden-Wuerttemberg,male,No,0.399402390438247,13742,0.3912134402607395,0.40759134061575447
1986,Baden-Wuerttemberg,female,Yes,0.7538148524923703,13742,0.7466121683794837,0.761017536605257
1986,Baden-Wuerttemberg,female,No,0.2461851475076297,13742,0.23898246339474305,0.25338783162051637
1986,Bavaria,male,Yes,0.6811764705882353,13742,0.6733847010111705,0.6889682401653
1986,Bavaria,male,No,0.31882352941176473,13742,0.31103175983470005,0.3266152989888294
1986,Bavaria,female,Yes,0.8104008667388949,13742,0.8038469756287773,0.8169547578490125
1986,Bavaria,female,No,0.18959913326110509,13742,0.18304524215098747,0.1961530243712227
1986,Berlin,male,Yes,0.6363636363636364,13742,0.6283206481965186,0.6444066245307541
1986,Berlin,male,No,0.36363636363636365,13742,0.3555933754692459,0.3716793518034814
1986,Berlin,female,Yes,0.8238636363636364,13742,0.8174944599306287,0.830232812796644
1986,Berlin,female,No,0.17613636363636365,13742,0.169767187203356,0.18250554006937128
1987,Schleswig-Holstein,male,Yes,0.6794871794871795,13496,0.6716136968698492,0.6873606621045099
1987,Schleswig-Holstein,male,No,0.32051282051282054,13496,0.31263933789549025,0.3283863031301508
1987,Schleswig-Holstein,female,Yes,0.8117647058823529,13496,0.805169639860331,0.8183597719043749
1987,Schleswig-Holstein,female,No,0.18823529411764706,13496,0.18164022809562508,0.19483036013966903
1987,Hamburg,male,Yes,0.6371681415929203,13496,0.6290560420790746,0.6452802411067661
1987,Hamburg,male,No,0.36283185840707965,13496,0.35471975889323387,0.37094395792092544
1987,Hamburg,female,Yes,0.7876106194690266,13496,0.7807101964181886,0.7945110425198645
1987,Hamburg,female,No,0.21238938053097345,13496,0.20548895748013557,0.21928980358181133
1987,Lower Saxony,male,Yes,0.6660482374768089,13496,0.6580912578109241,0.6740052171426936
1987,Lower Saxony,male,No,0.3339517625231911,13496,0.3259947828573064,0.3419087421890758
1987,Lower Saxony,female,Yes,0.7720848056537103,13496,0.765007422971974,0.7791621883354466
