year,quintil_oecd,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Yes,0.70161,1623,2485,0.68362,0.71961
1984,1st Quintile,West,No,0.29839,862,2485,0.28039,0.31638
1984,2nd Quintile,West,Yes,0.71535,1631,2398,0.69728,0.73341
1984,2nd Quintile,West,No,0.28465,767,2398,0.26659,0.30272
1984,3rd Quintile,West,Yes,0.70785,1599,2355,0.68948,0.72622
1984,3rd Quintile,West,No,0.29215,756,2355,0.27378,0.31052
1984,4th Quintile,West,Yes,0.70346,1698,2485,0.68550,0.72142
1984,4th Quintile,West,No,0.29654,787,2485,0.27858,0.31450
1984,5th Quintile,West,Yes,0.72362,1712,2418,0.70579,0.74145
1984,5th Quintile,West,No,0.27638,706,2418,0.25855,0.29421
1985,1st Quintile,West,Yes,0.73110,1515,2257,0.71280,0.74940
1985,1st Quintile,West,No,0.26890,742,2257,0.25060,0.28720
1985,2nd Quintile,West,Yes,0.73723,1504,2159,0.71866,0.75580
1985,2nd Quintile,West,No,0.26277,655,2159,0.24420,0.28134
1985,3rd Quintile,West,Yes,0.72704,1550,2207,0.70845,0.74563
1985,3rd Quintile,West,No,0.27296,657,2207,0.25437,0.29155
1985,4th Quintile,West,Yes,0.70431,1536,2213,0.68529,0.72333
1985,4th Quintile,West,No,0.29569,677,2213,0.27667,0.31471
1985,5th Quintile,West,Yes,0.69383,1485,2182,0.67448,0.71317
1985,5th Quintile,West,No,0.30617,697,2182,0.28683,0.32552
1986,1st Quintile,West,Yes,0.75670,1447,2074,0.73823,0.77517
1986,1st Quintile,West,No,0.24330,627,2074,0.22483,0.26177
1986,2nd Quintile,West,Yes,0.72367,1451,2092,0.70450,0.74283
1986,2nd Quintile,West,No,0.27633,641,2092,0.25717,0.29550
1986,3rd Quintile,West,Yes,0.73886,1504,2098,0.72006,0.75766
1986,3rd Quintile,West,No,0.26114,594,2098,0.24234,0.27994
1986,4th Quintile,West,Yes,0.73289,1578,2218,0.71448,0.75131
1986,4th Quintile,West,No,0.26711,640,2218,0.24869,0.28552
1986,5th Quintile,West,Yes,0.72851,1476,2095,0.70946,0.74756
1986,5th Quintile,West,No,0.27149,619,2095,0.25244,0.29054
1987,1st Quintile,West,Yes,0.74288,1381,2035,0.72388,0.76187
1987,1st Quintile,West,No,0.25712,654,2035,0.23813,0.27612
1987,2nd Quintile,West,Yes,0.73564,1438,2063,0.71660,0.75467
1987,2nd Quintile,West,No,0.26436,625,2063,0.24533,0.28340
1987,3rd Quintile,West,Yes,0.73192,1467,2104,0.71299,0.75085
1987,3rd Quintile,West,No,0.26808,637,2104,0.24915,0.28701
1987,4th Quintile,West,Yes,0.72745,1524,2156,0.70865,0.74625
1987,4th Quintile,West,No,0.27255,632,2156,0.25375,0.29135
1987,5th Quintile,West,Yes,0.71920,1468,2091,0.69993,0.73847
1987,5th Quintile,West,No,0.28080,623,2091,0.26153,0.30007
1988,1st Quintile,West,Yes,0.71604,1289,1964,0.69609,0.73599
1988,1st Quintile,West,No,0.28396,675,1964,0.26401,0.30391
1988,2nd Quintile,West,Yes,0.69958,1301,1977,0.67936,0.71979
1988,2nd Quintile,West,No,0.30042,676,1977,0.28021,0.32064
1988,3rd Quintile,West,Yes,0.68817,1326,1995,0.66784,0.70851
1988,3rd Quintile,West,No,0.31183,669,1995,0.29149,0.33216
1988,4th Quintile,West,Yes,0.67041,1368,2063,0.65012,0.69070
1988,4th Quintile,West,No,0.32959,695,2063,0.30930,0.34988
1988,5th Quintile,West,Yes,0.65934,1247,1934,0.63822,0.68047
1988,5th Quintile,West,No,0.34066,687,1934,0.31953,0.36178
1989,1st Quintile,West,Yes,0.72477,1266,1919,0.70478,0.74476
1989,1st Quintile,West,No,0.27523,653,1919,0.25524,0.29522
1989,2nd Quintile,West,Yes,0.68168,1278,1955,0.66102,0.70233
1989,2nd Quintile,West,No,0.31832,677,1955,0.29767,0.33898
1989,3rd Quintile,West,Yes,0.70603,1284,1886,0.68546,0.72660
1989,3rd Quintile,West,No,0.29397,602,1886,0.27340,0.31454
1989,4th Quintile,West,Yes,0.69613,1362,2006,0.67600,0.71626
1989,4th Quintile,West,No,0.30387,644,2006,0.28374,0.32400
1989,5th Quintile,West,Yes,0.68235,1253,1860,0.66119,0.70351
1989,5th Quintile,West,No,0.31765,607,1860,0.29649,0.33881
1991,1st Quintile,West,Yes,0.75036,1267,1829,0.73052,0.77020
1991,1st Quintile,West,No,0.24964,562,1829,0.22980,0.26948
1991,2nd Quintile,West,Yes,0.72021,1276,1884,0.69993,0.74049
1991,2nd Quintile,West,No,0.27979,608,1884,0.25951,0.30007
1991,3rd Quintile,West,Yes,0.73224,1314,1878,0.71221,0.75227
1991,3rd Quintile,West,No,0.26776,564,1878,0.24773,0.28779
1991,4th Quintile,West,Yes,0.72189,1366,1926,0.70188,0.74191
1991,4th Quintile,West,No,0.27811,560,1926,0.25809,0.29812
1991,5th Quintile,West,Yes,0.68450,1237,1832,0.66321,0.70578
1991,5th Quintile,West,No,0.31550,595,1832,0.29422,0.33679
