year,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Full Time,0.61979,3989,5956,0.60746,0.63212
1984,male,Part Time,0.10966,647,5956,0.10173,0.11760
1984,male,Not Working,0.27054,1320,5956,0.25926,0.28183
1984,female,Full Time,0.22337,1640,6215,0.21301,0.23372
1984,female,Part Time,0.18882,1241,6215,0.17909,0.19855
1984,female,Not Working,0.58781,3334,6215,0.57558,0.60005
1985,male,Full Time,0.60053,3510,5414,0.58749,0.61358
1985,male,Part Time,0.11975,671,5414,0.11110,0.12840
1985,male,Not Working,0.27971,1233,5414,0.26776,0.29167
1985,female,Full Time,0.22076,1437,5612,0.20991,0.23161
1985,female,Part Time,0.19996,1190,5612,0.18950,0.21043
1985,female,Not Working,0.57928,2985,5612,0.56636,0.59219
1986,male,Full Time,0.60875,3427,5232,0.59552,0.62197
1986,male,Part Time,0.11671,627,5232,0.10801,0.12541
1986,male,Not Working,0.27454,1178,5232,0.26245,0.28663
1986,female,Full Time,0.22857,1408,5353,0.21732,0.23983
1986,female,Part Time,0.20403,1196,5353,0.19324,0.21483
1986,female,Not Working,0.56739,2749,5353,0.55412,0.58066
1987,male,Full Time,0.62277,3449,5175,0.60956,0.63598
1987,male,Part Time,0.11268,596,5175,0.10407,0.12130
1987,male,Not Working,0.26455,1130,5175,0.25253,0.27657
1987,female,Full Time,0.23790,1422,5280,0.22642,0.24939
1987,female,Part Time,0.21320,1213,5280,0.20216,0.22425
1987,female,Not Working,0.54889,2645,5280,0.53547,0.56231
1988,male,Full Time,0.62002,3254,4932,0.60647,0.63357
1988,male,Part Time,0.11092,599,4932,0.10215,0.11969
1988,male,Not Working,0.26906,1079,4932,0.25668,0.28144
1988,female,Full Time,0.23059,1326,5040,0.21896,0.24222
1988,female,Part Time,0.23217,1246,5040,0.22052,0.24383
1988,female,Not Working,0.53724,2468,5040,0.52347,0.55101
1989,male,Full Time,0.62490,3177,4762,0.61115,0.63865
