year,bula_h,rentown,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Owner,Yes,1.00000,90,5599,0,0.93115,0,1.06475
1984,Schleswig-Holstein,Tenant,Yes,0.32233,32,5599,0,0.30007,0,0.34555
1984,Schleswig-Holstein,Tenant,No,0.67767,66,5599,0,0.59518,0,0.75341
1984,Hamburg,Tenant,No,1.00000,124,5599,0,0.90742,0,1.09146
1984,Lower Saxony,Owner,Yes,1.00000,245,5599,0,0.96720,0,1.02732
1984,Lower Saxony,Tenant,Yes,0.33725,106,5599,0,0.30867,0,0.36309
1984,Lower Saxony,Tenant,No,0.66275,219,5599,0,0.60880,0,0.70966
1984,Bremen,Tenant,No,1.00000,54,5599,0,0.86528,0,1.12909
1984,North Rhine-Westphalia,Owner,Yes,0.88469,392,5599,0,0.86109,0,0.91166
1984,North Rhine-Westphalia,Owner,No,0.11531,48,5599,0,0.10334,0,0.12929
1984,North Rhine-Westphalia,Tenant,Yes,0.29759,346,5599,0,0.27771,0,0.31536
1984,North Rhine-Westphalia,Tenant,No,0.70241,782,5599,0,0.67214,0,0.73179
1984,Hesse,Owner,Yes,1.00000,149,5599,0,0.95392,0,1.04148
1984,Hesse,Tenant,Yes,0.32619,119,5599,0,0.28234,0,0.36403
1984,Hesse,Tenant,No,0.67381,284,5599,0,0.61190,0,0.73897
1984,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,180,5599,0,0.96953,0,1.02941
1984,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.33462,63,5599,0,0.29303,0,0.37275
1984,"Rhineland-Palatinate, Saarland",Tenant,No,0.66538,126,5599,0,0.59385,0,0.73403
1984,Baden-Wuerttemberg,Owner,Yes,0.84824,325,5599,0,0.82335,0,0.87054
1984,Baden-Wuerttemberg,Owner,No,0.15176,55,5599,0,0.13771,0,0.16737
1984,Baden-Wuerttemberg,Tenant,Yes,0.31098,205,5599,0,0.28000,0,0.34389
1984,Baden-Wuerttemberg,Tenant,No,0.68902,450,5599,0,0.64262,0,0.73898
1984,Bavaria,Owner,Yes,0.88242,352,5599,0,0.86272,0,0.90460
1984,Bavaria,Owner,No,0.11758,49,5599,0,0.10562,0,0.12910
1984,Bavaria,Tenant,Yes,0.34500,184,5599,0,0.32260,0,0.36759
1984,Bavaria,Tenant,No,0.65500,373,5599,0,0.62058,0,0.69212
1984,Berlin,Tenant,No,1.00000,181,5599,0,0.92422,0,1.07448
1985,Schleswig-Holstein,Owner,Yes,1.00000,80,4997,0,0.92186,0,1.10182
1985,Schleswig-Holstein,Tenant,No,1.00000,64,4997,0,0.88408,0,1.12020
1985,Hamburg,Tenant,No,1.00000,120,4997,0,0.90812,0,1.09585
1985,Lower Saxony,Owner,Yes,1.00000,223,4997,0,0.96139,0,1.03889
1985,Lower Saxony,Tenant,Yes,0.36309,99,4997,0,0.33161,0,0.39500
1985,Lower Saxony,Tenant,No,0.63691,180,4997,0,0.58280,0,0.68756
1985,Bremen,Tenant,No,1.00000,44,4997,0,0.85855,0,1.13847
1985,North Rhine-Westphalia,Owner,Yes,0.87955,365,4997,0,0.84785,0,0.90830
1985,North Rhine-Westphalia,Owner,No,0.12045,45,4997,0,0.10592,0,0.13492
1985,North Rhine-Westphalia,Tenant,Yes,0.32055,327,4997,0,0.29758,0,0.34216
1985,North Rhine-Westphalia,Tenant,No,0.67945,671,4997,0,0.64970,0,0.71168
1985,Hesse,Owner,Yes,1.00000,145,4997,0,0.94382,0,1.05251
1985,Hesse,Tenant,Yes,0.33645,107,4997,0,0.28500,0,0.37454
1985,Hesse,Tenant,No,0.66355,249,4997,0,0.59267,0,0.73641
1985,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,166,4997,0,0.96241,0,1.03764
