year,hgeqpnrj,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.017054373941002197,213,10177,0.017013549755344304,0.01709519812666009
2009,No,0.9829456260589978,9711,10177,0.98290480187334,0.9829864502446557
2010,Yes,0.019082689340209243,392,13799,0.01904011593807346,0.019125262742345026
2010,No,0.9809173106597907,13306,13799,0.980874737257655,0.9809598840619265
2011,Yes,0.02445720900528658,539,16603,0.02440890314978186,0.024505514860791302
2011,No,0.9755427909947135,16009,16603,0.9754944851392088,0.9755910968502183
2012,Yes,0.026717786252890053,539,16303,0.02666753544121431,0.026768037064565795
2012,No,0.9732822137471099,15735,16303,0.9732319629354341,0.9733324645587856
2013,Yes,0.026821417643917645,569,17870,0.026771285725710015,0.026871549562125275
2013,No,0.9731785823560823,17291,17870,0.9731284504378747,0.97322871427429
2014,Yes,0.03307256229086946,602,15828,0.033017254737842235,0.033127869843896686
2014,No,0.9669274377091305,15212,15828,0.9668721301561033,0.9669827452621577
2015,Yes,0.029851700775073084,569,15764,0.029799402933062567,0.0299039986170836
2015,No,0.970148299224927,15169,15764,0.9700960013829164,0.9702005970669375
2016,Yes,0.03278482393731796,531,16419,0.03273008869847741,0.0328395591761585
2016,No,0.9672151760626821,13755,16419,0.9671604408238416,0.9672699113015227
2017,Yes,0.03728853238884474,660,18279,0.03723049136294846,0.03734657341474102
2017,No,0.9627114676111554,14986,18279,0.9626534265852592,0.9627695086370517
2018,Yes,0.03934716834710537,644,17878,0.039287620648012354,0.03940671604619838
2018,No,0.9606528316528948,14774,17878,0.9605932839538018,0.9607123793519878
2019,Yes,0.03808131032334032,560,18428,0.03801955042482949,0.03814307022185115
2019,No,0.9619186896766597,12044,18428,0.9618569297781489,0.9619804495751706
2020,Yes,0.034954800390099766,681,19329,0.03489823479036931,0.03501136598983022
2020,No,0.9650451996099002,15518,19329,0.9649886340101698,0.9651017652096306
2021,Yes,0.03786976370999982,442,12568,0.037808079799191055,0.03793144762080858
2021,No,0.96213023629,9478,12568,0.9620685523791913,0.9621919202008088
