year,quintil_oecd_hh,regtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Yes,0.06880226543422356,359,5265,0.068704602058412,0.06889992881003512
1985,1st Quintile,Urban regions,No,0.07856691424540393,468,5265,0.07846309899478464,0.07867072949602323
1985,1st Quintile,Rural regions,Yes,0.027675857190848398,120,5265,0.02761256276239366,0.027739151619303137
1985,1st Quintile,Rural regions,No,0.02668185477908441,111,5265,0.026619675622714275,0.026744033935454544
1985,2nd Quintile,Urban regions,Yes,0.0871955971157465,456,5265,0.08708674282598297,0.08730445140551002
1985,2nd Quintile,Urban regions,No,0.059023647673443404,348,5265,0.05893271671163931,0.059114578635247494
1985,2nd Quintile,Rural regions,Yes,0.03184121806952526,150,5265,0.031773473024068334,0.03190896311498218
1985,2nd Quintile,Rural regions,No,0.018957189576093884,87,5265,0.018904570845868857,0.01900980830631891
1985,3rd Quintile,Urban regions,Yes,0.10627933965525405,533,5265,0.10616042517831191,0.10639825413219618
1985,3rd Quintile,Urban regions,No,0.047217196957687405,302,5265,0.04713535868334984,0.04729903523202497
1985,3rd Quintile,Rural regions,Yes,0.03171661167532427,147,5265,0.031648994964575114,0.03178422838607342
1985,3rd Quintile,Rural regions,No,0.014941203760672045,69,5265,0.014894394338690106,0.014988013182653984
1985,4th Quintile,Urban regions,Yes,0.11923812214191357,589,5265,0.11911308293061593,0.1193631613532112
1985,4th Quintile,Urban regions,No,0.04239609376209006,268,5265,0.042318350048129116,0.042473837476051005
1985,4th Quintile,Rural regions,Yes,0.031352791572718336,142,5265,0.031285551166161246,0.031420031979275426
1985,4th Quintile,Rural regions,No,0.007995267388391104,49,5265,0.007960905044827707,0.008029629731954502
1985,5th Quintile,Urban regions,Yes,0.13002891907781644,612,5265,0.12989914684062107,0.13015869131501182
1985,5th Quintile,Urban regions,No,0.030984057574508853,170,5265,0.030917201016497062,0.031050914132520643
1985,5th Quintile,Rural regions,Yes,0.030768509233834344,138,5265,0.03070187822438564,0.030835140243283047
1985,5th Quintile,Rural regions,No,0.008337343115420143,40,5265,0.008302259428690334,0.008372426802149951
1986,1st Quintile,Urban regions,Yes,0.07396911295573677,357,5034,0.07386869492670728,0.07406953098476626
1986,1st Quintile,Urban regions,No,0.07626094240179492,405,5034,0.07615910683410936,0.07636277796948047
1986,1st Quintile,Rural regions,Yes,0.022796400754900293,94,5034,0.02273913441562671,0.022853667094173875
1986,1st Quintile,Rural regions,No,0.02647243788901278,107,5034,0.026410842976005714,0.02653403280201985
1986,2nd Quintile,Urban regions,Yes,0.09459562127284321,468,5034,0.09448333399238637,0.09470790855330005
1986,2nd Quintile,Urban regions,No,0.0523383667704077,304,5034,0.052252917081953454,0.052423816458861947
1986,2nd Quintile,Rural regions,Yes,0.035484968099193985,150,5034,0.03541398573483848,0.03555595046354949
1986,2nd Quintile,Rural regions,No,0.016809630489570387,82,5034,0.016760304972932433,0.01685895600620834
