,Unnamed: 0,year,bula_h,hlc0061_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,Schleswig-Holstein,No,1.0,356,11175,0.934,1.07283
1,1,2005,Hamburg,No,1.0,176,11175,0.87706,1.12692
2,2,2005,Lower Saxony,No,1.0,944,11175,0.95584,1.0469
3,3,2005,Bremen,No,1.0,87,11175,0.83375,1.14341
4,4,2005,North Rhine-Westphalia,No,1.0,2359,11175,0.96507,1.02766
5,5,2005,Hesse,No,1.0,763,11175,0.94885,1.05874
6,6,2005,"Rhineland-Palatinate, Saarland",No,1.0,676,11175,0.94706,1.0583
7,7,2005,Baden-Wuerttemberg,No,1.0,1320,11175,0.95792,1.04763
8,8,2005,Bavaria,No,1.0,1551,11175,0.95781,1.03926
9,9,2005,Berlin,No,1.0,459,11175,0.9286,1.07092
10,10,2005,Brandenburg,No,1.0,470,11175,0.93633,1.06698
11,11,2005,Mecklenburg-Western Pomerania,No,1.0,275,11175,0.92457,1.10676
12,12,2005,Saxony,No,1.0,811,11175,0.94198,1.04936
13,13,2005,Saxony-Anhalt,No,1.0,469,11175,0.91998,1.07615
14,14,2005,Thuringa,No,1.0,459,11175,0.92358,1.08407
15,15,2006,Schleswig-Holstein,No,1.0,387,12236,0.94169,1.06342
16,16,2006,Hamburg,No,1.0,193,12236,0.90044,1.0938
17,17,2006,Lower Saxony,No,1.0,1070,12236,0.95312,1.04746
18,18,2006,Bremen,No,1.0,90,12236,0.85718,1.15039
19,19,2006,North Rhine-Westphalia,No,1.0,2528,12236,0.96948,1.03058
20,20,2006,Hesse,No,1.0,844,12236,0.95497,1.06288
21,21,2006,"Rhineland-Palatinate, Saarland",No,1.0,725,12236,0.95326,1.05522
22,22,2006,Baden-Wuerttemberg,No,1.0,1472,12236,0.96993,1.03915
23,23,2006,Bavaria,No,1.0,1726,12236,0.9688,1.03179
24,24,2006,Berlin,No,1.0,483,12236,0.94115,1.06203
25,25,2006,Brandenburg,No,1.0,532,12236,0.93668,1.0593
26,26,2006,Mecklenburg-Western Pomerania,No,1.0,303,12236,0.92561,1.08823
27,27,2006,Saxony,No,1.0,876,12236,0.94504,1.04815
28,28,2006,Saxony-Anhalt,No,1.0,492,12236,0.92728,1.06679
29,29,2006,Thuringa,No,1.0,515,12236,0.92438,1.07335
30,30,2007,Schleswig-Holstein,No,1.0,357,11411,0.92355,1.07559
31,31,2007,Hamburg,No,1.0,190,11411,0.8995,1.11775
32,32,2007,Lower Saxony,No,1.0,1001,11411,0.9548,1.0431
33,33,2007,Bremen,No,1.0,89,11411,0.86731,1.15173
34,34,2007,North Rhine-Westphalia,No,1.0,2330,11411,0.97176,1.02849
35,35,2007,Hesse,No,1.0,782,11411,0.95222,1.05945
36,36,2007,"Rhineland-Palatinate, Saarland",No,1.0,661,11411,0.94539,1.0494
37,37,2007,Baden-Wuerttemberg,No,1.0,1350,11411,0.9528,1.04223
38,38,2007,Bavaria,No,1.0,1633,11411,0.95898,1.03608
39,39,2007,Berlin,No,1.0,463,11411,0.93917,1.06527
40,40,2007,Brandenburg,No,1.0,489,11411,0.93345,1.07305
41,41,2007,Mecklenburg-Western Pomerania,No,1.0,282,11411,0.91261,1.08531
42,42,2007,Saxony,No,1.0,832,11411,0.95082,1.04979
43,43,2007,Saxony-Anhalt,No,1.0,464,11411,0.92225,1.0737
44,44,2007,Thuringa,No,1.0,488,11411,0.91911,1.06582
45,45,2008,Schleswig-Holstein,No,1.0,324,10756,0.91828,1.08176
46,46,2008,Hamburg,No,1.0,184,10756,0.90602,1.10167
47,47,2008,Lower Saxony,No,1.0,959,10756,0.95966,1.04541
48,48,2008,Bremen,No,1.0,82,10756,0.83023,1.16008
49,49,2008,North Rhine-Westphalia,No,1.0,2161,10756,0.96615,1.03267
50,50,2008,Hesse,No,1.0,733,10756,0.94878,1.05874
51,51,2008,"Rhineland-Palatinate, Saarland",No,1.0,616,10756,0.94788,1.05876
52,52,2008,Baden-Wuerttemberg,No,1.0,1281,10756,0.96236,1.04982
53,53,2008,Bavaria,No,1.0,1527,10756,0.96178,1.03959
54,54,2008,Berlin,No,1.0,446,10756,0.93138,1.06714
55,55,2008,Brandenburg,No,1.0,465,10756,0.93133,1.08098
56,56,2008,Mecklenburg-Western Pomerania,No,1.0,275,10756,0.9134,1.0892
57,57,2008,Saxony,No,1.0,797,10756,0.93376,1.06118
58,58,2008,Saxony-Anhalt,No,1.0,436,10756,0.93038,1.07266
59,59,2008,Thuringa,No,1.0,470,10756,0.93326,1.07083
60,60,2009,Schleswig-Holstein,No,1.0,298,10110,0.91007,1.08594
61,61,2009,Hamburg,No,1.0,176,10110,0.88507,1.12126
