year,regtyp,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,Urban regions,West,Yes,0.66697,2334,6471,0.66678,0.66717
1992,Urban regions,West,No,0.33303,1314,6471,0.33283,0.33322
1992,Urban regions,East,Yes,0.64838,460,6471,0.64778,0.64897
1992,Urban regions,East,No,0.35162,210,6471,0.35103,0.35222
1992,Rural regions,West,Yes,0.62032,611,6471,0.61994,0.62070
1992,Rural regions,West,No,0.37968,336,6471,0.37930,0.38006
1992,Rural regions,East,Yes,0.65167,801,6471,0.65121,0.65214
1992,Rural regions,East,No,0.34833,405,6471,0.34786,0.34879
1993,Urban regions,West,Yes,0.66519,2323,6473,0.66499,0.66539
1993,Urban regions,West,No,0.33481,1319,6473,0.33461,0.33501
1993,Urban regions,East,Yes,0.69452,487,6473,0.69394,0.69509
1993,Urban regions,East,No,0.30548,170,6473,0.30491,0.30606
1993,Rural regions,West,Yes,0.64122,621,6473,0.64085,0.64158
1993,Rural regions,West,No,0.35878,340,6473,0.35842,0.35915
1993,Rural regions,East,Yes,0.67814,838,6473,0.67770,0.67859
1993,Rural regions,East,No,0.32186,375,6473,0.32141,0.32230
1994,Urban regions,West,Yes,0.65571,2273,6417,0.65552,0.65591
1994,Urban regions,West,No,0.34429,1334,6417,0.34409,0.34448
1994,Urban regions,East,Yes,0.70231,470,6417,0.70174,0.70288
1994,Urban regions,East,No,0.29769,185,6417,0.29712,0.29826
1994,Rural regions,West,Yes,0.64646,643,6417,0.64610,0.64682
1994,Rural regions,West,No,0.35354,323,6417,0.35318,0.35390
1994,Rural regions,East,Yes,0.71076,844,6417,0.71033,0.71119
1994,Rural regions,East,No,0.28924,345,6417,0.28881,0.28967
1995,Urban regions,West,Yes,0.63908,2330,6609,0.63889,0.63928
1995,Urban regions,West,No,0.36092,1439,6609,0.36072,0.36111
1995,Urban regions,East,Yes,0.70284,446,6609,0.70225,0.70342
1995,Urban regions,East,No,0.29716,170,6609,0.29658,0.29775
1995,Rural regions,West,Yes,0.66468,682,6609,0.66433,0.66504
1995,Rural regions,West,No,0.33532,348,6609,0.33496,0.33567
1995,Rural regions,East,Yes,0.71738,849,6609,0.71695,0.71780
1995,Rural regions,East,No,0.28262,345,6609,0.28220,0.28305
1996,Urban regions,West,Yes,0.63824,2242,6541,0.63804,0.63843
1996,Urban regions,West,No,0.36176,1458,6541,0.36157,0.36196
1996,Urban regions,East,Yes,0.68626,441,6541,0.68567,0.68685
1996,Urban regions,East,No,0.31374,188,6541,0.31315,0.31433
1996,Rural regions,West,Yes,0.66977,693,6541,0.66942,0.67013
1996,Rural regions,West,No,0.33023,329,6541,0.32987,0.33058
1996,Rural regions,East,Yes,0.70657,838,6541,0.70614,0.70701
1996,Rural regions,East,No,0.29343,352,6541,0.29299,0.29386
1997,Urban regions,West,Yes,0.64022,2218,6483,0.64002,0.64041
1997,Urban regions,West,No,0.35978,1440,6483,0.35959,0.35998
1997,Urban regions,East,Yes,0.70012,443,6483,0.69955,0.70070
1997,Urban regions,East,No,0.29988,184,6483,0.29930,0.30045
1997,Rural regions,West,Yes,0.63589,663,6483,0.63552,0.63625
1997,Rural regions,West,No,0.36411,352,6483,0.36375,0.36448
1997,Rural regions,East,Yes,0.70904,835,6483,0.70861,0.70946
1997,Rural regions,East,No,0.29096,348,6483,0.29054,0.29139
1998,Urban regions,West,Yes,0.62489,2535,7313,0.62470,0.62509
1998,Urban regions,West,No,0.37511,1654,7313,0.37491,0.37530
1998,Urban regions,East,Yes,0.66428,432,7313,0.66368,0.66489
1998,Urban regions,East,No,0.33572,213,7313,0.33511,0.33632
1998,Rural regions,West,Yes,0.64383,778,7313,0.64346,0.64419
1998,Rural regions,West,No,0.35617,407,7313,0.35581,0.35654
1998,Rural regions,East,Yes,0.67822,874,7313,0.67778,0.67865
1998,Rural regions,East,No,0.32178,420,7313,0.32135,0.32222
1999,Urban regions,West,Yes,0.62542,2432,7049,0.62522,0.62561
1999,Urban regions,West,No,0.37458,1574,7049,0.37439,0.37478
1999,Urban regions,East,Yes,0.63089,415,7049,0.63027,0.63151
1999,Urban regions,East,No,0.36911,223,7049,0.36849,0.36973
1999,Rural regions,West,Yes,0.67092,767,7049,0.67056,0.67127
1999,Rural regions,West,No,0.32908,363,7049,0.32873,0.32944
1999,Rural regions,East,Yes,0.67178,852,7049,0.67135,0.67221
