year,bula_h,regtyp,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,No,1.00000,137,14065,0,0.83728,0,1.19841
2016,Schleswig-Holstein,Rural regions,No,1.00000,352,14065,0,0.88070,0,1.09360
2016,Hamburg,Urban regions,No,1.00000,260,14065,0,0.88208,0,1.09934
2016,Lower Saxony,Urban regions,No,1.00000,549,14065,0,0.90092,0,1.08845
2016,Lower Saxony,Rural regions,No,1.00000,766,14065,0,0.91748,0,1.07433
2016,Bremen,Urban regions,No,1.00000,103,14065,0,0.75235,0,1.27839
2016,North Rhine-Westphalia,Urban regions,Yes,0.01484,45,14065,0,0.01100,0,0.01947
2016,North Rhine-Westphalia,Urban regions,No,0.98516,2804,14065,0,0.94653,0,1.02531
2016,North Rhine-Westphalia,Rural regions,No,1.00000,51,14065,0,0.77512,0,1.26733
2016,Hesse,Urban regions,No,1.00000,783,14065,0,0.94558,0,1.07989
2016,Hesse,Rural regions,No,1.00000,170,14065,0,0.81981,0,1.18957
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,1.00000,608,14065,0,0.91479,0,1.07942
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,1.00000,224,14065,0,0.87977,0,1.14931
2016,Baden-Wuerttemberg,Urban regions,Yes,0.03419,47,14065,0,0.02658,0,0.04485
2016,Baden-Wuerttemberg,Urban regions,No,0.96581,1404,14065,0,0.89838,0,1.02303
2016,Baden-Wuerttemberg,Rural regions,No,1.00000,167,14065,0,0.85481,0,1.20338
2016,Bavaria,Urban regions,No,1.00000,1063,14065,0,0.93149,0,1.05808
2016,Bavaria,Rural regions,No,1.00000,1181,14065,0,0.93195,0,1.06589
2016,Berlin,Urban regions,No,1.00000,591,14065,0,0.93162,0,1.07491
2016,Brandenburg,Urban regions,No,1.00000,45,14065,0,0.71449,0,1.32199
2016,Brandenburg,Rural regions,No,1.00000,509,14065,0,0.90827,0,1.10474
2016,Mecklenburg-Western Pomerania,Urban regions,No,1.00000,45,14065,0,0.76347,0,1.28284
2016,Mecklenburg-Western Pomerania,Rural regions,No,1.00000,276,14065,0,0.89252,0,1.13765
2016,Saxony,Urban regions,No,1.00000,456,14065,0,0.90651,0,1.07876
2016,Saxony,Rural regions,No,1.00000,391,14065,0,0.89647,0,1.11260
2016,Saxony-Anhalt,Urban regions,No,1.00000,120,14065,0,0.79520,0,1.23777
2016,Saxony-Anhalt,Rural regions,No,1.00000,382,14065,0,0.90124,0,1.10599
2016,Thuringa,Urban regions,No,1.00000,178,14065,0,0.81890,0,1.18282
2016,Thuringa,Rural regions,No,1.00000,358,14065,0,0.88206,0,1.13191
2017,Schleswig-Holstein,Urban regions,No,1.00000,172,15433,0,0.86825,0,1.16640
2017,Schleswig-Holstein,Rural regions,No,1.00000,381,15433,0,0.87402,0,1.11068
2017,Hamburg,Urban regions,No,1.00000,289,15433,0,0.88905,0,1.10866
2017,Lower Saxony,Urban regions,No,1.00000,640,15433,0,0.91629,0,1.10140
2017,Lower Saxony,Rural regions,No,1.00000,853,15433,0,0.93848,0,1.07664
2017,Bremen,Urban regions,No,1.00000,124,15433,0,0.81696,0,1.19038
2017,North Rhine-Westphalia,Urban regions,Yes,0.01935,63,15433,0,0.01472,0,0.02387
2017,North Rhine-Westphalia,Urban regions,No,0.98065,3060,15433,0,0.94885,0,1.01263
2017,North Rhine-Westphalia,Rural regions,No,1.00000,59,15433,0,0.74961,0,1.23118
2017,Hesse,Urban regions,No,1.00000,820,15433,0,0.93089,0,1.06638
2017,Hesse,Rural regions,No,1.00000,205,15433,0,0.87575,0,1.14904
2017,"Rhineland-Palatinate, Saarland",Urban regions,No,1.00000,648,15433,0,0.92602,0,1.06612
2017,"Rhineland-Palatinate, Saarland",Rural regions,No,1.00000,216,15433,0,0.86233,0,1.17157
2017,Baden-Wuerttemberg,Urban regions,Yes,0.03222,51,15433,0,0.02417,0,0.04166
2017,Baden-Wuerttemberg,Urban regions,No,0.96778,1491,15433,0,0.92232,0,1.01349
2017,Baden-Wuerttemberg,Rural regions,No,1.00000,177,15433,0,0.84904,0,1.17062
2017,Bavaria,Urban regions,No,1.00000,1148,15433,0,0.93917,0,1.04914
2017,Bavaria,Rural regions,Yes,0.03072,34,15433,0,0.01945,0,0.04367
2017,Bavaria,Rural regions,No,0.96928,1290,15433,0,0.91868,0,1.03311
2017,Berlin,Urban regions,No,1.00000,649,15433,0,0.92435,0,1.07318
2017,Brandenburg,Urban regions,No,1.00000,53,15433,0,0.75621,0,1.28686
2017,Brandenburg,Rural regions,No,1.00000,553,15433,0,0.90464,0,1.09062
2017,Mecklenburg-Western Pomerania,Urban regions,No,1.00000,53,15433,0,0.80606,0,1.22804
2017,Mecklenburg-Western Pomerania,Rural regions,No,1.00000,306,15433,0,0.90489,0,1.13615
2017,Saxony,Urban regions,No,1.00000,519,15433,0,0.92017,0,1.09914
2017,Saxony,Rural regions,No,1.00000,446,15433,0,0.91055,0,1.10100
