year,quintil_oecd_hh,rentown,hlc0180,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2016,,Owner,No,0.9788732394366197,16419,0.976673544763875,0.9810729341093645
2016,,Owner,Yes,0.02112676056338028,16419,0.01892706589063556,0.023326455236125
2016,,Tenant,No,0.9912408759124087,16419,0.9898155878070992,0.9926661640177182
2016,,Tenant,Yes,0.008759124087591242,16419,0.0073338359822817745,0.01018441219290071
2016,,Owner,No,0.9736842105263158,16419,0.9712357112198434,0.9761327098327882
2016,,Owner,Yes,0.02631578947368421,16419,0.023867290167211844,0.028764288780156574
2016,,Tenant,No,0.9926108374384236,16419,0.9913008418389536,0.9939208330378936
2016,,Tenant,Yes,0.007389162561576354,16419,0.006079166962106353,0.008699158161046355
2016,,Owner,No,0.9802197802197802,16419,0.9780898763267809,0.9823496841127795
2016,,Owner,Yes,0.01978021978021978,16419,0.017650315887220522,0.021910123673219036
2016,,Tenant,No,0.9804372842347526,16419,0.9783188879721675,0.9825556804973378
2016,,Tenant,Yes,0.019562715765247412,16419,0.017444319502662307,0.021681112027832516
2016,,Owner,No,0.9751792608935466,16419,0.9727995055916995,0.9775590161953936
2016,,Owner,Yes,0.024820739106453393,16419,0.02244098380460633,0.027200494408300455
2016,,Tenant,No,0.9717741935483871,16419,0.9692408821313263,0.9743075049654479
2016,,Tenant,Yes,0.028225806451612902,16419,0.025692495034552083,0.030759117868673722
2016,,Owner,No,0.9646333549643089,16419,0.9618080795573034,0.9674586303713144
2016,,Owner,Yes,0.03536664503569111,16419,0.03254136962868567,0.03819192044269656
2016,,Tenant,No,0.9577278731836195,16419,0.9546501409509182,0.9608056054163209
2016,,Tenant,Yes,0.04227212681638045,16419,0.039194394583679126,0.04534985904908177
2017,,Owner,No,0.968421052631579,18279,0.9658858610113399,0.970956244251818
2017,,Owner,Yes,0.031578947368421054,18279,0.029043755748181938,0.03411413898866017
2017,,Tenant,No,0.9862903225806452,18279,0.9846045621367067,0.9879760830245837
2017,,Tenant,Yes,0.013709677419354839,18279,0.012023916975416285,0.015395437863293393
