year,bula_h,rentown,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Owner,No,0.99940,234,234,0.99626,1.00254
2016,Lower Saxony,Owner,No,0.99473,691,691,0.98933,1.00013
2016,Lower Saxony,Tenant,No,0.99984,654,654,0.99888,1.00080
2016,North Rhine-Westphalia,Owner,No,0.99172,1208,1208,0.98661,0.99683
2016,North Rhine-Westphalia,Tenant,No,0.99353,1685,1685,0.98970,0.99736
2016,Hesse,Owner,No,0.99555,423,423,0.98921,1.00190
2016,Hesse,Tenant,No,0.99748,550,550,0.99328,1.00167
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.99596,440,440,0.99002,1.00189
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.99461,404,404,0.98746,1.00176
2016,Baden-Wuerttemberg,Owner,No,0.99306,851,851,0.98748,0.99864
2016,Baden-Wuerttemberg,Tenant,No,0.99015,770,770,0.98317,0.99713
2016,Bavaria,Owner,No,0.99484,1091,1091,0.99059,0.99909
2016,Berlin,Tenant,No,0.99445,497,497,0.98792,1.00099
2016,Brandenburg,Owner,No,0.99652,252,252,0.98923,1.00381
2016,Brandenburg,Tenant,No,0.99891,307,307,0.99520,1.00261
2016,Saxony,Owner,No,0.98588,300,300,0.97250,0.99925
2016,Saxony,Tenant,No,0.98806,558,558,0.97903,0.99708
2016,Saxony-Anhalt,Tenant,No,0.98775,299,299,0.97526,1.00024
2016,Thuringa,Tenant,No,0.99283,300,300,0.98326,1.00239
2017,Schleswig-Holstein,Owner,No,0.99981,281,281,0.99820,1.00142
2017,Schleswig-Holstein,Tenant,No,0.98144,283,283,0.96568,0.99719
2017,Hamburg,Owner,No,0.99421,83,83,0.97779,1.01063
2017,Hamburg,Tenant,No,0.99552,212,212,0.98651,1.00453
2017,Lower Saxony,Owner,No,0.99893,810,810,0.99668,1.00118
2017,Lower Saxony,Tenant,No,0.98493,724,724,0.97605,0.99381
2017,Bremen,Tenant,No,0.97532,85,85,0.94214,1.00850
2017,North Rhine-Westphalia,Owner,No,0.99442,1396,1396,0.99051,0.99833
2017,North Rhine-Westphalia,Tenant,No,0.98585,1781,1781,0.98036,0.99134
2017,Hesse,Owner,No,0.99968,468,468,0.99805,1.00130
2017,Hesse,Tenant,No,0.98813,584,584,0.97934,0.99692
2017,"Rhineland-Palatinate, Saarland",Owner,No,0.99781,463,463,0.99355,1.00207
2017,"Rhineland-Palatinate, Saarland",Tenant,No,0.97523,414,414,0.96024,0.99022
2017,Baden-Wuerttemberg,Owner,No,0.99956,921,921,0.99820,1.00092
2017,Baden-Wuerttemberg,Tenant,No,0.98753,799,799,0.97983,0.99523
2017,Bavaria,Owner,No,0.99973,1195,1195,0.99881,1.00066
2017,Bavaria,Tenant,No,0.99149,1304,1304,0.98651,0.99648
2017,Berlin,Tenant,No,0.98467,543,543,0.97432,0.99501
2017,Brandenburg,Owner,No,0.99356,279,279,0.98415,1.00296
2017,Brandenburg,Tenant,No,0.98426,336,336,0.97093,0.99759
2017,Mecklenburg-Western Pomerania,Tenant,No,0.99190,237,237,0.98047,1.00334
2017,Saxony,Owner,No,0.99962,359,359,0.99761,1.00164
2017,Saxony,Tenant,No,0.99289,625,625,0.98630,0.99948
2017,Saxony-Anhalt,Tenant,No,0.98731,331,331,0.97523,0.99939
2017,Thuringa,Owner,No,0.97681,266,266,0.95868,0.99493
2017,Thuringa,Tenant,No,0.98956,323,323,0.97846,1.00066
2018,Schleswig-Holstein,Owner,No,0.99817,267,267,0.99303,1.00331
2018,Schleswig-Holstein,Tenant,No,0.97072,283,283,0.95104,0.99039
2018,Hamburg,Owner,No,0.96017,74,74,0.91531,1.00503
2018,Hamburg,Tenant,No,0.98961,246,246,0.97692,1.00231
2018,Lower Saxony,Owner,No,0.99176,760,760,0.98533,0.99819
2018,Lower Saxony,Tenant,No,0.97843,714,714,0.96777,0.98909
2018,Bremen,Tenant,No,0.97055,82,82,0.93373,1.00737
2018,North Rhine-Westphalia,Owner,No,0.99360,1334,1334,0.98932,0.99788
2018,North Rhine-Westphalia,Tenant,No,0.97759,1834,1834,0.97081,0.98436
2018,Hesse,Owner,No,0.99888,448,448,0.99577,1.00198
2018,Hesse,Tenant,No,0.98410,556,556,0.97370,0.99451
2018,"Rhineland-Palatinate, Saarland",Owner,No,0.99768,446,446,0.99320,1.00215
2018,"Rhineland-Palatinate, Saarland",Tenant,No,0.97928,437,437,0.96591,0.99265
2018,Baden-Wuerttemberg,Owner,No,0.99409,872,872,0.98899,0.99918
2018,Baden-Wuerttemberg,Tenant,No,0.98496,748,748,0.97623,0.99369
2018,Bavaria,Owner,No,0.99848,1146,1146,0.99623,1.00074
2018,Bavaria,Tenant,No,0.98545,1253,1253,0.97882,0.99208
2018,Berlin,Owner,No,0.98494,112,112,0.96229,1.00760
2018,Berlin,Tenant,No,0.99110,580,580,0.98345,0.99875
2018,Brandenburg,Owner,No,0.99905,268,268,0.99536,1.00275
2018,Brandenburg,Tenant,No,0.98146,375,375,0.96779,0.99513
2018,Mecklenburg-Western Pomerania,Tenant,No,0.98935,255,255,0.97672,1.00197
2018,Saxony,Owner,No,0.99319,349,349,0.98455,1.00183
2018,Saxony,Tenant,No,0.99356,632,632,0.98732,0.99980
2018,Saxony-Anhalt,Tenant,No,0.98849,347,347,0.97725,0.99973
2018,Thuringa,Tenant,No,0.98291,329,329,0.96888,0.99693
2019,Schleswig-Holstein,Owner,No,0.99326,335,335,0.98448,1.00203
2019,Schleswig-Holstein,Tenant,No,0.97481,254,254,0.95550,0.99412
2019,Hamburg,Owner,No,0.99123,110,110,0.97373,1.00873
2019,Hamburg,Tenant,No,0.98945,247,247,0.97668,1.00222
2019,Lower Saxony,Owner,No,0.99619,820,820,0.99197,1.00041
2019,Lower Saxony,Tenant,No,0.97778,669,669,0.96660,0.98896
2019,Bremen,Tenant,No,0.97399,81,81,0.93911,1.00887
2019,North Rhine-Westphalia,Owner,No,0.99651,1563,1563,0.99358,0.99943
2019,North Rhine-Westphalia,Tenant,No,0.97835,1708,1708,0.97144,0.98525
2019,Hesse,Owner,No,0.99994,540,540,0.99926,1.00061
2019,Hesse,Tenant,No,0.98366,550,550,0.97306,0.99427
2019,"Rhineland-Palatinate, Saarland",Owner,No,0.99752,494,494,0.99312,1.00191
2019,"Rhineland-Palatinate, Saarland",Tenant,No,0.97715,409,409,0.96265,0.99165
2019,Baden-Wuerttemberg,Owner,No,0.98980,959,959,0.98343,0.99616
2019,Baden-Wuerttemberg,Tenant,No,0.98424,725,725,0.97517,0.99331
2019,Bavaria,Owner,No,0.99595,1319,1319,0.99252,0.99938
2019,Bavaria,Tenant,No,0.98591,1204,1204,0.97925,0.99257
2019,Berlin,Owner,No,0.99445,158,158,0.98284,1.00607
2019,Berlin,Tenant,No,0.98089,579,579,0.96973,0.99205
2019,Brandenburg,Owner,No,0.99663,357,357,0.99060,1.00265
2019,Brandenburg,Tenant,No,0.98631,360,360,0.97429,0.99833
2019,Mecklenburg-Western Pomerania,Owner,No,0.98696,164,164,0.96955,1.00438
2019,Mecklenburg-Western Pomerania,Tenant,No,0.98885,236,236,0.97542,1.00227
2019,Saxony,Tenant,No,0.99342,611,611,0.98701,0.99984
2019,Saxony-Anhalt,Owner,No,0.99663,263,263,0.98962,1.00365
2019,Saxony-Anhalt,Tenant,No,0.98606,305,305,0.97288,0.99924
2019,Thuringa,Owner,No,0.99237,286,286,0.98228,1.00247
2019,Thuringa,Tenant,No,0.97909,298,298,0.96281,0.99536
2020,Schleswig-Holstein,Owner,No,0.98801,291,291,0.97548,1.00053
