year,rentown,sampreg,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Owner,West,No,1.00000,5119,14241,0,0.97318,0,1.02910
2016,Owner,East,No,1.00000,1150,14241,0,0.94141,0,1.05868
2016,Tenant,West,No,1.00000,6066,14241,0,0.97116,0,1.03033
2016,Tenant,East,No,1.00000,1906,14241,0,0.95011,0,1.05802
2017,Owner,West,No,1.00000,5735,15625,0,0.97847,0,1.02648
2017,Owner,East,No,1.00000,1309,15625,0,0.94817,0,1.06242
2017,Tenant,West,No,1.00000,6484,15625,0,0.97673,0,1.03047
2017,Tenant,East,No,1.00000,2097,15625,0,0.94800,0,1.03909
2018,Owner,West,No,1.00000,5475,15398,0,0.96709,0,1.02465
2018,Owner,East,No,1.00000,1252,15398,0,0.92990,0,1.06036
2018,Tenant,West,No,1.00000,6497,15398,0,0.97455,0,1.02940
2018,Tenant,East,No,1.00000,2174,15398,0,0.94534,0,1.04777
2019,Owner,West,No,1.00000,6286,16018,0,0.96986,0,1.02638
2019,Owner,East,No,1.00000,1543,16018,0,0.92433,0,1.06708
2019,Tenant,West,No,1.00000,6152,16018,0,0.97490,0,1.02250
2019,Tenant,East,No,1.00000,2037,16018,0,0.94144,0,1.06177
2020,Owner,West,No,1.00000,5564,16215,0,0.96589,0,1.03259
2020,Owner,East,No,1.00000,1350,16215,0,0.92399,0,1.07730
2020,Tenant,West,No,1.00000,7223,16215,0,0.97078,0,1.02821
2020,Tenant,East,No,1.00000,2078,16215,0,0.95628,0,1.04590
2021,Owner,West,No,1.00000,4098,11029,0,0.96539,0,1.03936
2021,Owner,East,No,1.00000,950,11029,0,0.91253,0,1.09402
2021,Tenant,West,No,1.00000,4541,11029,0,0.96618,0,1.03590
2021,Tenant,East,No,1.00000,1440,11029,0,0.94428,0,1.05856
