year,bula_h,hlf0178_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,Yes,0.51080,208,11101,0,0.46881,0,0.57509
2005,Schleswig-Holstein,No,0.48920,148,11101,0,0.45216,0,0.54066
2005,Hamburg,Yes,0.51410,107,11101,0,0.42283,0,0.60788
2005,Hamburg,No,0.48590,67,11101,0,0.42060,0,0.55732
2005,Lower Saxony,Yes,0.52490,562,11101,0,0.49272,0,0.56157
2005,Lower Saxony,No,0.47510,372,11101,0,0.44020,0,0.50947
2005,Bremen,Yes,0.43978,43,11101,0,0.35316,0,0.55126
2005,Bremen,No,0.56022,42,11101,0,0.45647,0,0.65125
2005,North Rhine-Westphalia,Yes,0.47255,1309,11101,0,0.45286,0,0.49250
2005,North Rhine-Westphalia,No,0.52745,1038,11101,0,0.50756,0,0.54551
2005,Hesse,Yes,0.53757,456,11101,0,0.49889,0,0.57992
2005,Hesse,No,0.46243,305,11101,0,0.43368,0,0.49516
2005,"Rhineland-Palatinate, Saarland",Yes,0.37923,302,11101,0,0.34121,0,0.41308
2005,"Rhineland-Palatinate, Saarland",No,0.62077,371,11101,0,0.57154,0,0.66320
2005,Baden-Wuerttemberg,Yes,0.48098,705,11101,0,0.44939,0,0.51444
2005,Baden-Wuerttemberg,No,0.51902,606,11101,0,0.48415,0,0.55078
2005,Bavaria,Yes,0.47499,877,11101,0,0.44697,0,0.50219
2005,Bavaria,No,0.52501,665,11101,0,0.50410,0,0.54956
2005,Berlin,Yes,0.47780,255,11101,0,0.42765,0,0.52051
2005,Berlin,No,0.52220,203,11101,0,0.47935,0,0.55804
2005,Brandenburg,Yes,0.42245,225,11101,0,0.37300,0,0.47215
2005,Brandenburg,No,0.57755,241,11101,0,0.53428,0,0.62156
2005,Mecklenburg-Western Pomerania,Yes,0.35467,121,11101,0,0.30288,0,0.40285
2005,Mecklenburg-Western Pomerania,No,0.64533,150,11101,0,0.59104,0,0.71741
2005,Saxony,Yes,0.42648,394,11101,0,0.39079,0,0.46234
2005,Saxony,No,0.57352,405,11101,0,0.53553,0,0.60960
2005,Saxony-Anhalt,Yes,0.34945,201,11101,0,0.30330,0,0.40033
2005,Saxony-Anhalt,No,0.65055,264,11101,0,0.59735,0,0.70523
2005,Thuringa,Yes,0.33742,194,11101,0,0.28767,0,0.39092
2005,Thuringa,No,0.66258,265,11101,0,0.60660,0,0.73184
2007,Schleswig-Holstein,Yes,0.56589,225,11366,0,0.50600,0,0.61802
2007,Schleswig-Holstein,No,0.43411,134,11366,0,0.39402,0,0.47604
2007,Hamburg,Yes,0.56361,127,11366,0,0.47602,0,0.65435
2007,Hamburg,No,0.43639,60,11366,0,0.37189,0,0.49033
2007,Lower Saxony,Yes,0.57699,656,11366,0,0.54304,0,0.61486
2007,Lower Saxony,No,0.42301,345,11366,0,0.39702,0,0.44941
2007,Bremen,Yes,0.54569,54,11366,0,0.41832,0,0.69139
2007,Bremen,No,0.45431,35,11366,0,0.35797,0,0.54454
2007,North Rhine-Westphalia,Yes,0.56506,1499,11366,0,0.54267,0,0.59324
2007,North Rhine-Westphalia,No,0.43494,825,11366,0,0.41900,0,0.45577
2007,Hesse,Yes,0.61975,528,11366,0,0.57791,0,0.66610
2007,Hesse,No,0.38025,249,11366,0,0.34672,0,0.40894
2007,"Rhineland-Palatinate, Saarland",Yes,0.49113,369,11366,0,0.44635,0,0.52942
2007,"Rhineland-Palatinate, Saarland",No,0.50887,289,11366,0,0.46805,0,0.54186
2007,Baden-Wuerttemberg,Yes,0.55006,829,11366,0,0.51812,0,0.58065
