year,bula_h,regtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Urban regions,Yes,1.00000,135,11438,0,0.92265,0,1.08999
2001,Schleswig-Holstein,Rural regions,Yes,0.75261,159,11438,0,0.68302,0,0.81218
2001,Schleswig-Holstein,Rural regions,No,0.24739,46,11438,0,0.20579,0,0.28954
2001,Hamburg,Urban regions,Yes,0.66588,119,11438,0,0.61644,0,0.72679
2001,Hamburg,Urban regions,No,0.33412,60,11438,0,0.29438,0,0.37949
2001,Lower Saxony,Urban regions,Yes,0.75953,368,11438,0,0.71772,0,0.80716
2001,Lower Saxony,Urban regions,No,0.24047,107,11438,0,0.21706,0,0.26140
2001,Lower Saxony,Rural regions,Yes,0.79420,384,11438,0,0.75059,0,0.84699
2001,Lower Saxony,Rural regions,No,0.20580,89,11438,0,0.17996,0,0.23302
2001,Bremen,Urban regions,Yes,1.00000,74,11438,0,0.88586,0,1.09353
2001,North Rhine-Westphalia,Urban regions,Yes,0.76453,1825,11438,0,0.74090,0,0.78411
2001,North Rhine-Westphalia,Urban regions,No,0.23547,578,11438,0,0.22329,0,0.24958
2001,North Rhine-Westphalia,Rural regions,Yes,1.00000,39,11438,0,0.81286,0,1.18953
2001,Hesse,Urban regions,Yes,0.80076,492,11438,0,0.75790,0,0.83899
2001,Hesse,Urban regions,No,0.19924,133,11438,0,0.18153,0,0.22228
2001,Hesse,Rural regions,Yes,1.00000,122,11438,0,0.90181,0,1.10773
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.77683,421,11438,0,0.73740,0,0.81775
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.22317,122,11438,0,0.19960,0,0.24746
2001,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.76504,125,11438,0,0.68972,0,0.85010
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.23496,41,11438,0,0.20474,0,0.26623
2001,Baden-Wuerttemberg,Urban regions,Yes,0.78465,941,11438,0,0.75738,0,0.81628
2001,Baden-Wuerttemberg,Urban regions,No,0.21535,277,11438,0,0.19815,0,0.23355
2001,Baden-Wuerttemberg,Rural regions,Yes,0.83277,101,11438,0,0.72607,0,0.94035
2001,Baden-Wuerttemberg,Rural regions,No,0.16723,31,11438,0,0.12970,0,0.21387
2001,Bavaria,Urban regions,Yes,0.84237,658,11438,0,0.80564,0,0.87892
2001,Bavaria,Urban regions,No,0.15763,122,11438,0,0.13827,0,0.17662
2001,Bavaria,Rural regions,Yes,0.82032,674,11438,0,0.78286,0,0.85648
2001,Bavaria,Rural regions,No,0.17968,145,11438,0,0.16226,0,0.19645
2001,Berlin,Urban regions,Yes,0.67274,314,11438,0,0.63114,0,0.70832
2001,Berlin,Urban regions,No,0.32726,165,11438,0,0.30184,0,0.35465
2001,Brandenburg,Urban regions,Yes,1.00000,31,11438,0,0.84892,0,1.15847
2001,Brandenburg,Rural regions,Yes,0.77645,344,11438,0,0.73442,0,0.81675
2001,Brandenburg,Rural regions,No,0.22355,116,11438,0,0.19444,0,0.25008
2001,Mecklenburg-Western Pomerania,Urban regions,Yes,1.00000,33,11438,0,0.85136,0,1.14035
2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.77052,184,11438,0,0.71092,0,0.83846
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.22948,59,11438,0,0.19221,0,0.26375
2001,Saxony,Urban regions,Yes,0.78124,322,11438,0,0.72963,0,0.83792
2001,Saxony,Urban regions,No,0.21876,94,11438,0,0.18966,0,0.24945
2001,Saxony,Rural regions,Yes,0.81108,336,11438,0,0.76301,0,0.85597
2001,Saxony,Rural regions,No,0.18892,91,11438,0,0.16820,0,0.21056
2001,Saxony-Anhalt,Urban regions,Yes,1.00000,74,11438,0,0.89345,0,1.09573
