year,bula_h,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Schleswig-Holstein,Owner,No,0.91438,66,66,0.84636,0.98240
1991,Schleswig-Holstein,Tenant,No,0.91795,79,79,0.85704,0.97885
1991,Hamburg,Tenant,No,0.83613,76,76,0.75236,0.91991
1991,Lower Saxony,Owner,No,0.85910,180,180,0.80813,0.91007
1991,Lower Saxony,Tenant,No,0.89042,248,248,0.85146,0.92938
1991,Bremen,Tenant,No,0.91005,39,39,0.81908,1.00102
1991,North Rhine-Westphalia,Owner,"Yes, Regularly",0.13829,54,393,0.10412,0.17247
1991,North Rhine-Westphalia,Owner,No,0.78915,339,393,0.74877,0.82953
1991,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.06980,33,807,0.05221,0.08739
1991,North Rhine-Westphalia,Tenant,No,0.89140,774,807,0.86992,0.91288
1991,Hesse,Owner,No,0.84650,133,133,0.78501,0.90800
1991,Hesse,Tenant,No,0.90553,294,294,0.87204,0.93902
1991,"Rhineland-Palatinate, Saarland",Owner,No,0.83998,145,145,0.78009,0.89986
1991,"Rhineland-Palatinate, Saarland",Tenant,No,0.90345,151,151,0.85618,0.95071
1991,Baden-Wuerttemberg,Owner,No,0.88773,317,317,0.85292,0.92254
1991,Baden-Wuerttemberg,Tenant,No,0.94615,468,468,0.92568,0.96662
1991,Bavaria,Owner,No,0.84739,300,300,0.80663,0.88815
1991,Bavaria,Tenant,No,0.89298,421,421,0.86341,0.92255
1991,Berlin,Tenant,No,0.85152,271,271,0.80910,0.89393
1991,Brandenburg,Owner,No,0.94815,114,114,0.90726,0.98903
1991,Brandenburg,Tenant,No,0.95969,200,200,0.93236,0.98702
1991,Mecklenburg-Western Pomerania,Owner,No,0.98032,59,59,0.94457,1.01607
1991,Mecklenburg-Western Pomerania,Tenant,No,0.95930,155,155,0.92810,0.99051
1991,Saxony,Owner,No,0.98464,137,137,0.96398,1.00531
1991,Saxony,Tenant,No,0.94867,444,444,0.92812,0.96922
1991,Saxony-Anhalt,Owner,No,0.95759,124,124,0.92198,0.99320
1991,Saxony-Anhalt,Tenant,No,0.94950,238,238,0.92163,0.97738
1991,Thuringa,Tenant,No,0.95340,191,191,0.92343,0.98337
1994,Schleswig-Holstein,Owner,No,0.85009,60,60,0.75900,0.94118
1994,Schleswig-Holstein,Tenant,No,0.91552,79,79,0.85379,0.97724
1994,Hamburg,Tenant,No,0.94453,73,73,0.89166,0.99740
1994,Lower Saxony,Owner,No,0.85122,195,195,0.80114,0.90130
1994,Lower Saxony,Tenant,No,0.85265,254,254,0.80898,0.89633
1994,Bremen,Tenant,No,0.90189,35,35,0.80190,1.00188
1994,North Rhine-Westphalia,Owner,"Yes, Regularly",0.17619,61,392,0.13843,0.21396
1994,North Rhine-Westphalia,Owner,No,0.74811,331,392,0.70508,0.79114
1994,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.07486,35,769,0.05625,0.09347
1994,North Rhine-Westphalia,Tenant,No,0.85018,734,769,0.82494,0.87542
1994,Hesse,Owner,No,0.73973,125,125,0.66249,0.81696
1994,Hesse,Tenant,No,0.88938,279,279,0.85250,0.92625
1994,"Rhineland-Palatinate, Saarland",Owner,No,0.85916,148,148,0.80292,0.91539
1994,"Rhineland-Palatinate, Saarland",Tenant,No,0.86840,143,143,0.81280,0.92401
1994,Baden-Wuerttemberg,Owner,No,0.82008,288,288,0.77564,0.86452
1994,Baden-Wuerttemberg,Tenant,No,0.92315,466,466,0.89895,0.94736
1994,Bavaria,Owner,No,0.83303,307,307,0.79125,0.87482
1994,Bavaria,Tenant,No,0.90491,441,441,0.87750,0.93232
1994,Berlin,Tenant,No,0.83821,264,264,0.79370,0.88271
1994,Brandenburg,Owner,No,0.99269,104,104,0.97624,1.00914
1994,Brandenburg,Tenant,No,0.95086,188,188,0.91988,0.98184
1994,Mecklenburg-Western Pomerania,Tenant,No,0.95261,136,136,0.91676,0.98845
1994,Saxony,Owner,No,0.97432,146,146,0.94858,1.00007
1994,Saxony,Tenant,No,0.94646,391,391,0.92412,0.96880
1994,Saxony-Anhalt,Owner,No,0.98142,107,107,0.95572,1.00713
1994,Saxony-Anhalt,Tenant,No,0.96718,224,224,0.94379,0.99056
1994,Thuringa,Owner,No,0.96317,132,132,0.93092,0.99542
1994,Thuringa,Tenant,No,0.95545,187,187,0.92580,0.98510
1999,Schleswig-Holstein,Owner,No,0.91765,85,85,0.85887,0.97644
1999,Schleswig-Holstein,Tenant,No,0.97238,79,79,0.93601,1.00875
1999,Hamburg,Tenant,No,0.87496,66,66,0.79455,0.95537
1999,Lower Saxony,Owner,No,0.88301,262,262,0.84402,0.92201
1999,Lower Saxony,Tenant,No,0.92350,296,296,0.89317,0.95383
1999,Bremen,Tenant,No,0.90808,35,35,0.81097,1.00520
1999,North Rhine-Westphalia,Owner,"Yes, Regularly",0.16603,60,488,0.13298,0.19907
1999,North Rhine-Westphalia,Owner,No,0.76103,428,488,0.72316,0.79891
1999,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.08374,48,865,0.06527,0.10221
1999,North Rhine-Westphalia,Tenant,No,0.85710,817,865,0.83376,0.88043
1999,Hesse,Owner,No,0.80762,159,159,0.74616,0.86908
1999,Hesse,Tenant,No,0.90248,260,260,0.86635,0.93861
1999,"Rhineland-Palatinate, Saarland",Owner,No,0.84380,173,173,0.78955,0.89806
1999,"Rhineland-Palatinate, Saarland",Tenant,No,0.92815,190,190,0.89133,0.96497
1999,Baden-Wuerttemberg,Owner,No,0.84894,331,331,0.81030,0.88757
