year,quintil_oecd_hh,rentown,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Owner,No,0.93631,247,247,0.90580,0.96683
1984,1st Quintile,Tenant,Yes,0.06032,47,936,0.04506,0.07558
1984,1st Quintile,Tenant,No,0.93160,889,936,0.91542,0.94778
1984,2nd Quintile,Owner,No,0.96967,363,363,0.95201,0.98734
1984,2nd Quintile,Tenant,No,0.96371,794,794,0.95069,0.97673
1984,3rd Quintile,Owner,No,0.94490,380,380,0.92193,0.96787
1984,3rd Quintile,Tenant,No,0.95028,745,745,0.93466,0.96590
1984,4th Quintile,Owner,No,0.93782,413,413,0.91450,0.96114
1984,4th Quintile,Tenant,No,0.95907,726,726,0.94465,0.97349
1984,5th Quintile,Owner,No,0.97378,514,514,0.95995,0.98761
1984,5th Quintile,Tenant,No,0.97233,538,538,0.95846,0.98620
1985,1st Quintile,Owner,No,0.90462,214,214,0.86518,0.94407
1985,1st Quintile,Tenant,No,0.96035,811,811,0.94691,0.97379
1985,2nd Quintile,Owner,No,0.93814,306,306,0.91111,0.96518
1985,2nd Quintile,Tenant,No,0.95998,729,729,0.94574,0.97422
1985,3rd Quintile,Owner,No,0.95080,369,369,0.92871,0.97290
1985,3rd Quintile,Tenant,No,0.96270,675,675,0.94839,0.97701
1985,4th Quintile,Owner,No,0.95942,409,409,0.94028,0.97857
1985,4th Quintile,Tenant,No,0.96716,607,607,0.95298,0.98135
1985,5th Quintile,Owner,No,0.96420,474,474,0.94745,0.98094
1985,5th Quintile,Tenant,No,0.97220,478,478,0.95744,0.98695
1986,1st Quintile,Owner,No,0.92087,203,203,0.88365,0.95810
1986,1st Quintile,Tenant,Yes,0.04732,31,772,0.03233,0.06230
1986,1st Quintile,Tenant,No,0.94797,741,772,0.93230,0.96365
1986,2nd Quintile,Owner,No,0.93101,327,327,0.90349,0.95852
1986,2nd Quintile,Tenant,No,0.94735,659,659,0.93028,0.96441
1986,3rd Quintile,Owner,No,0.94531,335,335,0.92093,0.96970
1986,3rd Quintile,Tenant,No,0.96981,663,663,0.95678,0.98285
1986,4th Quintile,Owner,No,0.94450,382,382,0.92150,0.96749
1986,4th Quintile,Tenant,No,0.98309,608,608,0.97283,0.99335
1986,5th Quintile,Owner,No,0.97067,501,501,0.95587,0.98546
1986,5th Quintile,Tenant,No,0.97184,427,427,0.95613,0.98755
1987,1st Quintile,Owner,No,0.89843,206,206,0.85708,0.93978
1987,1st Quintile,Tenant,Yes,0.05113,33,722,0.03505,0.06721
1987,1st Quintile,Tenant,No,0.94243,689,722,0.92543,0.95944
1987,2nd Quintile,Owner,No,0.95088,293,293,0.92609,0.97567
1987,2nd Quintile,Tenant,No,0.96097,685,685,0.94645,0.97548
1987,3rd Quintile,Owner,No,0.95125,353,353,0.92875,0.97374
1987,3rd Quintile,Tenant,No,0.95625,645,645,0.94045,0.97205
1987,4th Quintile,Owner,No,0.96013,407,407,0.94109,0.97916
1987,4th Quintile,Tenant,No,0.97297,589,589,0.95986,0.98607
1987,5th Quintile,Owner,No,0.96726,490,490,0.95148,0.98303
1987,5th Quintile,Tenant,No,0.97169,436,436,0.95610,0.98727
1988,1st Quintile,Owner,No,0.91508,190,190,0.87533,0.95482
1988,1st Quintile,Tenant,Yes,0.04758,31,733,0.03216,0.06300
1988,1st Quintile,Tenant,No,0.94471,702,733,0.92815,0.96127
1988,2nd Quintile,Owner,No,0.93768,283,283,0.90947,0.96590
1988,2nd Quintile,Tenant,No,0.95589,639,639,0.93995,0.97182
1988,3rd Quintile,Owner,No,0.94925,343,343,0.92599,0.97251
1988,3rd Quintile,Tenant,No,0.95701,613,613,0.94094,0.97308
1988,4th Quintile,Owner,No,0.96170,396,396,0.94277,0.98063
1988,4th Quintile,Tenant,No,0.96882,556,556,0.95436,0.98328
1988,5th Quintile,Owner,No,0.97923,466,466,0.96627,0.99219
1988,5th Quintile,Tenant,No,0.96847,406,406,0.95145,0.98549
1989,1st Quintile,Owner,No,0.90987,188,188,0.86882,0.95091
1989,1st Quintile,Tenant,No,0.95820,680,680,0.94315,0.97326
1989,2nd Quintile,Owner,No,0.93102,282,282,0.90139,0.96065
1989,2nd Quintile,Tenant,No,0.97308,666,666,0.96078,0.98538
1989,3rd Quintile,Owner,No,0.96143,341,341,0.94095,0.98190
1989,3rd Quintile,Tenant,No,0.96793,582,582,0.95361,0.98226
1989,4th Quintile,Owner,No,0.96976,388,388,0.95270,0.98682
1989,4th Quintile,Tenant,No,0.98324,544,544,0.97244,0.99404
1989,5th Quintile,Owner,No,0.97524,443,443,0.96075,0.98973
1989,5th Quintile,Tenant,No,0.97944,389,389,0.96532,0.99356
1990,2nd Quintile,Owner,No,0.90271,274,274,0.86756,0.93787
1990,2nd Quintile,Tenant,Yes,0.05724,37,863,0.04173,0.07275
1990,2nd Quintile,Tenant,No,0.94037,826,863,0.92456,0.95618
1990,3rd Quintile,Owner,No,0.94443,365,365,0.92089,0.96796
1990,3rd Quintile,Tenant,No,0.97574,765,765,0.96483,0.98665
1990,4th Quintile,Owner,No,0.98424,466,466,0.97292,0.99556
1990,4th Quintile,Tenant,No,0.97576,666,666,0.96407,0.98745
1990,5th Quintile,Owner,No,0.96705,549,549,0.95211,0.98200
1990,5th Quintile,Tenant,No,0.97913,486,486,0.96640,0.99185
1991,1st Quintile,Owner,Yes,0.05793,32,598,0.03919,0.07667
1991,1st Quintile,Owner,No,0.94207,566,598,0.92333,0.96081
1991,1st Quintile,Tenant,Yes,0.05198,57,1450,0.04055,0.06341
1991,1st Quintile,Tenant,No,0.94563,1393,1450,0.93395,0.95730
1991,2nd Quintile,Owner,No,0.88039,255,255,0.84048,0.92030
1991,2nd Quintile,Tenant,Yes,0.05769,38,856,0.04206,0.07331
1991,2nd Quintile,Tenant,No,0.93466,818,856,0.91809,0.95122
1991,3rd Quintile,Owner,No,0.94267,378,378,0.91920,0.96613
1991,3rd Quintile,Tenant,No,0.95854,748,748,0.94424,0.97284
1991,4th Quintile,Owner,No,0.97074,487,487,0.95576,0.98572
1991,4th Quintile,Tenant,No,0.96588,664,664,0.95207,0.97970
1991,5th Quintile,Owner,No,0.96531,536,536,0.94980,0.98082
1991,5th Quintile,Tenant,No,0.98626,508,508,0.97612,0.99639
1992,1st Quintile,Owner,Yes,0.12037,34,334,0.08542,0.15532
1992,1st Quintile,Owner,No,0.87353,300,334,0.83783,0.90923
1992,1st Quintile,Tenant,Yes,0.08181,60,1057,0.06528,0.09834
1992,1st Quintile,Tenant,No,0.90674,997,1057,0.88920,0.92428
1992,2nd Quintile,Owner,No,0.90111,420,420,0.87252,0.92969
1992,2nd Quintile,Tenant,Yes,0.04449,34,1034,0.03192,0.05706
1992,2nd Quintile,Tenant,No,0.95180,1000,1034,0.93874,0.96486
1992,3rd Quintile,Owner,No,0.96635,412,412,0.94892,0.98378
1992,3rd Quintile,Tenant,No,0.95243,883,883,0.93838,0.96648
1992,4th Quintile,Owner,No,0.95586,496,496,0.93776,0.97395
1992,4th Quintile,Tenant,No,0.96194,731,731,0.94805,0.97582
1992,5th Quintile,Owner,No,0.95947,580,580,0.94341,0.97553
1992,5th Quintile,Tenant,No,0.97904,489,489,0.96634,0.99175
1993,1st Quintile,Owner,No,0.84817,259,259,0.80438,0.89196
1993,1st Quintile,Tenant,Yes,0.06419,56,1010,0.04906,0.07931
1993,1st Quintile,Tenant,No,0.92466,954,1010,0.90837,0.94094
1993,2nd Quintile,Owner,No,0.89798,402,402,0.86835,0.92760
1993,2nd Quintile,Tenant,Yes,0.04433,36,1052,0.03189,0.05678
1993,2nd Quintile,Tenant,No,0.94823,1016,1052,0.93483,0.96162
1993,3rd Quintile,Owner,No,0.93696,464,464,0.91482,0.95909
