year,regtyp,sampreg,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,West,Yes,0.61519,5711,16360,0.61500,0.61538
2016,Urban regions,West,No,0.38481,3821,16360,0.38462,0.38500
2016,Urban regions,East,Yes,0.60964,740,16360,0.60905,0.61022
2016,Urban regions,East,No,0.39036,521,16360,0.38978,0.39095
2016,Rural regions,West,Yes,0.57049,1964,16360,0.57015,0.57083
2016,Rural regions,West,No,0.42951,1411,16360,0.42917,0.42985
2016,Rural regions,East,Yes,0.50375,1075,16360,0.50330,0.50420
2016,Rural regions,East,No,0.49625,1117,16360,0.49580,0.49670
2017,Urban regions,West,Yes,0.64666,6589,18233,0.64647,0.64684
2017,Urban regions,West,No,0.35334,3993,18233,0.35316,0.35353
2017,Urban regions,East,Yes,0.62002,837,18233,0.61944,0.62060
2017,Urban regions,East,No,0.37998,564,18233,0.37940,0.38056
2017,Rural regions,West,Yes,0.62704,2337,18233,0.62670,0.62737
2017,Rural regions,West,No,0.37296,1529,18233,0.37263,0.37330
2017,Rural regions,East,Yes,0.52840,1252,18233,0.52795,0.52886
2017,Rural regions,East,No,0.47160,1132,18233,0.47114,0.47205
2018,Urban regions,West,Yes,0.67465,6730,17835,0.67447,0.67483
2018,Urban regions,West,No,0.32535,3750,17835,0.32517,0.32553
2018,Urban regions,East,Yes,0.61210,874,17835,0.61152,0.61268
2018,Urban regions,East,No,0.38790,542,17835,0.38732,0.38848
2018,Rural regions,West,Yes,0.64297,2279,17835,0.64264,0.64330
2018,Rural regions,West,No,0.35703,1300,17835,0.35670,0.35736
2018,Rural regions,East,Yes,0.54288,1271,17835,0.54242,0.54333
2018,Rural regions,East,No,0.45712,1089,17835,0.45667,0.45758
2019,Urban regions,West,Yes,0.68475,6628,15658,0.68457,0.68493
2019,Urban regions,West,No,0.31525,2392,15658,0.31507,0.31543
2019,Urban regions,East,Yes,0.66108,915,15658,0.66051,0.66166
2019,Urban regions,East,No,0.33892,356,15658,0.33834,0.33949
2019,Rural regions,West,Yes,0.69328,2265,15658,0.69296,0.69360
2019,Rural regions,West,No,0.30672,849,15658,0.30640,0.30704
2019,Rural regions,East,Yes,0.57320,1412,15658,0.57274,0.57365
2019,Rural regions,East,No,0.42680,841,15658,0.42635,0.42726
2021,Urban regions,West,Yes,0.51490,4042,12534,0.51471,0.51510
2021,Urban regions,West,No,0.48510,3519,12534,0.48490,0.48529
2021,Urban regions,East,Yes,0.57656,585,12534,0.57594,0.57717
2021,Urban regions,East,No,0.42344,441,12534,0.42283,0.42406
2021,Rural regions,West,Yes,0.51269,1246,12534,0.51235,0.51303
2021,Rural regions,West,No,0.48731,1145,12534,0.48697,0.48765
2021,Rural regions,East,Yes,0.44177,723,12534,0.44132,0.44222
2021,Rural regions,East,No,0.55823,833,12534,0.55778,0.55868
