"hlf0633","year","sampreg","n","percent","lower_confidence","upper_confidence"
"0","2017","Westdeutschland","3241","0.237568568918413","0.23078912015004","0.244348017686787"
"0","2017","Ostdeutschland","756","0.188789249671374","0.177183792450218","0.20039470689253"
"1","2017","Westdeutschland","1086","0.0762025742317874","0.0719761538532088","0.0804289946103661"
"1","2017","Ostdeutschland","332","0.0994161796337961","0.0905426300309142","0.108289729236678"
"2","2017","Westdeutschland","1498","0.104451240726728","0.0995793121105436","0.109323169342912"
"2","2017","Ostdeutschland","397","0.0993744348069327","0.0905025427876183","0.108246326826247"
"3","2017","Westdeutschland","1390","0.0892155268962217","0.0846747775613051","0.0937562762311383"
"3","2017","Ostdeutschland","398","0.0891927010086978","0.080740210627568","0.0976451913898277"
"4","2017","Westdeutschland","973","0.0676182461172582","0.0636185377137848","0.0716179545207316"
"4","2017","Ostdeutschland","344","0.0813755701870992","0.0732674011552752","0.0894837392189232"
"5","2017","Westdeutschland","2704","0.177168146507779","0.171086126209031","0.183250166806527"
"5","2017","Ostdeutschland","923","0.195431451877753","0.183672041920105","0.2071908618354"
"6","2017","Westdeutschland","1073","0.0685343462903188","0.0645096134569924","0.0725590791236451"
"6","2017","Ostdeutschland","354","0.0729142280133465","0.0652038996281047","0.0806245563985884"
"7","2017","Westdeutschland","1293","0.0713039128143372","0.0672047706018325","0.0754030550268418"
"7","2017","Ostdeutschland","358","0.0770460723152539","0.0691379743751189","0.0849541702553888"
"8","2017","Westdeutschland","1023","0.0514308699599348","0.0479124641813935","0.0549492757384761"
"8","2017","Ostdeutschland","289","0.0637320386248949","0.0564879165098837","0.0709761607399061"
"9","2017","Westdeutschland","356","0.0236733009880248","0.0212515667076236","0.0260950352684261"
"9","2017","Ostdeutschland","57","0.00919548907201671","0.00636482599480765","0.0120261521492258"
"10","2017","Westdeutschland","502","0.032833266549197","0.0299946468140641","0.0356718862843299"
"10","2017","Ostdeutschland","160","0.0235325847888353","0.0190371627543941","0.0280280068232764"
"0","2018","Westdeutschland","5585","0.225254055293186","0.219645224593501","0.230862885992872"
"0","2018","Ostdeutschland","1122","0.200217619259401","0.189075614893952","0.21135962362485"
