year,age_gr,migback,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Yes,0.09135794052887418,216,12065,0.09118810289696629,0.09152777816078207
1984,17-29 y.,No migration background,No,0.9086420594711259,2125,12065,0.9084722218392179,0.9088118971030338
1984,17-29 y.,Direct migration background,Yes,0.13104485501753066,117,12065,0.1304387643165149,0.1316509457185464
1984,17-29 y.,Direct migration background,No,0.8689551449824693,877,12065,0.8683490542814536,0.869561235683485
1984,17-29 y.,Indirect migration background,No,1.0,86,12065,1.0,1.0
1984,30-45 y.,No migration background,Yes,0.10323152509919964,264,12065,0.10305515850307635,0.10340789169532293
1984,30-45 y.,No migration background,No,0.8967684749008004,2229,12065,0.8965921083046771,0.8969448414969237
1984,30-45 y.,Direct migration background,Yes,0.11298431193219867,153,12065,0.11251922071311928,0.11344940315127806
1984,30-45 y.,Direct migration background,No,0.8870156880678013,1234,12065,0.886550596848722,0.8874807792868806
1984,46-65 y.,No migration background,Yes,0.11358166634391476,291,12065,0.11341455989808999,0.11374877278973952
1984,46-65 y.,No migration background,No,0.8864183336560854,2301,12065,0.8862512272102606,0.8865854401019101
1984,46-65 y.,Direct migration background,Yes,0.11563568339890681,128,12065,0.11512447761176786,0.11614688918604577
1984,46-65 y.,Direct migration background,No,0.8843643166010932,817,12065,0.8838531108139542,0.8848755223882321
1984,66 and older,No migration background,Yes,0.15021398573201,186,12065,0.14997296294525692,0.1504550085187631
1984,66 and older,No migration background,No,0.8497860142679899,1041,12065,0.8495449914812369,0.850027037054743
1985,17-29 y.,No migration background,Yes,0.100180494678791,230,10957,0.10000693040503031,0.1003540589525517
1985,17-29 y.,No migration background,No,0.899819505321209,1973,10957,0.8996459410474483,0.8999930695949697
1985,17-29 y.,Direct migration background,Yes,0.10400960693875581,97,10957,0.10344637523618949,0.10457283864132214
1985,17-29 y.,Direct migration background,No,0.8959903930612442,727,10957,0.8954271613586778,0.8965536247638105
1985,17-29 y.,Indirect migration background,No,1.0,95,10957,1.0,1.0
1985,30-45 y.,No migration background,Yes,0.09842253671205685,233,10957,0.09824798106125504,0.09859709236285866
1985,30-45 y.,No migration background,No,0.9015774632879432,2037,10957,0.9014029076371414,0.901752018938745
1985,30-45 y.,Direct migration background,Yes,0.0996908761797459,130,10957,0.09924819943330565,0.10013355292618614
1985,30-45 y.,Direct migration background,No,0.9003091238202542,1050,10957,0.8998664470738139,0.9007518005666945
1985,46-65 y.,No migration background,Yes,0.11030430667783608,270,10957,0.11014128210000548,0.11046733125566668
1985,46-65 y.,No migration background,No,0.8896956933221639,2158,10957,0.8895326687443333,0.8898587178999945
1985,46-65 y.,Direct migration background,Yes,0.10813387991591655,105,10957,0.10765212553870869,0.10861563429312442
1985,46-65 y.,Direct migration background,No,0.8918661200840835,756,10957,0.8913843657068756,0.8923478744612914
1985,66 and older,No migration background,Yes,0.16062760777446905,169,10957,0.16038087166242593,0.16087434388651217
1985,66 and older,No migration background,No,0.839372392225531,893,10957,0.8391256561134878,0.8396191283375741
1985,66 and older,Direct migration background,No,1.0,34,10957,1.0,1.0
1986,17-29 y.,No migration background,Yes,0.11157857073680218,235,10501,0.1113957811308817,0.11176136034272266
1986,17-29 y.,No migration background,No,0.8884214292631978,1897,10501,0.8882386396572773,0.8886042188691182
1986,17-29 y.,Direct migration background,Yes,0.1453541247405743,113,10501,0.14470234575377197,0.14600590372737662
1986,17-29 y.,Direct migration background,No,0.8546458752594256,685,10501,0.8539940962726232,0.855297654246228
1986,17-29 y.,Indirect migration background,No,1.0,107,10501,1.0,1.0
1986,30-45 y.,No migration background,Yes,0.09850898741635189,220,10501,0.09833318016395172,0.09868479466875206
1986,30-45 y.,No migration background,No,0.901491012583648,1924,10501,0.9013152053312479,0.9016668198360482
1986,30-45 y.,Direct migration background,Yes,0.10471029620786883,131,10501,0.10426406316767034,0.10515652924806732
1986,30-45 y.,Direct migration background,No,0.8952897037921312,967,10501,0.8948434707519327,0.8957359368323298
1986,46-65 y.,No migration background,Yes,0.11449004550025056,261,10501,0.11432468392346523,0.11465540707703589
1986,46-65 y.,No migration background,No,0.8855099544997493,2076,10501,0.885344592922964,0.8856753160765347
1986,46-65 y.,Direct migration background,Yes,0.14736463294542848,133,10501,0.1468326417056836,0.14789662418517335
1986,46-65 y.,Direct migration background,No,0.8526353670545714,740,10501,0.8521033758148265,0.8531673582943163
1986,66 and older,No migration background,Yes,0.17953088510226642,174,10501,0.17927042867258147,0.17979134153195137
1986,66 and older,No migration background,No,0.8204691148977336,795,10501,0.8202086584680486,0.8207295713274185
1986,66 and older,Direct migration background,No,1.0,43,10501,1.0,1.0
