year,bula_h,migback,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Married,0.58822,216,319,0.53413,0.64231
1984,Schleswig-Holstein,No migration background,Single,0.20781,72,319,0.16321,0.25240
1984,Schleswig-Holstein,No migration background,Widowed,0.13338,31,319,0.09601,0.17075
1984,Hamburg,No migration background,Married,0.50211,117,169,0.42650,0.57771
1984,Hamburg,No migration background,Single,0.22854,52,169,0.16504,0.29203
1984,Hamburg,Direct migration background,Married,0.52422,62,62,0.39889,0.64955
1984,Lower Saxony,No migration background,Married,0.61535,662,1019,0.58547,0.64524
1984,Lower Saxony,No migration background,Single,0.23140,239,1019,0.20549,0.25731
1984,Lower Saxony,No migration background,Divorced,0.03594,34,1019,0.02450,0.04737
1984,Lower Saxony,No migration background,Widowed,0.10962,84,1019,0.09043,0.12881
1984,Lower Saxony,Direct migration background,Married,0.69898,141,180,0.63178,0.76618
1984,Lower Saxony,Direct migration background,Single,0.15807,39,180,0.10463,0.21152
1984,Bremen,No migration background,Married,0.52671,57,57,0.39594,0.65748
1984,North Rhine-Westphalia,No migration background,Married,0.58830,1429,2236,0.56790,0.60870
1984,North Rhine-Westphalia,No migration background,Single,0.23303,524,2236,0.21550,0.25056
1984,North Rhine-Westphalia,No migration background,Divorced,0.04633,97,2236,0.03761,0.05504
1984,North Rhine-Westphalia,No migration background,Widowed,0.11885,186,2236,0.10544,0.13227
1984,North Rhine-Westphalia,Direct migration background,Married,0.66429,686,907,0.63354,0.69504
1984,North Rhine-Westphalia,Direct migration background,"Married, living apart",0.04233,33,907,0.02922,0.05544
1984,North Rhine-Westphalia,Direct migration background,Single,0.18536,188,907,0.16006,0.21066
1984,Hesse,No migration background,Married,0.60761,487,730,0.57217,0.64306
1984,Hesse,No migration background,Single,0.23903,187,730,0.20807,0.26999
1984,Hesse,No migration background,Widowed,0.10594,56,730,0.08360,0.12828
1984,Hesse,Direct migration background,Married,0.69952,344,426,0.65593,0.74311
1984,Hesse,Direct migration background,Single,0.15474,82,426,0.12036,0.18913
1984,"Rhineland-Palatinate, Saarland",No migration background,Married,0.60573,440,666,0.56859,0.64287
1984,"Rhineland-Palatinate, Saarland",No migration background,Single,0.21204,149,666,0.18097,0.24310
1984,"Rhineland-Palatinate, Saarland",No migration background,Widowed,0.13920,77,666,0.11289,0.16551
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Married,0.66122,112,112,0.57317,0.74927
1984,Baden-Wuerttemberg,No migration background,Married,0.58907,841,1328,0.56260,0.61554
1984,Baden-Wuerttemberg,No migration background,Single,0.23470,320,1328,0.21190,0.25751
1984,Baden-Wuerttemberg,No migration background,Divorced,0.03898,49,1328,0.02856,0.04939
1984,Baden-Wuerttemberg,No migration background,Widowed,0.12259,118,1328,0.10495,0.14024
1984,Baden-Wuerttemberg,Direct migration background,Married,0.68601,654,839,0.65459,0.71744
1984,Baden-Wuerttemberg,Direct migration background,"Married, living apart",0.06138,37,839,0.04513,0.07764
1984,Baden-Wuerttemberg,Direct migration background,Single,0.16545,148,839,0.14029,0.19061
1984,Bavaria,No migration background,Married,0.61435,1044,1608,0.59055,0.63815
1984,Bavaria,No migration background,Single,0.23433,387,1608,0.21362,0.25504
1984,Bavaria,No migration background,Divorced,0.03454,51,1608,0.02561,0.04346
