year,regtyp,sex,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Married,0.51915,2807,4266,0.50415,0.53414
1985,Urban regions,male,"Married, living apart",0.01374,85,4266,0.01025,0.01723
1985,Urban regions,male,Single,0.23207,1163,4266,0.21940,0.24474
1985,Urban regions,male,Divorced,0.03101,117,4266,0.02581,0.03622
1985,Urban regions,male,Widowed,0.03516,94,4266,0.02963,0.04069
1985,Urban regions,female,Married,0.45677,2791,4418,0.44208,0.47146
1985,Urban regions,female,"Married, living apart",0.01200,60,4418,0.00879,0.01521
1985,Urban regions,female,Single,0.17759,882,4418,0.16632,0.18886
1985,Urban regions,female,Divorced,0.05477,227,4418,0.04806,0.06148
1985,Urban regions,female,Widowed,0.15219,458,4418,0.14159,0.16278
1985,Rural regions,male,Married,0.53432,771,1070,0.50442,0.56422
1985,Rural regions,male,Single,0.21762,299,1070,0.19288,0.24235
1985,Rural regions,female,Married,0.48049,774,1182,0.45199,0.50898
1985,Rural regions,female,Single,0.15891,222,1182,0.13806,0.17976
1985,Rural regions,female,Divorced,0.03296,39,1182,0.02278,0.04314
1985,Rural regions,female,Widowed,0.15410,147,1182,0.13351,0.17469
1986,Urban regions,male,Married,0.51593,2650,4138,0.50070,0.53116
1986,Urban regions,male,"Married, living apart",0.01976,121,4138,0.01552,0.02401
1986,Urban regions,male,Single,0.23485,1176,4138,0.22193,0.24776
1986,Urban regions,male,Divorced,0.02985,111,4138,0.02466,0.03503
1986,Urban regions,male,Widowed,0.03242,80,4138,0.02702,0.03781
1986,Urban regions,female,Married,0.45521,2646,4210,0.44017,0.47026
1986,Urban regions,female,"Married, living apart",0.01679,81,4210,0.01291,0.02067
1986,Urban regions,female,Single,0.17378,854,4210,0.16233,0.18522
1986,Urban regions,female,Divorced,0.05223,212,4210,0.04551,0.05895
1986,Urban regions,female,Widowed,0.15269,417,4210,0.14183,0.16356
1986,Rural regions,male,Married,0.52598,720,1047,0.49572,0.55624
1986,Rural regions,male,Single,0.21857,292,1047,0.19353,0.24362
1986,Rural regions,male,Divorced,0.03617,35,1047,0.02485,0.04748
1986,Rural regions,female,Married,0.46673,723,1127,0.43759,0.49587
1986,Rural regions,female,Single,0.17174,236,1127,0.14971,0.19377
1986,Rural regions,female,Divorced,0.03138,33,1127,0.02120,0.04157
1986,Rural regions,female,Widowed,0.14910,135,1127,0.12830,0.16991
1987,Urban regions,male,Married,0.51362,2603,4100,0.49832,0.52892
1987,Urban regions,male,"Married, living apart",0.01881,117,4100,0.01465,0.02297
1987,Urban regions,male,Single,0.23157,1173,4100,0.21865,0.24448
1987,Urban regions,male,Divorced,0.03279,121,4100,0.02734,0.03824
1987,Urban regions,male,Widowed,0.03357,86,4100,0.02805,0.03908
1987,Urban regions,female,Married,0.45664,2596,4145,0.44147,0.47180
1987,Urban regions,female,"Married, living apart",0.01356,72,4145,0.01004,0.01708
1987,Urban regions,female,Single,0.16937,827,4145,0.15795,0.18079
1987,Urban regions,female,Divorced,0.05794,227,4145,0.05082,0.06505
1987,Urban regions,female,Widowed,0.15441,423,4145,0.14341,0.16541
1987,Rural regions,male,Married,0.52965,712,998,0.49867,0.56064
1987,Rural regions,male,Single,0.20573,286,998,0.18064,0.23082
1987,Rural regions,female,Married,0.47306,716,1120,0.44380,0.50231
1987,Rural regions,female,Single,0.16462,235,1120,0.14289,0.18635
1987,Rural regions,female,Divorced,0.03229,36,1120,0.02193,0.04265
1987,Rural regions,female,Widowed,0.14448,133,1120,0.12388,0.16508
1988,Urban regions,male,Married,0.50880,2488,3917,0.49315,0.52446
1988,Urban regions,male,"Married, living apart",0.02311,121,3917,0.01841,0.02782
1988,Urban regions,male,Single,0.23324,1105,3917,0.22000,0.24649
1988,Urban regions,male,Divorced,0.03380,116,3917,0.02814,0.03946
1988,Urban regions,male,Widowed,0.03329,87,3917,0.02767,0.03891
1988,Urban regions,female,Married,0.45391,2492,3986,0.43845,0.46937
1988,Urban regions,female,"Married, living apart",0.01744,83,3986,0.01338,0.02151
1988,Urban regions,female,Single,0.16913,795,3986,0.15749,0.18077
1988,Urban regions,female,Divorced,0.05903,216,3986,0.05171,0.06635
1988,Urban regions,female,Widowed,0.15009,400,3986,0.13900,0.16118
1988,Rural regions,male,Married,0.51819,668,940,0.48623,0.55015
1988,Rural regions,male,Single,0.21968,272,940,0.19320,0.24616
1988,Rural regions,female,Married,0.48288,670,1006,0.45199,0.51378
1988,Rural regions,female,Single,0.15468,215,1006,0.13232,0.17704
1988,Rural regions,female,Widowed,0.14263,121,1006,0.12101,0.16425
1989,Urban regions,male,Married,0.50485,2397,3787,0.48892,0.52078
1989,Urban regions,male,"Married, living apart",0.02336,106,3787,0.01854,0.02817
1989,Urban regions,male,Single,0.23137,1072,3787,0.21793,0.24480
1989,Urban regions,male,Divorced,0.03724,123,3787,0.03120,0.04327
1989,Urban regions,male,Widowed,0.03413,89,3787,0.02834,0.03991
1989,Urban regions,female,Married,0.45017,2392,3912,0.43458,0.46576
1989,Urban regions,female,"Married, living apart",0.01799,83,3912,0.01382,0.02216
1989,Urban regions,female,Single,0.17398,816,3912,0.16210,0.18586
1989,Urban regions,female,Divorced,0.06073,221,3912,0.05324,0.06821
1989,Urban regions,female,Widowed,0.15091,400,3912,0.13969,0.16212
1989,Rural regions,male,Married,0.51531,632,903,0.48269,0.54792
1989,Rural regions,male,Single,0.23032,271,903,0.20284,0.25779
1989,Rural regions,female,Married,0.48423,638,974,0.45283,0.51563
1989,Rural regions,female,Single,0.14012,189,974,0.11831,0.16193
1989,Rural regions,female,Divorced,0.04353,35,974,0.03071,0.05635
1989,Rural regions,female,Widowed,0.14053,112,974,0.11869,0.16237
1990,Urban regions,male,Married,0.49385,2823,4384,0.47905,0.50866
1990,Urban regions,male,"Married, living apart",0.01829,102,4384,0.01432,0.02226
1990,Urban regions,male,Single,0.23142,1191,4384,0.21893,0.24390
1990,Urban regions,male,Divorced,0.04461,162,4384,0.03850,0.05072
1990,Urban regions,male,Widowed,0.03006,106,4384,0.02500,0.03512
1990,Urban regions,female,Married,0.45437,2862,4581,0.43994,0.46879
1990,Urban regions,female,"Married, living apart",0.01429,80,4581,0.01085,0.01773
1990,Urban regions,female,Single,0.16654,890,4581,0.15575,0.17733
1990,Urban regions,female,Divorced,0.06471,290,4581,0.05759,0.07184
1990,Urban regions,female,Widowed,0.14157,459,4581,0.13147,0.15167
1990,Rural regions,male,Married,0.51435,1624,2319,0.49400,0.53470
1990,Rural regions,male,Single,0.20901,544,2319,0.19246,0.22557
1990,Rural regions,male,Divorced,0.04169,96,2319,0.03355,0.04983
1990,Rural regions,male,Widowed,0.02698,55,2319,0.02038,0.03357
1990,Rural regions,female,Married,0.48468,1641,2459,0.46492,0.50443
1990,Rural regions,female,Single,0.13487,424,2459,0.12137,0.14837
1990,Rural regions,female,Divorced,0.05523,142,2459,0.04620,0.06427
1990,Rural regions,female,Widowed,0.13067,252,2459,0.11735,0.14400
1991,Urban regions,male,Married,0.49655,2781,4296,0.48160,0.51151
1991,Urban regions,male,"Married, living apart",0.01877,99,4296,0.01471,0.02282
1991,Urban regions,male,Single,0.22139,1147,4296,0.20898,0.23381
1991,Urban regions,male,Divorced,0.04624,168,4296,0.03996,0.05252
1991,Urban regions,male,Widowed,0.03202,101,4296,0.02675,0.03728
1991,Urban regions,female,Married,0.45026,2809,4476,0.43568,0.46483
1991,Urban regions,female,"Married, living apart",0.01737,84,4476,0.01354,0.02120
1991,Urban regions,female,Single,0.16100,859,4476,0.15023,0.17176
1991,Urban regions,female,Divorced,0.06671,289,4476,0.05940,0.07402
1991,Urban regions,female,Widowed,0.14403,435,4476,0.13374,0.15432
1991,Rural regions,male,Married,0.52055,1580,2267,0.49998,0.54112
1991,Rural regions,male,Single,0.20965,551,2267,0.19289,0.22641
1991,Rural regions,male,Divorced,0.04095,85,2267,0.03279,0.04911
1991,Rural regions,male,Widowed,0.02466,51,2267,0.01827,0.03104
1991,Rural regions,female,Married,0.48088,1592,2403,0.46090,0.50086
1991,Rural regions,female,Single,0.14366,433,2403,0.12963,0.15768
1991,Rural regions,female,Divorced,0.05406,130,2403,0.04501,0.06310
1991,Rural regions,female,Widowed,0.13717,248,2403,0.12341,0.15092
1992,Urban regions,male,Married,0.50102,2735,4213,0.48592,0.51612
1992,Urban regions,male,"Married, living apart",0.02032,96,4213,0.01606,0.02458
1992,Urban regions,male,Single,0.21892,1127,4213,0.20643,0.23141
1992,Urban regions,male,Divorced,0.04486,161,4213,0.03861,0.05111
1992,Urban regions,male,Widowed,0.02971,94,4213,0.02459,0.03484
1992,Urban regions,female,Married,0.45515,2784,4456,0.44053,0.46978
1992,Urban regions,female,"Married, living apart",0.01546,85,4456,0.01183,0.01908
1992,Urban regions,female,Single,0.15949,865,4456,0.14874,0.17024
1992,Urban regions,female,Divorced,0.06748,291,4456,0.06012,0.07485
1992,Urban regions,female,Widowed,0.14273,431,4456,0.13246,0.15300
1992,Rural regions,male,Married,0.52304,1497,2167,0.50201,0.54408
1992,Rural regions,male,Single,0.21282,539,2167,0.19558,0.23005
1992,Rural regions,male,Divorced,0.03725,77,2167,0.02928,0.04523
1992,Rural regions,male,Widowed,0.02787,54,2167,0.02094,0.03481
1992,Rural regions,female,Married,0.47533,1510,2307,0.45495,0.49572
1992,Rural regions,female,Single,0.14072,425,2307,0.12653,0.15491
