year,migback,regtyp,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Self-employed,0.04082,303,5969,0.03580,0.04584
1985,No migration background,Urban regions,Blue-collar worker,0.14371,1059,5969,0.13481,0.15261
1985,No migration background,Urban regions,Civil servant,0.04272,327,5969,0.03759,0.04786
1985,No migration background,Urban regions,White-collar worker,0.19769,1484,5969,0.18758,0.20779
1985,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.08409,633,5969,0.07705,0.09113
1985,No migration background,Urban regions,Not employed: Pensioner,0.20660,1095,5969,0.19633,0.21688
1985,No migration background,Urban regions,Not employed: registered unemployed,0.02872,203,5969,0.02449,0.03296
1985,No migration background,Urban regions,Not employed: no further information,0.11246,865,5969,0.10444,0.12047
1985,No migration background,Rural regions,Self-employed,0.06029,153,1958,0.04974,0.07083
1985,No migration background,Rural regions,Blue-collar worker,0.14309,357,1958,0.12758,0.15860
1985,No migration background,Rural regions,Civil servant,0.04451,119,1958,0.03537,0.05365
1985,No migration background,Rural regions,White-collar worker,0.13845,363,1958,0.12315,0.15375
1985,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.08089,203,1958,0.06881,0.09297
1985,No migration background,Rural regions,Not employed: Pensioner,0.21238,383,1958,0.19426,0.23050
1985,No migration background,Rural regions,Not employed: registered unemployed,0.03831,93,1958,0.02981,0.04682
1985,No migration background,Rural regions,Not employed: no further information,0.10993,287,1958,0.09607,0.12379
1985,Direct migration background,Urban regions,Self-employed,0.03401,87,2534,0.02695,0.04107
1985,Direct migration background,Urban regions,Blue-collar worker,0.37619,1319,2534,0.35732,0.39505
1985,Direct migration background,Urban regions,White-collar worker,0.11440,194,2534,0.10201,0.12680
1985,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.06034,176,2534,0.05106,0.06961
1985,Direct migration background,Urban regions,Not employed: Pensioner,0.10727,107,2534,0.09522,0.11932
1985,Direct migration background,Urban regions,Not employed: registered unemployed,0.05627,171,2534,0.04730,0.06525
1985,Direct migration background,Urban regions,Not employed: no further information,0.15302,480,2534,0.13900,0.16704
1985,Direct migration background,Rural regions,Blue-collar worker,0.30503,184,247,0.24749,0.36256
1985,Direct migration background,Rural regions,Not employed: no further information,0.18194,63,247,0.13373,0.23015
1985,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.04197,62,62,-0.00835,0.09230
1986,No migration background,Urban regions,Self-employed,0.03925,284,5745,0.03423,0.04428
1986,No migration background,Urban regions,Blue-collar worker,0.14626,1036,5745,0.13712,0.15539
1986,No migration background,Urban regions,Civil servant,0.04171,307,5745,0.03654,0.04688
1986,No migration background,Urban regions,White-collar worker,0.19809,1415,5745,0.18778,0.20840
1986,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.08314,633,5745,0.07600,0.09028
1986,No migration background,Urban regions,Not employed: Pensioner,0.20966,1036,5745,0.19914,0.22019
1986,No migration background,Urban regions,Not employed: Military/Community Service,0.00449,31,5745,0.00276,0.00622
1986,No migration background,Urban regions,Not employed: registered unemployed,0.02619,184,5745,0.02206,0.03032
1986,No migration background,Urban regions,Not employed: no further information,0.11222,819,5745,0.10406,0.12038
1986,No migration background,Rural regions,Self-employed,0.06206,146,1830,0.05100,0.07312
1986,No migration background,Rural regions,Blue-collar worker,0.14253,339,1830,0.12651,0.15855
1986,No migration background,Rural regions,Civil servant,0.04582,116,1830,0.03624,0.05540
1986,No migration background,Rural regions,White-collar worker,0.14316,350,1830,0.12711,0.15921
1986,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.07437,181,1830,0.06234,0.08639
1986,No migration background,Rural regions,Not employed: Pensioner,0.20725,346,1830,0.18868,0.22583
1986,No migration background,Rural regions,Not employed: registered unemployed,0.03737,82,1830,0.02868,0.04607
1986,No migration background,Rural regions,Not employed: no further information,0.10894,270,1830,0.09466,0.12322
1986,Direct migration background,Urban regions,Self-employed,0.04223,88,2440,0.03425,0.05022
1986,Direct migration background,Urban regions,Blue-collar worker,0.36124,1259,2440,0.34218,0.38031
1986,Direct migration background,Urban regions,White-collar worker,0.11343,183,2440,0.10084,0.12602
1986,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.05460,181,2440,0.04558,0.06361
1986,Direct migration background,Urban regions,Not employed: Pensioner,0.12614,120,2440,0.11297,0.13932
1986,Direct migration background,Urban regions,Not employed: registered unemployed,0.05444,163,2440,0.04544,0.06345
1986,Direct migration background,Urban regions,Not employed: no further information,0.15351,446,2440,0.13920,0.16781
1986,Direct migration background,Rural regions,Blue-collar worker,0.34007,187,250,0.28122,0.39891
1986,Direct migration background,Rural regions,Not employed: no further information,0.17521,63,250,0.12799,0.22243
1986,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.04223,65,65,-0.00704,0.09150
1987,No migration background,Urban regions,Self-employed,0.03979,283,5640,0.03469,0.04489
1987,No migration background,Urban regions,Blue-collar worker,0.15113,1038,5640,0.14178,0.16047
1987,No migration background,Urban regions,Civil servant,0.04260,308,5640,0.03733,0.04787
1987,No migration background,Urban regions,White-collar worker,0.20003,1383,5640,0.18959,0.21048
1987,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.07511,613,5640,0.06823,0.08199
1987,No migration background,Urban regions,Not employed: Pensioner,0.20729,1004,5640,0.19671,0.21787
1987,No migration background,Urban regions,Not employed: Military/Community Service,0.00592,39,5640,0.00391,0.00792
1987,No migration background,Urban regions,Not employed: registered unemployed,0.02834,187,5640,0.02401,0.03267
1987,No migration background,Urban regions,Not employed: no further information,0.10962,785,5640,0.10146,0.11777
1987,No migration background,Rural regions,Self-employed,0.06273,142,1801,0.05152,0.07393
1987,No migration background,Rural regions,Blue-collar worker,0.14992,351,1801,0.13342,0.16641
1987,No migration background,Rural regions,Civil servant,0.04653,113,1801,0.03680,0.05626
1987,No migration background,Rural regions,White-collar worker,0.15314,365,1801,0.13650,0.16978
1987,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.06668,178,1801,0.05516,0.07821
1987,No migration background,Rural regions,Not employed: Pensioner,0.20712,339,1801,0.18840,0.22584
1987,No migration background,Rural regions,Not employed: registered unemployed,0.03105,74,1801,0.02304,0.03907
1987,No migration background,Rural regions,Not employed: no further information,0.10151,239,1801,0.08755,0.11546
1987,Direct migration background,Urban regions,Self-employed,0.04119,87,2416,0.03327,0.04912
1987,Direct migration background,Urban regions,Blue-collar worker,0.37309,1225,2416,0.35380,0.39238
1987,Direct migration background,Urban regions,White-collar worker,0.11139,188,2416,0.09884,0.12393
1987,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.05857,186,2416,0.04921,0.06794
1987,Direct migration background,Urban regions,Not employed: Pensioner,0.12875,133,2416,0.11539,0.14211
1987,Direct migration background,Urban regions,Not employed: registered unemployed,0.05444,171,2416,0.04539,0.06349
1987,Direct migration background,Urban regions,Not employed: no further information,0.15009,426,2416,0.13585,0.16434
