,Unnamed: 0,year,quintil_oecd,overyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1986,1st Quintile,Yes,0.2419,165,6150,0.21486,0.26435
1,1,1986,1st Quintile,No,0.7581,601,6150,0.70971,0.81028
2,2,1986,2nd Quintile,Yes,0.30085,286,6150,0.27647,0.31949
3,3,1986,2nd Quintile,No,0.69915,772,6150,0.6641,0.73652
4,4,1986,3rd Quintile,Yes,0.31303,379,6150,0.29363,0.32935
5,5,1986,3rd Quintile,No,0.68697,920,6150,0.65855,0.7193
6,6,1986,4th Quintile,Yes,0.3727,499,6150,0.35637,0.39044
7,7,1986,4th Quintile,No,0.6273,1009,6150,0.60511,0.65852
8,8,1986,5th Quintile,Yes,0.34778,517,6150,0.33666,0.35868
9,9,1986,5th Quintile,No,0.65222,1002,6150,0.63493,0.6694
10,10,1988,1st Quintile,Yes,0.27799,188,5842,0.2513,0.30289
11,11,1988,1st Quintile,No,0.72201,542,5842,0.67347,0.77852
12,12,1988,2nd Quintile,Yes,0.32151,321,5842,0.29453,0.34757
13,13,1988,2nd Quintile,No,0.67849,720,5842,0.63877,0.71975
14,14,1988,3rd Quintile,Yes,0.30405,368,5842,0.28581,0.31969
15,15,1988,3rd Quintile,No,0.69595,867,5842,0.66665,0.72658
16,16,1988,4th Quintile,Yes,0.35679,431,5842,0.33715,0.3745
17,17,1988,4th Quintile,No,0.64321,962,5842,0.61644,0.66933
18,18,1988,5th Quintile,Yes,0.38028,525,5842,0.36774,0.39411
19,19,1988,5th Quintile,No,0.61972,918,5842,0.60273,0.63924
20,20,1989,1st Quintile,Yes,0.26971,188,5747,0.23697,0.2979
21,21,1989,1st Quintile,No,0.73029,552,5747,0.68261,0.77925
22,22,1989,2nd Quintile,Yes,0.31068,306,5747,0.29069,0.33411
23,23,1989,2nd Quintile,No,0.68932,744,5747,0.65552,0.72592
24,24,1989,3rd Quintile,Yes,0.36418,414,5747,0.34708,0.38507
25,25,1989,3rd Quintile,No,0.63582,775,5747,0.60676,0.66761
26,26,1989,4th Quintile,Yes,0.38616,492,5747,0.36713,0.40553
27,27,1989,4th Quintile,No,0.61384,907,5747,0.58746,0.64563
28,28,1989,5th Quintile,Yes,0.39523,508,5747,0.37805,0.41401
29,29,1989,5th Quintile,No,0.60477,861,5747,0.58368,0.62426
30,30,1990,1st Quintile,Yes,0.28081,197,5650,0.24778,0.31361
31,31,1990,1st Quintile,No,0.71919,544,5650,0.6718,0.77622
32,32,1990,2nd Quintile,Yes,0.35266,326,5650,0.32998,0.37665
33,33,1990,2nd Quintile,No,0.64734,693,5650,0.6056,0.68884
34,34,1990,3rd Quintile,Yes,0.35018,387,5650,0.32952,0.3747
35,35,1990,3rd Quintile,No,0.64982,808,5650,0.61686,0.683
36,36,1990,4th Quintile,Yes,0.38773,483,5650,0.36861,0.4099
37,37,1990,4th Quintile,No,0.61227,870,5650,0.58335,0.63859
38,38,1990,5th Quintile,Yes,0.4349,558,5650,0.42164,0.45336
39,39,1990,5th Quintile,No,0.5651,784,5650,0.54378,0.58436
40,40,1991,1st Quintile,Yes,0.27966,190,5730,0.24846,0.31136
41,41,1991,1st Quintile,No,0.72034,552,5730,0.67837,0.78141
42,42,1991,2nd Quintile,Yes,0.35343,350,5730,0.32982,0.3783
43,43,1991,2nd Quintile,No,0.64657,709,5730,0.61003,0.68323
44,44,1991,3rd Quintile,Yes,0.3855,432,5730,0.36122,0.41166
45,45,1991,3rd Quintile,No,0.6145,761,5730,0.57706,0.64996
46,46,1991,4th Quintile,Yes,0.41899,503,5730,0.3982,0.44187
47,47,1991,4th Quintile,No,0.58101,849,5730,0.55619,0.60671
48,48,1991,5th Quintile,Yes,0.44498,592,5730,0.42365,0.46593
49,49,1991,5th Quintile,No,0.55502,792,5730,0.5359,0.58039
50,50,1992,1st Quintile,Yes,0.33519,355,7989,0.30945,0.36079
51,51,1992,1st Quintile,No,0.66481,727,7989,0.63356,0.70447
52,52,1992,2nd Quintile,Yes,0.37196,572,7989,0.34686,0.39583
53,53,1992,2nd Quintile,No,0.62804,1076,7989,0.60764,0.65861
54,54,1992,3rd Quintile,Yes,0.38602,618,7989,0.3639,0.40951
55,55,1992,3rd Quintile,No,0.61398,1066,7989,0.58621,0.64527
56,56,1992,4th Quintile,Yes,0.41315,689,7989,0.39295,0.43358
57,57,1992,4th Quintile,No,0.58685,1115,7989,0.55962,0.60915
