,Unnamed: 0,year,bula_h,regtyp,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,Urban regions,No,1.0,59,6336,0.86564,1.18463
1,1,1996,Schleswig-Holstein,Rural regions,No,1.0,73,6336,0.87212,1.12275
2,2,1996,Hamburg,Urban regions,No,1.0,73,6336,0.845,1.17275
3,3,1996,Lower Saxony,Urban regions,Yes,0.08996,31,6336,0.07131,0.10904
4,4,1996,Lower Saxony,Urban regions,No,0.91004,247,6336,0.83499,0.98015
5,5,1996,Lower Saxony,Rural regions,Yes,0.11876,34,6336,0.09208,0.14893
6,6,1996,Lower Saxony,Rural regions,No,0.88124,219,6336,0.8102,0.94945
7,7,1996,Bremen,Urban regions,No,1.0,47,6336,0.83088,1.14985
8,8,1996,North Rhine-Westphalia,Urban regions,Yes,0.09212,129,6336,0.07834,0.10644
9,9,1996,North Rhine-Westphalia,Urban regions,No,0.90788,1128,6336,0.87043,0.94776
10,10,1996,Hesse,Urban regions,No,1.0,364,6336,0.91361,1.09822
11,11,1996,Hesse,Rural regions,No,1.0,67,6336,0.84058,1.15919
12,12,1996,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.0932,34,6336,0.07853,0.10717
13,13,1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.9068,254,6336,0.83133,0.97758
14,14,1996,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,54,6336,0.86259,1.12688
15,15,1996,Baden-Wuerttemberg,Urban regions,Yes,0.07718,64,6336,0.06126,0.09318
16,16,1996,Baden-Wuerttemberg,Urban regions,No,0.92282,670,6336,0.85502,0.98669
17,17,1996,Baden-Wuerttemberg,Rural regions,No,1.0,96,6336,0.84219,1.17161
18,18,1996,Bavaria,Urban regions,Yes,0.06803,32,6336,0.05074,0.08839
19,19,1996,Bavaria,Urban regions,No,0.93197,398,6336,0.87067,0.9977
20,20,1996,Bavaria,Rural regions,Yes,0.07342,40,6336,0.05412,0.09065
21,21,1996,Bavaria,Rural regions,No,0.92658,391,6336,0.85526,1.00832
22,22,1996,Berlin,Urban regions,No,1.0,283,6336,0.92321,1.08449
23,23,1996,Brandenburg,Rural regions,No,1.0,252,6336,0.93157,1.07343
24,24,1996,Mecklenburg-Western Pomerania,Rural regions,No,1.0,148,6336,0.91275,1.07909
25,25,1996,Saxony,Urban regions,Yes,0.10036,35,6336,0.08256,0.12109
26,26,1996,Saxony,Urban regions,No,0.89964,254,6336,0.84283,0.96287
27,27,1996,Saxony,Rural regions,No,1.0,229,6336,0.92868,1.07752
28,28,1996,Saxony-Anhalt,Urban regions,No,1.0,60,6336,0.84917,1.18927
29,29,1996,Saxony-Anhalt,Rural regions,Yes,0.10635,36,6336,0.08346,0.13263
30,30,1996,Saxony-Anhalt,Rural regions,No,0.89365,218,6336,0.82783,0.97695
31,31,1996,Thuringa,Urban regions,No,1.0,85,6336,0.88822,1.13733
32,32,1996,Thuringa,Rural regions,Yes,0.11333,37,6336,0.09991,0.12802
33,33,1996,Thuringa,Rural regions,No,0.88667,195,6336,0.81044,0.97236
34,34,2001,Schleswig-Holstein,Urban regions,No,1.0,147,11542,0.93164,1.07649
35,35,2001,Schleswig-Holstein,Rural regions,No,1.0,193,11542,0.92627,1.07308
