year,rentown,sampreg,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,West,Yes,0.08345,170,6631,0.08330,0.08360
1996,Owner,West,No,0.91655,1641,6631,0.91640,0.91670
1996,Owner,East,Yes,0.11598,80,6631,0.11552,0.11644
1996,Owner,East,No,0.88402,504,6631,0.88356,0.88448
1996,Tenant,West,Yes,0.09063,298,6631,0.09050,0.09077
1996,Tenant,West,No,0.90937,2684,6631,0.90923,0.90950
1996,Tenant,East,Yes,0.10126,152,6631,0.10099,0.10153
1996,Tenant,East,No,0.89874,1102,6631,0.89847,0.89901
2001,Owner,West,Yes,0.06385,279,11680,0.06372,0.06398
2001,Owner,West,No,0.93615,3885,11680,0.93602,0.93628
2001,Owner,East,Yes,0.09307,113,11680,0.09270,0.09344
2001,Owner,East,No,0.90693,990,11680,0.90656,0.90730
2001,Tenant,West,Yes,0.06422,324,11680,0.06411,0.06434
2001,Tenant,West,No,0.93578,4349,11680,0.93566,0.93589
2001,Tenant,East,Yes,0.09249,185,11680,0.09223,0.09275
2001,Tenant,East,No,0.90751,1555,11680,0.90725,0.90777
2006,Owner,West,Yes,0.05306,246,12263,0.05295,0.05318
2006,Owner,West,No,0.94694,4548,12263,0.94682,0.94705
2006,Owner,East,Yes,0.08693,103,12263,0.08657,0.08728
2006,Owner,East,No,0.91307,1106,12263,0.91272,0.91343
2006,Tenant,West,Yes,0.04085,197,12263,0.04076,0.04094
2006,Tenant,West,No,0.95915,4345,12263,0.95906,0.95924
2006,Tenant,East,Yes,0.06660,126,12263,0.06638,0.06682
2006,Tenant,East,No,0.93340,1592,12263,0.93318,0.93362
2011,Owner,West,Yes,0.03628,166,12084,0.03619,0.03638
2011,Owner,West,No,0.96372,4616,12084,0.96362,0.96381
2011,Owner,East,Yes,0.05622,62,12084,0.05593,0.05651
2011,Owner,East,No,0.94378,1100,12084,0.94349,0.94407
2011,Tenant,West,Yes,0.03380,165,12084,0.03371,0.03389
2011,Tenant,West,No,0.96620,4245,12084,0.96611,0.96629
2011,Tenant,East,Yes,0.04682,96,12084,0.04662,0.04702
2011,Tenant,East,No,0.95318,1634,12084,0.95298,0.95338
2016,Owner,West,Yes,0.02107,145,14301,0.02100,0.02114
2016,Owner,West,No,0.97893,5001,14301,0.97886,0.97900
2016,Owner,East,Yes,0.04851,68,14301,0.04825,0.04877
2016,Owner,East,No,0.95149,1088,14301,0.95123,0.95175
2016,Tenant,West,Yes,0.02735,162,14301,0.02727,0.02742
2016,Tenant,West,No,0.97265,5919,14301,0.97258,0.97273
2016,Tenant,East,Yes,0.03831,71,14301,0.03813,0.03848
2016,Tenant,East,No,0.96169,1847,14301,0.96152,0.96187
2021,Owner,West,Yes,0.02058,100,11051,0.02052,0.02065
2021,Owner,West,No,0.97942,4027,11051,0.97935,0.97948
2021,Owner,East,Yes,0.04110,44,11051,0.04086,0.04133
2021,Owner,East,No,0.95890,909,11051,0.95867,0.95914
2021,Tenant,West,Yes,0.01668,84,11051,0.01662,0.01674
2021,Tenant,West,No,0.98332,4450,11051,0.98326,0.98338
2021,Tenant,East,Yes,0.02044,31,11051,0.02031,0.02058
2021,Tenant,East,No,0.97956,1406,11051,0.97942,0.97969
