year,bula_h,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,No,1.00000,486,14161,0,0.92261,0,1.09501
2016,Hamburg,No,1.00000,259,14161,0,0.89847,0,1.11010
2016,Lower Saxony,Yes,0.01835,39,14161,0,0.01246,0,0.02812
2016,Lower Saxony,No,0.98165,1309,14161,0,0.91802,0,1.04182
2016,Bremen,No,1.00000,103,14161,0,0.76669,0,1.22470
2016,North Rhine-Westphalia,Yes,0.01342,75,14161,0,0.00963,0,0.01828
2016,North Rhine-Westphalia,No,0.98658,2832,14161,0,0.94848,0,1.02262
2016,Hesse,No,1.00000,959,14161,0,0.93578,0,1.06738
2016,"Rhineland-Palatinate, Saarland",No,1.00000,831,14161,0,0.93204,0,1.06705
2016,Baden-Wuerttemberg,Yes,0.01407,42,14161,0,0.01043,0,0.01803
2016,Baden-Wuerttemberg,No,0.98593,1585,14161,0,0.92802,0,1.03222
2016,Bavaria,Yes,0.01346,58,14161,0,0.00940,0,0.01753
2016,Bavaria,No,0.98654,2242,14161,0,0.93728,0,1.03146
2016,Berlin,No,1.00000,597,14161,0,0.92503,0,1.08999
2016,Brandenburg,No,1.00000,542,14161,0,0.90838,0,1.09309
2016,Mecklenburg-Western Pomerania,No,1.00000,314,14161,0,0.88530,0,1.11282
2016,Saxony,Yes,0.04081,36,14161,0,0.02958,0,0.05571
2016,Saxony,No,0.95919,829,14161,0,0.88762,0,1.03006
2016,Saxony-Anhalt,No,1.00000,496,14161,0,0.90678,0,1.11507
2016,Thuringa,No,1.00000,527,14161,0,0.90335,0,1.10720
2021,Schleswig-Holstein,No,1.00000,416,10931,0,0.88796,0,1.12915
2021,Hamburg,No,1.00000,261,10931,0,0.86305,0,1.15444
2021,Lower Saxony,No,1.00000,1039,10931,0,0.92126,0,1.08307
2021,Bremen,No,1.00000,79,10931,0,0.74416,0,1.28190
2021,North Rhine-Westphalia,Yes,0.01388,51,10931,0,0.00959,0,0.01855
2021,North Rhine-Westphalia,No,0.98612,2232,10931,0,0.93140,0,1.03534
2021,Hesse,No,1.00000,686,10931,0,0.91870,0,1.08821
2021,"Rhineland-Palatinate, Saarland",No,1.00000,522,10931,0,0.89660,0,1.10283
2021,Baden-Wuerttemberg,No,1.00000,1187,10931,0,0.93117,0,1.05944
2021,Bavaria,Yes,0.01540,37,10931,0,0.00978,0,0.02216
2021,Bavaria,No,0.98460,1710,10931,0,0.92516,0,1.03666
2021,Berlin,No,1.00000,549,10931,0,0.89250,0,1.10813
2021,Brandenburg,No,1.00000,437,10931,0,0.89509,0,1.12695
2021,Mecklenburg-Western Pomerania,No,1.00000,259,10931,0,0.86495,0,1.14139
2021,Saxony,Yes,0.02988,31,10931,0,0.01754,0,0.04935
2021,Saxony,No,0.97012,702,10931,0,0.88367,0,1.05272
2021,Saxony-Anhalt,No,1.00000,358,10931,0,0.85499,0,1.11849
2021,Thuringa,No,1.00000,375,10931,0,0.87519,0,1.13475
