year,quintil_oecd,pgpsbil,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Secondary School Degree,0.5055079559363526,16099,0.497784702736602,0.5132312091361031
1984,1st Quintile,Other Degree,0.16727866177070583,16099,0.16151329765559533,0.17304402588581633
1984,1st Quintile,"Dropout, No School Degree",0.1109751121991024,16099,0.10612304980385502,0.11582717459434978
1984,1st Quintile,Intermediate School Degree,0.07507139942880457,16099,0.07100089734429421,0.07914190151331493
1984,1st Quintile,Upper Secondary Degree,0.06079151366789066,16099,0.057100385685262614,0.0644826416505187
1984,1st Quintile,No School Attended,0.0416156670746634,16099,0.03853066895130059,0.044700665198026214
1984,1st Quintile,Technical School Degree,0.019991840065279477,16099,0.01782963016546401,0.022154049965094944
1984,1st Quintile,No School Degree Yet,0.018767849857201143,16099,0.016671567563310324,0.020864132151091962
1984,2nd Quintile,Secondary School Degree,0.5713080168776371,16099,0.5636632462173278,0.5789527875379464
1984,2nd Quintile,Other Degree,0.1320675105485232,16099,0.1268375599116768,0.1372974611853696
1984,2nd Quintile,Intermediate School Degree,0.11308016877637131,16099,0.10818810592539492,0.1179722316273477
1984,2nd Quintile,"Dropout, No School Degree",0.09029535864978903,16099,0.08586805264829586,0.0947226646512822
1984,2nd Quintile,Upper Secondary Degree,0.035443037974683546,16099,0.03258685496606233,0.03829922098330476
1984,2nd Quintile,No School Degree Yet,0.021518987341772152,16099,0.019277461564708345,0.02376051311883596
1984,2nd Quintile,No School Attended,0.0189873417721519,16099,0.016879072831764888,0.02109561071253891
1984,2nd Quintile,Technical School Degree,0.01729957805907173,16099,0.01528545988723199,0.01931369623091147
1984,3rd Quintile,Secondary School Degree,0.5491280306252658,16099,0.5414416825807249,0.5568143786698068
1984,3rd Quintile,Intermediate School Degree,0.1646108039132284,16099,0.15888244506354018,0.17033916276291663
1984,3rd Quintile,Other Degree,0.1220757124627818,16099,0.11701863289457932,0.1271327920309843
1984,3rd Quintile,"Dropout, No School Degree",0.06252658443215653,16099,0.058786611538969885,0.06626655732534317
1984,3rd Quintile,Upper Secondary Degree,0.054870267971076137,16099,0.05135247015869719,0.05838806578345508
1984,3rd Quintile,Technical School Degree,0.021692896639727774,16099,0.019442531466219718,0.02394326181323583
1984,3rd Quintile,No School Degree Yet,0.01446193109315185,16099,0.01261773767607708,0.01630612451022662
1984,3rd Quintile,No School Attended,0.010633772862611655,16099,0.009049321721677942,0.012218224003545369
1984,4th Quintile,Secondary School Degree,0.4907258064516129,16099,0.4830034133588246,0.4984481995444012
1984,4th Quintile,Intermediate School Degree,0.19838709677419356,16099,0.1922268844430134,0.20454730910537372
1984,4th Quintile,Other Degree,0.10161290322580645,16099,0.09694563453068661,0.10628017192092629
1984,4th Quintile,Upper Secondary Degree,0.08870967741935484,16099,0.08431759480704965,0.09310176003166004
1984,4th Quintile,"Dropout, No School Degree",0.06612903225806452,16099,0.06229022646169635,0.06996783805443269
1984,4th Quintile,Technical School Degree,0.027016129032258064,16099,0.02451162922476181,0.02952062883975432
1984,4th Quintile,No School Degree Yet,0.017741935483870968,16099,0.01570268806837428,0.019781182899367655
1984,4th Quintile,No School Attended,0.00967741935483871,16099,0.008165165353046403,0.011189673356631017
1984,5th Quintile,Secondary School Degree,0.41618015012510423,16099,0.4085657318308112,0.4237945684193973
1984,5th Quintile,Intermediate School Degree,0.26063386155129276,16099,0.25385273547627996,0.26741498762630556
1984,5th Quintile,Upper Secondary Degree,0.15721434528773978,16099,0.15159143344932505,0.16283725712615452
