year,plb0037_h,age_gr,sex,proportion,n,lower_confidence,upper_confidence
1985,Permanent job,30-45 y.,male,0.26746268656716415,14443,0.2602437397434164,0.2746816333909119
1985,Permanent job,46-65 y.,male,0.21213930348258705,14443,0.2054718091860399,0.2188067977791342
1985,Permanent job,30-45 y.,female,0.16019900497512438,14443,0.15421701796943046,0.1661809919808183
1985,Permanent job,18-29 y.,male,0.13651741293532338,14443,0.13091792668505675,0.14211689918559
1985,Permanent job,18-29 y.,female,0.1154228855721393,14443,0.11021164432037162,0.12063412682390698
1985,Permanent job,46-65 y.,female,0.1054726368159204,14443,0.1004631402586707,0.11048213337317009
1985,Permanent job,66 and older,female,0.0015920398009950248,14443,0.0009418227655701723,0.0022422568364198776
1985,Permanent job,66 and older,male,0.0011940298507462687,14443,0.0006308131519980308,0.0017572465494945064
1985,Temporary job,18-29 y.,male,0.41379310344827586,14443,0.4057607196487794,0.4218254872477723
1985,Temporary job,18-29 y.,female,0.2993730407523511,14443,0.29190378840579945,0.30684229309890276
1985,Temporary job,30-45 y.,male,0.10658307210031348,14443,0.10155040074177898,0.11161574345884798
1985,Temporary job,30-45 y.,female,0.10031347962382445,14443,0.09541396994203506,0.10521298930561383
1985,Temporary job,46-65 y.,male,0.04231974921630094,14443,0.039036459743407165,0.045603038689194714
1985,Temporary job,46-65 y.,female,0.03761755485893417,14443,0.034514449699242444,0.0407206600186259
1986,Permanent job,18-29 y.,male,0.3092105263157895,13742,0.30148316730666297,0.316937885324916
1986,Permanent job,30-45 y.,male,0.2565789473684211,13742,0.24927665803722016,0.263881236699622
1986,Permanent job,18-29 y.,female,0.22039473684210525,13742,0.213464164677104,0.2273253090071065
1986,Permanent job,30-45 y.,female,0.13157894736842105,13742,0.12592711236580564,0.13723078237103645
1986,Permanent job,46-65 y.,male,0.0625,13742,0.058452780618945696,0.0665472193810543
1986,Permanent job,46-65 y.,female,0.019736842105263157,13742,0.017411208614923793,0.02206247559560252
1986,Temporary job,18-29 y.,male,0.5056818181818182,13742,0.4973224575595302,0.5140411788041063
1986,Temporary job,18-29 y.,female,0.3693181818181818,13742,0.3612488681206032,0.37738749551576045
1986,Temporary job,30-45 y.,male,0.05113636363636364,13742,0.047453395837412045,0.054819331435315234
1986,Temporary job,30-45 y.,female,0.03409090909090909,13742,0.031056888545793845,0.03712492963602433
1986,Temporary job,46-65 y.,male,0.022727272727272728,13742,0.020235475773558793,0.025219069680986663
1986,Temporary job,46-65 y.,female,0.017045454545454544,13742,0.014881231036015201,0.01920967805489389
1987,Permanent job,18-29 y.,male,0.3231552162849873,13496,0.31526473189509124,0.3310457006748833
1987,Permanent job,18-29 y.,female,0.22646310432569974,13496,0.21940167232560764,0.23352453632579184
1987,Permanent job,30-45 y.,male,0.19338422391857507,13496,0.18672080045985046,0.2000476473772997
1987,Permanent job,30-45 y.,female,0.13740458015267176,13496,0.13159616412413566,0.14321299618120786
1987,Permanent job,46-65 y.,male,0.08524173027989822,13496,0.08053051622358692,0.08995294433620951
1987,Permanent job,46-65 y.,female,0.03435114503816794,13496,0.03127834881361396,0.03742394126272192
1987,Temporary job,18-29 y.,female,0.4006849315068493,13496,0.39241727089810435,0.40895259211559426
1987,Temporary job,18-29 y.,male,0.3698630136986301,13496,0.3617180064645965,0.3780080209326637
1987,Temporary job,30-45 y.,male,0.09931506849315068,13496,0.09426906486655572,0.10436107211974564
1987,Temporary job,30-45 y.,female,0.09931506849315068,13496,0.09426906486655572,0.10436107211974564
1987,Temporary job,46-65 y.,male,0.017123287671232876,13496,0.01493453526946734,0.019312040072998412
1987,Temporary job,46-65 y.,female,0.0136986301369863,13496,0.011737542848468504,0.015659717425504097
1988,Permanent job,30-45 y.,male,0.24594769829263022,12817,0.2384920571635975,0.25340333942166293
1988,Permanent job,46-65 y.,male,0.22066133563864274,12817,0.21348191974840255,0.22784075152888292
1988,Permanent job,30-45 y.,female,0.15560838556299977,12817,0.14933284221880702,0.16188392890719253
1988,Permanent job,18-29 y.,male,0.14545061594985953,12817,0.13934697125849674,0.15155426064122232
1988,Permanent job,18-29 y.,female,0.11670628917224984,12817,0.11114772558085394,0.12226485276364575
1988,Permanent job,46-65 y.,female,0.11346444780635401,12817,0.10797358162715882,0.11895531398554919
1988,Permanent job,66 and older,female,0.0012967365463583316,12817,0.0006737093725638033,0.0019197637201528598
1988,Permanent job,66 and older,male,0.0008644910309055544,12817,0.000355681401284489,0.0013733006605266198
1988,Temporary job,18-29 y.,male,0.42,12817,0.41145520749384523,0.42854479250615474
1988,Temporary job,18-29 y.,female,0.305,12817,0.2970291396346128,0.3129708603653872
1988,Temporary job,30-45 y.,male,0.09666666666666666,12817,0.09155072871099001,0.10178260462234331
1988,Temporary job,30-45 y.,female,0.08333333333333333,12817,0.07854837703422335,0.08811828963244331
1988,Temporary job,46-65 y.,female,0.045,12817,0.04141102178754133,0.04858897821245867
1988,Temporary job,46-65 y.,male,0.045,12817,0.04141102178754133,0.04858897821245867
1988,Temporary job,66 and older,male,0.0033333333333333335,12817,0.0023354558601819337,0.004331210806484733
1988,Temporary job,66 and older,female,0.0016666666666666668,12817,0.0009604710135338601,0.0023728623197994732
1989,Permanent job,18-29 y.,male,0.30637636080870917,12393,0.29826007342929073,0.3144926481881276
1989,Permanent job,18-29 y.,female,0.25505443234836706,12393,0.2473799948354209,0.2627288698613132
1989,Permanent job,30-45 y.,male,0.18662519440124417,12393,0.1797656015189114,0.19348478728357693
1989,Permanent job,30-45 y.,female,0.15552099533437014,12393,0.14914046484365118,0.1619015258250891
1989,Permanent job,46-65 y.,male,0.05909797822706065,12393,0.05494627444936374,0.06324968200475757
1989,Permanent job,46-65 y.,female,0.03732503888024884,12393,0.03398764228192505,0.04066243547857262
1989,Temporary job,18-29 y.,male,0.376,12393,0.3674718650547073,0.3845281349452927
1989,Temporary job,18-29 y.,female,0.364,12393,0.3555287578508947,0.37247124214910526
1989,Temporary job,30-45 y.,female,0.112,12393,0.10644756682078618,0.11755243317921382
1989,Temporary job,30-45 y.,male,0.092,12393,0.08691132535263381,0.09708867464736619
1989,Temporary job,46-65 y.,female,0.036,12393,0.03272012257345063,0.03927987742654936
1989,Temporary job,46-65 y.,male,0.02,12393,0.017535119425556675,0.022464880574443326
1990,Permanent job,30-45 y.,male,0.21367521367521367,18165,0.20771425067013793,0.2196361766802894
1990,Permanent job,30-45 y.,female,0.20833333333333334,18165,0.20242739468438023,0.21423927198228646
1990,Permanent job,18-29 y.,male,0.15892094017094016,18165,0.1536041766599891,0.16423770368189122
1990,Permanent job,46-65 y.,male,0.14877136752136752,18165,0.14359623876410818,0.15394649627862686
1990,Permanent job,18-29 y.,female,0.13488247863247863,18165,0.12991479770747427,0.13985015955748298
1990,Permanent job,46-65 y.,female,0.13167735042735043,18165,0.12675996245561688,0.13659473839908398
1990,Permanent job,66 and older,male,0.002136752136752137,18165,0.0014652444978371245,0.0028082597756671495
1990,Permanent job,66 and older,female,0.0016025641025641025,18165,0.0010208657900811309,0.002184262415047074
1990,Temporary job,18-29 y.,female,0.3119266055045872,18165,0.3051893663721082,0.31866384463706615
1990,Temporary job,18-29 y.,male,0.29357798165137616,18165,0.2869553252404474,0.3002006380623049
1990,Temporary job,30-45 y.,female,0.1353211009174312,18165,0.13034661092025782,0.14029559091460456
1990,Temporary job,30-45 y.,male,0.09403669724770643,18165,0.08979204263832145,0.0982813518570914
1990,Temporary job,46-65 y.,male,0.08944954128440367,18165,0.08529924178588523,0.09359984078292212
1990,Temporary job,46-65 y.,female,0.07110091743119266,18165,0.06736359782240862,0.0748382370399767
1990,Temporary job,66 and older,female,0.0022935779816513763,18165,0.0015979188193334308,0.0029892371439693218
1990,Temporary job,66 and older,male,0.0022935779816513763,18165,0.0015979188193334308,0.0029892371439693218
1991,Permanent job,30-45 y.,male,0.22423288749016523,17756,0.21809810965086754,0.23036766532946293
1991,Permanent job,18-29 y.,male,0.22344610542879623,17756,0.21731899512273625,0.2295732157348562
1991,Permanent job,30-45 y.,female,0.22029897718332023,17756,0.214202853138069,0.22639510122857145
1991,Permanent job,18-29 y.,female,0.16994492525570418,17756,0.16442044967789451,0.17546940083351384
1991,Permanent job,46-65 y.,male,0.08575924468922108,17756,0.08164060058664739,0.08987788879179477
1991,Permanent job,46-65 y.,female,0.07474429583005507,17756,0.07087614485714776,0.07861244680296238
1991,Permanent job,66 and older,male,0.0015735641227380016,17756,0.0009905437087364913,0.002156584536739512
1991,Temporary job,18-29 y.,male,0.2857142857142857,17756,0.27906943140747587,0.29235914002109553
1991,Temporary job,18-29 y.,female,0.2545454545454545,17756,0.24813812944911498,0.2609527796417941
1991,Temporary job,30-45 y.,female,0.16883116883116883,17756,0.16332113277008609,0.17434120489225158
1991,Temporary job,30-45 y.,male,0.14545454545454545,17756,0.1402687577204748,0.15064033318861608
1991,Temporary job,46-65 y.,female,0.07792207792207792,17756,0.07397934301827468,0.08186481282588116
1991,Temporary job,46-65 y.,male,0.06753246753246753,17756,0.06384136021815771,0.07122357484677734
1992,Permanent job,30-45 y.,male,0.22452361226180614,17350,0.21831461266703392,0.23073261185657837
1992,Permanent job,30-45 y.,female,0.21623860811930407,17350,0.2101127789207303,0.22236443731787783
1992,Permanent job,18-29 y.,male,0.21541010770505387,17350,0.20929279438257753,0.2215274210275302
1992,Permanent job,18-29 y.,female,0.16652858326429162,17350,0.16098492972069348,0.17207223680788977
1992,Permanent job,46-65 y.,male,0.09610604805302403,17350,0.09172033279643789,0.10049176330961017
1992,Permanent job,46-65 y.,female,0.08036454018227009,17350,0.07631928038649673,0.08440979997804345
1992,Permanent job,66 and older,male,0.0008285004142502071,17350,0.0004003733176960812,0.001256627510804333
1992,Temporary job,18-29 y.,male,0.26208651399491095,17350,0.2555426932720596,0.2686303347177623
1992,Temporary job,18-29 y.,female,0.2366412213740458,17350,0.23031687156985886,0.24296557117823275
1992,Temporary job,30-45 y.,female,0.1628498727735369,17350,0.1573557075276994,0.16834403801937442
1992,Temporary job,30-45 y.,male,0.15776081424936386,17350,0.15233676501418641,0.1631848634845413
1992,Temporary job,46-65 y.,male,0.11195928753180662,17350,0.10726734339003012,0.11665123167358311
1992,Temporary job,46-65 y.,female,0.06615776081424936,17350,0.062459193838763784,0.06985632778973493
1992,Temporary job,66 and older,male,0.002544529262086514,17350,0.0017948822489828337,0.0032941762751901946
1993,Permanent job,30-45 y.,female,0.22718631178707224,16993,0.2208861815678637,0.2334864420062808
1993,Permanent job,30-45 y.,male,0.21673003802281368,16993,0.21053510903872283,0.22292496700690453
1993,Permanent job,18-29 y.,female,0.20152091254752852,16993,0.1954895855321396,0.20755223956291743
1993,Permanent job,18-29 y.,male,0.2005703422053232,16993,0.194549676298923,0.20659100811172337
1993,Permanent job,46-65 y.,male,0.09315589353612168,16993,0.08878578193314812,0.09752600513909523
1993,Permanent job,46-65 y.,female,0.060836501901140684,16993,0.057242537573741634,0.06443046622853973
1993,Temporary job,18-29 y.,female,0.26031746031746034,16993,0.2537197176064651,0.26691520302845556
1993,Temporary job,18-29 y.,male,0.2507936507936508,16993,0.24427616585849132,0.25731113572881026
1993,Temporary job,30-45 y.,female,0.18095238095238095,16993,0.17516399115079034,0.18674077075397155
1993,Temporary job,30-45 y.,male,0.1619047619047619,16993,0.15636619329011817,0.16744333051940566
1993,Temporary job,46-65 y.,male,0.07936507936507936,16993,0.07530083799581379,0.08342932073434493
1993,Temporary job,46-65 y.,female,0.06666666666666667,16993,0.06291612666836335,0.07041720666496998
1994,Permanent job,18-29 y.,male,0.24029126213592233,16642,0.2337997501612746,0.24678277411057006
1994,Permanent job,18-29 y.,female,0.21601941747572814,16642,0.20976693675932997,0.2222718981921263
1994,Permanent job,30-45 y.,female,0.2099514563106796,16642,0.20376360817330583,0.21613930444805338
1994,Permanent job,30-45 y.,male,0.19781553398058252,16642,0.19176323139124682,0.20386783656991822
1994,Permanent job,46-65 y.,male,0.07160194174757281,16642,0.06768467790222937,0.07551920559291625
1994,Permanent job,46-65 y.,female,0.06432038834951456,16642,0.06059311516663232,0.0680476615323968
1994,Temporary job,18-29 y.,female,0.3023255813953488,16642,0.2953478031973363,0.30930335959336136
1994,Temporary job,18-29 y.,male,0.2868217054263566,16642,0.2799500974057573,0.2936933134469559
1994,Temporary job,30-45 y.,female,0.16279069767441862,16642,0.15718170171272708,0.16839969363611015
1994,Temporary job,30-45 y.,male,0.1343669250645995,16642,0.12918529477401072,0.13954855535518826
1994,Temporary job,46-65 y.,female,0.06201550387596899,16642,0.05835111732204944,0.06567989042988855
1994,Temporary job,46-65 y.,male,0.05167958656330749,16642,0.048316094730597545,0.055043078396017436
1995,Permanent job,30-45 y.,male,0.26389111289031225,17246,0.25731309131917496,0.27046913446144955
1995,Permanent job,30-45 y.,female,0.2022417934347478,17246,0.19624687919551345,0.20823670767398214
1995,Permanent job,46-65 y.,male,0.18366693354683747,17246,0.1778878221982707,0.18944604489540423
1995,Permanent job,18-29 y.,male,0.122177742193755,17246,0.11728996700670437,0.12706551738080565
1995,Permanent job,46-65 y.,female,0.11961569255404324,17246,0.11477238434822773,0.12445900075985875
1995,Permanent job,18-29 y.,female,0.10616493194555644,17246,0.10156733264513447,0.11076253124597842
1995,Permanent job,66 and older,female,0.0012810248198558848,17246,0.0007471833553180125,0.0018148662843937569
1995,Permanent job,66 and older,male,0.0009607686148919135,17246,0.0004983742255260048,0.0014231630042578223
1995,Temporary job,18-29 y.,male,0.3216704288939052,17246,0.31469874279690296,0.3286421149909074
1995,Temporary job,18-29 y.,female,0.2742663656884876,17246,0.26760770657711896,0.28092502479985626
1995,Temporary job,30-45 y.,female,0.14108352144469527,17246,0.1358880436443191,0.14627899924507143
1995,Temporary job,30-45 y.,male,0.11173814898419865,17246,0.10703614360030464,0.11644015436809266
1995,Temporary job,46-65 y.,female,0.0744920993227991,17246,0.07057326365169173,0.07841093499390647
1995,Temporary job,46-65 y.,male,0.07336343115124154,17246,0.06947202630456893,0.07725483599791415
1995,Temporary job,66 and older,male,0.003386004514672686,17246,0.002519004434300935,0.004253004595044437
1996,Permanent job,30-45 y.,male,0.2734131540101689,16862,0.266685634020372,0.28014067399996584
1996,Permanent job,30-45 y.,female,0.20797113334426767,16862,0.20184518171435883,0.2140970849741765
1996,Permanent job,46-65 y.,male,0.17762834180744627,16862,0.17185945886122847,0.18339722475366407
1996,Permanent job,46-65 y.,female,0.12366737739872068,16862,0.11869843921548816,0.1286363155819532
1996,Permanent job,18-29 y.,male,0.11251435132032148,16862,0.10774470519416454,0.11728399744647841
1996,Permanent job,18-29 y.,female,0.10267344595702804,16862,0.09809196529442543,0.10725492661963065
1996,Permanent job,66 and older,male,0.001148105625717566,16862,0.0006369619400503894,0.0016592493113847427
1996,Permanent job,66 and older,female,0.0009840905363293422,16862,0.0005108245870621462,0.0014573564855965382
1996,Temporary job,18-29 y.,male,0.31585365853658537,16862,0.3088371834231755,0.32287013364999523
1996,Temporary job,18-29 y.,female,0.27195121951219514,16862,0.26523496301697097,0.2786674760074193
1996,Temporary job,30-45 y.,female,0.14878048780487804,16862,0.14340899123002301,0.15415198437973307
1996,Temporary job,30-45 y.,male,0.12073170731707317,16862,0.11581388417677593,0.1256495304573704
1996,Temporary job,46-65 y.,female,0.08536585365853659,16862,0.08114823482214964,0.08958347249492354
1996,Temporary job,46-65 y.,male,0.05731707317073171,16862,0.05380853381509289,0.06082561252637053
1997,Permanent job,30-45 y.,male,0.2770667589069526,16487,0.27023509390958267,0.2838984239043225
1997,Permanent job,30-45 y.,female,0.21169145624351435,16487,0.20545575880931916,0.21792715367770954
1997,Permanent job,46-65 y.,male,0.17934970598408856,16487,0.1734935228210892,0.1852058891470879
1997,Permanent job,46-65 y.,female,0.13092355586302318,16487,0.12577455294618572,0.13607255877986063
1997,Permanent job,18-29 y.,male,0.10377032168799723,16487,0.09911519510841119,0.10842544826758327
1997,Permanent job,18-29 y.,female,0.0947768938083708,16487,0.09030579463094572,0.09924799298579588
1997,Permanent job,66 and older,male,0.0012106537530266344,16487,0.0006798522067432477,0.001741455299310021
1997,Permanent job,66 and older,female,0.0012106537530266344,16487,0.0006798522067432477,0.001741455299310021
1997,Temporary job,18-29 y.,male,0.33150984682713347,16487,0.32432395002353975,0.3386957436307272
1997,Temporary job,18-29 y.,female,0.2735229759299781,16487,0.2667185247783493,0.2803274270816069
1997,Temporary job,30-45 y.,female,0.13347921225382933,16487,0.128287847277785,0.13867057722987366
1997,Temporary job,30-45 y.,male,0.1301969365426696,16487,0.12506009579805222,0.13533377728728696
1997,Temporary job,46-65 y.,female,0.06564551422319474,16487,0.06186506318988337,0.06942596525650611
1997,Temporary job,46-65 y.,male,0.06236323851203501,16487,0.05867204430622287,0.06605443271784715
1997,Temporary job,66 and older,male,0.002188183807439825,16487,0.001474917887739356,0.0029014497271402937
1997,Temporary job,66 and older,female,0.0010940919037199124,16487,0.000589460300357655,0.00159872350708217
1998,Permanent job,30-45 y.,male,0.27898209236569277,18147,0.27245657663482764,0.2855076080965579
1998,Permanent job,30-45 y.,female,0.21253534401508012,18147,0.20658304461491858,0.21848764341524166
1998,Permanent job,46-65 y.,male,0.18426013195098964,18147,0.17861927372171918,0.1899009901802601
1998,Permanent job,46-65 y.,female,0.1393339616713792,18147,0.13429548238369973,0.14437244095905868
1998,Permanent job,18-29 y.,male,0.09566446748350613,18147,0.09138496011484981,0.09994397485216244
1998,Permanent job,18-29 y.,female,0.08639648130694313,18147,0.0823087667546031,0.09048419585928318
1998,Permanent job,66 and older,male,0.001413760603204524,18147,0.0008670791025566451,0.001960442103852403
1998,Permanent job,66 and older,female,0.001413760603204524,18147,0.0008670791025566451,0.001960442103852403
1998,Temporary job,18-29 y.,male,0.36057201225740554,18147,0.3535857404342724,0.3675582840805387
1998,Temporary job,18-29 y.,female,0.25842696629213485,18147,0.2520575515185639,0.2647963810657058
1998,Temporary job,30-45 y.,female,0.14402451481103168,18147,0.13891590744104765,0.1491331221810157
1998,Temporary job,30-45 y.,male,0.12972420837589377,18147,0.1248355170363233,0.13461289971546425
1998,Temporary job,46-65 y.,female,0.056179775280898875,18147,0.05282943984901953,0.05953011071277822
1998,Temporary job,46-65 y.,male,0.049029622063329927,18147,0.045887909714194784,0.05217133441246507
1998,Temporary job,66 and older,male,0.0020429009193054137,18147,0.001385949523612204,0.0026998523149986235
1999,Permanent job,30-45 y.,male,0.28599033816425123,17396,0.27927513592335323,0.29270554040514923
1999,Permanent job,30-45 y.,female,0.21835748792270532,17396,0.21221817878320512,0.22449679706220552
1999,Permanent job,46-65 y.,male,0.17439613526570047,17396,0.1687573486695859,0.18003492186181505
1999,Permanent job,46-65 y.,female,0.14009661835748793,17396,0.13493875269698036,0.1452544840179955
1999,Permanent job,18-29 y.,male,0.09049919484702093,17396,0.08623580277286728,0.09476258692117458
1999,Permanent job,18-29 y.,female,0.08727858293075684,17396,0.08308433271309619,0.09147283314841749
1999,Permanent job,66 and older,male,0.0022544283413848632,17396,0.0015496387297963899,0.0029592179529733366
1999,Permanent job,66 and older,female,0.0011272141706924316,17396,0.0006285712217596463,0.001625857119625217
1999,Temporary job,18-29 y.,male,0.33867924528301885,17396,0.3316463890452459,0.3457121015207918
