year,bula_h,pgisced97,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Upper Secondary Level,Permanent job,1.0,109,5059,1.0,1.0
1985,Hamburg,Upper Secondary Level,Permanent job,1.0,73,5059,1.0,1.0
1985,Lower Saxony,Lower Secondary Level,Permanent job,1.0,75,5059,1.0,1.0
1985,Lower Saxony,Upper Secondary Level,Permanent job,1.0,258,5059,1.0,1.0
1985,Lower Saxony,First Stage of Tertiary Education,Permanent job,1.0,40,5059,1.0,1.0
1985,Lower Saxony,Second Stage of Tertiary Education,Permanent job,1.0,46,5059,1.0,1.0
1985,North Rhine-Westphalia,Primary Level,Permanent job,1.0,112,5059,1.0,1.0
1985,North Rhine-Westphalia,Lower Secondary Level,Permanent job,0.7304809935646746,262,5059,0.7296908521041824,0.7312711350251667
1985,North Rhine-Westphalia,Lower Secondary Level,Temporary job,0.26951900643532545,78,5059,0.26872886497483334,0.27030914789581756
1985,North Rhine-Westphalia,Upper Secondary Level,Permanent job,0.9216310413134161,669,5059,0.9213439453627839,0.9219181372640484
1985,North Rhine-Westphalia,Upper Secondary Level,Temporary job,0.07836895868658383,59,5059,0.07808186273595154,0.07865605463721613
1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Permanent job,1.0,46,5059,1.0,1.0
1985,North Rhine-Westphalia,First Stage of Tertiary Education,Permanent job,1.0,81,5059,1.0,1.0
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Permanent job,1.0,133,5059,1.0,1.0
1985,Hesse,Primary Level,Permanent job,1.0,42,5059,1.0,1.0
1985,Hesse,Lower Secondary Level,Permanent job,0.7509266919888429,106,5059,0.7495611552850524,0.7522922286926333
1985,Hesse,Lower Secondary Level,Temporary job,0.2490733080111573,31,5059,0.2477077713073668,0.25043884471494776
1985,Hesse,Upper Secondary Level,Permanent job,1.0,275,5059,1.0,1.0
1985,Hesse,First Stage of Tertiary Education,Permanent job,1.0,31,5059,1.0,1.0
1985,Hesse,Second Stage of Tertiary Education,Permanent job,1.0,41,5059,1.0,1.0
1985,"Rhineland-Palatinate, Saarland",Primary Level,Permanent job,1.0,33,5059,1.0,1.0
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Permanent job,0.5893851749304463,54,5059,0.5877907872723884,0.5909795625885041
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Temporary job,0.41061482506955377,31,5059,0.40902043741149596,0.4122092127276116
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Permanent job,1.0,183,5059,1.0,1.0
1985,Baden-Wuerttemberg,Primary Level,Permanent job,1.0,133,5059,1.0,1.0
1985,Baden-Wuerttemberg,Lower Secondary Level,Permanent job,0.834568707359388,270,5059,0.8338120400093582,0.8353253747094179
1985,Baden-Wuerttemberg,Lower Secondary Level,Temporary job,0.1654312926406119,44,5059,0.16467462529058202,0.1661879599906418
1985,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,0.9243553388519965,497,5059,0.9239931718762316,0.9247175058277614
1985,Baden-Wuerttemberg,Upper Secondary Level,Temporary job,0.07564466114800356,45,5059,0.07528249417223865,0.07600682812376847
1985,Baden-Wuerttemberg,First Stage of Tertiary Education,Permanent job,1.0,56,5059,1.0,1.0
1985,Baden-Wuerttemberg,Second Stage of Tertiary Education,Permanent job,1.0,68,5059,1.0,1.0
1985,Bavaria,Primary Level,Permanent job,1.0,44,5059,1.0,1.0
1985,Bavaria,Lower Secondary Level,Permanent job,0.7418465728542828,188,5059,0.7409489816593284,0.7427441640492372
1985,Bavaria,Lower Secondary Level,Temporary job,0.25815342714571715,50,5059,0.2572558359507628,0.2590510183406715
1985,Bavaria,Upper Secondary Level,Permanent job,0.8973586415642864,478,5059,0.8969841787435952,0.8977331043849776
1985,Bavaria,Upper Secondary Level,Temporary job,0.10264135843571366,54,5059,0.10226689561502247,0.10301582125640485
1985,Bavaria,First Stage of Tertiary Education,Permanent job,1.0,63,5059,1.0,1.0
1985,Bavaria,Second Stage of Tertiary Education,Permanent job,1.0,77,5059,1.0,1.0
1985,Berlin,Lower Secondary Level,Permanent job,1.0,35,5059,1.0,1.0
1985,Berlin,Upper Secondary Level,Permanent job,1.0,89,5059,1.0,1.0
1986,Lower Saxony,Upper Secondary Level,Permanent job,1.0,34,319,1.0,1.0
1986,North Rhine-Westphalia,Upper Secondary Level,Permanent job,1.0,83,319,1.0,1.0
1986,Hesse,Upper Secondary Level,Permanent job,1.0,31,319,1.0,1.0
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Permanent job,1.0,31,319,1.0,1.0
1986,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,83,319,1.0,1.0
1986,Bavaria,Upper Secondary Level,Permanent job,1.0,57,319,1.0,1.0
1987,Lower Saxony,Upper Secondary Level,Permanent job,1.0,50,468,1.0,1.0
1987,North Rhine-Westphalia,Lower Secondary Level,Temporary job,1.0,33,468,1.0,1.0
1987,North Rhine-Westphalia,Upper Secondary Level,Permanent job,1.0,111,468,1.0,1.0
1987,Hesse,Upper Secondary Level,Permanent job,1.0,37,468,1.0,1.0
1987,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Permanent job,1.0,32,468,1.0,1.0
1987,Baden-Wuerttemberg,Lower Secondary Level,Permanent job,1.0,39,468,1.0,1.0
1987,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,70,468,1.0,1.0
1987,Bavaria,Upper Secondary Level,Permanent job,1.0,96,468,1.0,1.0
1988,Schleswig-Holstein,Upper Secondary Level,Permanent job,1.0,92,4585,1.0,1.0
1988,Hamburg,Upper Secondary Level,Permanent job,1.0,54,4585,1.0,1.0
1988,Lower Saxony,Lower Secondary Level,Permanent job,0.7000510635526042,73,4585,0.6987449332578659,0.7013571938473424
1988,Lower Saxony,Lower Secondary Level,Temporary job,0.2999489364473958,32,4585,0.2986428061526576,0.301255066742134
1988,Lower Saxony,Upper Secondary Level,Permanent job,0.8782576912875032,254,4585,0.8777464327574099,0.8787689498175965
1988,Lower Saxony,Upper Secondary Level,Temporary job,0.12174230871249683,38,4585,0.1212310501824036,0.12225356724259007
1988,Lower Saxony,First Stage of Tertiary Education,Permanent job,1.0,40,4585,1.0,1.0
1988,Lower Saxony,Second Stage of Tertiary Education,Permanent job,1.0,52,4585,1.0,1.0
1988,North Rhine-Westphalia,Primary Level,Permanent job,1.0,85,4585,1.0,1.0
1988,North Rhine-Westphalia,Lower Secondary Level,Permanent job,0.7450385609434413,214,4585,0.7441936543879188,0.7458834674989638
1988,North Rhine-Westphalia,Lower Secondary Level,Temporary job,0.2549614390565586,67,4585,0.25411653250103616,0.25580634561208104
1988,North Rhine-Westphalia,Upper Secondary Level,Permanent job,0.9291320600199352,633,4585,0.9288717145163281,0.9293924055235423
1988,North Rhine-Westphalia,Upper Secondary Level,Temporary job,0.07086793998006478,58,4585,0.07060759447645772,0.07112828548367185
