"plb0050","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","17-34","maennlich","1076","","",""
"Ja","2001","17-34","weiblich","798","0.422198496499827","0.399734355615535","0.444662637384119"
"Ja","2001","35-65","maennlich","2639","","",""
"Ja","2001","35-65","weiblich","1852","","",""
"Ja","2001","66 +","maennlich","9","0.146040121695606","0.0608418176764023","0.231238425714809"
"Ja","2001","66 +","weiblich","3","","",""
"Nein","2001","17-34","maennlich","1104","","",""
"Nein","2001","17-34","weiblich","1059","","",""
"Nein","2001","35-65","maennlich","1958","","",""
"Nein","2001","35-65","weiblich","1870","","",""
"Nein","2001","66 +","maennlich","57","0.853959878304394","0.768761574285191","0.939158182323598"
"Nein","2001","66 +","weiblich","22","","",""
"Ja","2002","17-34","maennlich","","","",""
"Ja","2002","17-34","weiblich","","","",""
"Ja","2002","35-65","maennlich","","","",""
"Ja","2002","35-65","weiblich","","","",""
"Ja","2002","66 +","maennlich","","","",""
"Ja","2002","66 +","weiblich","","","",""
"Nein","2002","17-34","maennlich","","","",""
"Nein","2002","17-34","weiblich","","","",""
"Nein","2002","35-65","maennlich","","","",""
"Nein","2002","35-65","weiblich","","","",""
"Nein","2002","66 +","maennlich","","","",""
"Nein","2002","66 +","weiblich","","","",""
"Ja","2003","17-34","maennlich","","","",""
"Ja","2003","17-34","weiblich","","","",""
"Ja","2003","35-65","maennlich","","","",""
"Ja","2003","35-65","weiblich","","","",""
"Ja","2003","66 +","maennlich","","","",""
"Ja","2003","66 +","weiblich","","","",""
"Nein","2003","17-34","maennlich","","","",""
"Nein","2003","17-34","weiblich","","","",""
"Nein","2003","35-65","maennlich","","","",""
"Nein","2003","35-65","weiblich","","","",""
"Nein","2003","66 +","maennlich","","","",""
"Nein","2003","66 +","weiblich","","","",""
"Ja","2004","17-34","maennlich","","","",""
"Ja","2004","17-34","weiblich","","","",""
"Ja","2004","35-65","maennlich","","","",""
"Ja","2004","35-65","weiblich","","","",""
"Ja","2004","66 +","maennlich","","","",""
"Ja","2004","66 +","weiblich","","","",""
"Nein","2004","17-34","maennlich","","","",""
"Nein","2004","17-34","weiblich","","","",""
"Nein","2004","35-65","maennlich","","","",""
"Nein","2004","35-65","weiblich","","","",""
"Nein","2004","66 +","maennlich","","","",""
"Nein","2004","66 +","weiblich","","","",""
"Ja","2005","17-34","maennlich","","","",""
"Ja","2005","17-34","weiblich","","","",""
"Ja","2005","35-65","maennlich","","","",""
"Ja","2005","35-65","weiblich","","","",""
"Ja","2005","66 +","maennlich","","","",""
"Ja","2005","66 +","weiblich","","","",""
"Nein","2005","17-34","maennlich","","","",""
"Nein","2005","17-34","weiblich","","","",""
"Nein","2005","35-65","maennlich","","","",""
"Nein","2005","35-65","weiblich","","","",""
"Nein","2005","66 +","maennlich","","","",""
"Nein","2005","66 +","weiblich","","","",""
"Ja","2006","17-34","maennlich","725","0.443782398873605","0.41946857258104","0.46809622516617"
"Ja","2006","17-34","weiblich","679","0.473349852097188","0.448216482458495","0.498483221735881"
"Ja","2006","35-65","maennlich","2623","","",""
"Ja","2006","35-65","weiblich","2124","","",""
"Ja","2006","66 +","maennlich","16","","",""
"Ja","2006","66 +","weiblich","8","0.140162270264102","0.0523214714548764","0.228003069073329"
"Nein","2006","17-34","maennlich","879","0.556217601126395","0.53190377483383","0.58053142741896"
"Nein","2006","17-34","weiblich","837","0.526650147902812","0.501516778264119","0.551783517541505"
"Nein","2006","35-65","maennlich","2024","","",""
"Nein","2006","35-65","weiblich","2029","","",""
"Nein","2006","66 +","maennlich","107","","",""
"Nein","2006","66 +","weiblich","52","0.859837729735898","0.771996930926672","0.947678528545124"
"Ja","2007","17-34","maennlich","","","",""
"Ja","2007","17-34","weiblich","","","",""
"Ja","2007","35-65","maennlich","","","",""
"Ja","2007","35-65","weiblich","","","",""
"Ja","2007","66 +","maennlich","","","",""
"Ja","2007","66 +","weiblich","","","",""
