year,migback,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,No migration background,Yes,0.5160557492880531,5294,12447,0.5158801312237379,0.5162313673523683
2001,No migration background,No,0.4839442507119469,5108,12447,0.4837686326476317,0.4841198687762621
2001,Direct migration background,Yes,0.5110082142726032,853,12447,0.5105460276361299,0.5114704009090766
2001,Direct migration background,No,0.4889917857273969,738,12447,0.4885295990909235,0.4894539723638702
2001,Indirect migration background,Yes,0.49988815551394034,230,12447,0.4989619176777513,0.5008143933501293
2001,Indirect migration background,No,0.5001118444860597,224,12447,0.49918560664987066,0.5010380823222488
2006,No migration background,Yes,0.5067467008387972,5303,12103,0.5065677175502744,0.5069256841273201
2006,No migration background,No,0.4932532991612027,5095,12103,0.4930743158726799,0.4934322824497255
2006,Direct migration background,Yes,0.48770989159423034,634,12103,0.4872456791185243,0.4881741040699364
2006,Direct migration background,No,0.5122901084057696,593,12103,0.5118258959300636,0.5127543208814757
2006,Indirect migration background,Yes,0.5098388155894992,238,12103,0.5090702380962022,0.5106073930827961
2006,Indirect migration background,No,0.4901611844105009,240,12103,0.4893926069172039,0.4909297619037979
2011,No migration background,Yes,0.5394214114575201,5149,11102,0.5392345274929631,0.5396082954220771
2011,No migration background,No,0.4605785885424799,4460,11102,0.46039170457792283,0.460765472507037
2011,Direct migration background,Yes,0.5077764382525326,507,11102,0.5072704616640488,0.5082824148410164
2011,Direct migration background,No,0.49222356174746745,483,11102,0.4917175851589836,0.4927295383359513
2011,Indirect migration background,Yes,0.5451821646982768,276,11102,0.544410683286453,0.5459536461101007
2011,Indirect migration background,No,0.4548178353017232,227,11102,0.45404635388989933,0.4555893167135471
2016,No migration background,Yes,0.5538776167681915,5504,13889,0.553698056257682,0.554057177278701
2016,No migration background,No,0.4461223832318085,4529,13889,0.445942822721299,0.44630194374231796
2016,Direct migration background,Yes,0.43675185196334626,1290,13889,0.43634454200221645,0.43715916192447607
2016,Direct migration background,No,0.5632481480366538,1618,13889,0.562840838075524,0.5636554579977836
2016,Indirect migration background,Yes,0.5757844659140584,494,13889,0.5751513254397299,0.5764176063883869
2016,Indirect migration background,No,0.4242155340859417,454,13889,0.4235823936116132,0.4248486745602702
2019,No migration background,Yes,0.5464660803093006,5963,15637,0.5462877976856381,0.546644362932963
2019,No migration background,No,0.4535339196906994,6188,15637,0.4533556370670369,0.4537122023143619
2019,Direct migration background,Yes,0.4875221647067648,1130,15637,0.4871249505666556,0.487919378846874
2019,Direct migration background,No,0.5124778352932353,1308,15637,0.5120806211531261,0.5128750494333445
2019,Indirect migration background,Yes,0.5682115442452825,523,15637,0.5676283642465665,0.5687947242439986
2019,Indirect migration background,No,0.43178845575471747,525,15637,0.4312052757560015,0.43237163575343346
