year,age_gr,pgisced97,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Pre-primary Level,Earn money,0.23591,59,166,0.17113,0.30069
1994,17-29 y.,Pre-primary Level,Both equally,0.47960,107,166,0.40337,0.55583
1994,17-29 y.,Lower Secondary Level,Earn money,0.15671,118,231,0.10973,0.20370
1994,17-29 y.,Lower Secondary Level,Both equally,0.15942,113,231,0.11211,0.20673
1994,17-29 y.,Upper Secondary Level,Earn money,0.11333,188,428,0.08326,0.14340
1994,17-29 y.,Upper Secondary Level,Both equally,0.14767,240,428,0.11402,0.18132
1994,17-29 y.,Post-secondary Non-tertiary Level,Both equally,0.15679,33,33,0.03081,0.28277
1994,30-45 y.,Lower Secondary Level,Earn money,0.09551,44,91,0.03479,0.15624
1994,30-45 y.,Lower Secondary Level,Both equally,0.11009,47,91,0.04542,0.17476
1994,30-45 y.,Upper Secondary Level,Earn money,0.07301,180,362,0.04617,0.09985
1994,30-45 y.,Upper Secondary Level,Both equally,0.08081,182,362,0.05269,0.10892
1994,30-45 y.,Second Stage of Tertiary Education,Both equally,0.04941,47,47,-0.01322,0.11204
1994,46-65 y.,Lower Secondary Level,Earn money,0.03386,33,33,-0.02881,0.09654
1994,46-65 y.,Upper Secondary Level,Earn money,0.03850,76,173,0.00975,0.06726
1994,46-65 y.,Upper Secondary Level,Both equally,0.04031,97,173,0.01092,0.06971
1995,17-29 y.,Pre-primary Level,Earn money,0.22675,73,210,0.16998,0.28352
1995,17-29 y.,Pre-primary Level,Both equally,0.50585,137,210,0.43807,0.57363
1995,17-29 y.,Lower Secondary Level,Earn money,0.14026,96,205,0.09261,0.18791
1995,17-29 y.,Lower Secondary Level,Both equally,0.13130,109,205,0.08495,0.17764
1995,17-29 y.,Upper Secondary Level,Earn money,0.10671,179,426,0.07736,0.13607
1995,17-29 y.,Upper Secondary Level,Both equally,0.16108,247,426,0.12613,0.19603
1995,17-29 y.,Post-secondary Non-tertiary Level,Both equally,0.19979,35,35,0.06539,0.33420
1995,30-45 y.,Lower Secondary Level,Earn money,0.15826,61,105,0.08811,0.22841
1995,30-45 y.,Lower Secondary Level,Both equally,0.11684,44,105,0.05510,0.17858
1995,30-45 y.,Upper Secondary Level,Earn money,0.05799,176,397,0.03497,0.08101
1995,30-45 y.,Upper Secondary Level,Both equally,0.09177,221,397,0.06334,0.12021
1995,30-45 y.,Second Stage of Tertiary Education,Both equally,0.08111,60,60,0.01145,0.15078
1995,46-65 y.,Lower Secondary Level,Earn money,0.03950,41,41,-0.02086,0.09986
1995,46-65 y.,Upper Secondary Level,Earn money,0.02768,70,172,0.00309,0.05227
1995,46-65 y.,Upper Secondary Level,Both equally,0.04188,102,172,0.01185,0.07190
1996,17-29 y.,Pre-primary Level,Earn money,0.26091,75,218,0.20248,0.31933
1996,17-29 y.,Pre-primary Level,Both equally,0.48416,143,218,0.41767,0.55066
1996,17-29 y.,Lower Secondary Level,Earn money,0.13507,95,200,0.08758,0.18256
1996,17-29 y.,Lower Secondary Level,Both equally,0.15150,105,200,0.10168,0.20131
1996,17-29 y.,Upper Secondary Level,Earn money,0.10507,164,401,0.07502,0.13512
1996,17-29 y.,Upper Secondary Level,Both equally,0.17269,237,401,0.13565,0.20974
1996,17-29 y.,Post-secondary Non-tertiary Level,Both equally,0.24336,38,38,0.10509,0.38163
1996,30-45 y.,Lower Secondary Level,Earn money,0.12937,57,101,0.06359,0.19515
1996,30-45 y.,Lower Secondary Level,Both equally,0.12129,44,101,0.05730,0.18528
1996,30-45 y.,Upper Secondary Level,Earn money,0.06683,185,402,0.04239,0.09128
1996,30-45 y.,Upper Secondary Level,Both equally,0.08694,217,402,0.05936,0.11451
1996,30-45 y.,Second Stage of Tertiary Education,Both equally,0.07886,65,65,0.01283,0.14489
1996,46-65 y.,Upper Secondary Level,Earn money,0.04513,100,183,0.01497,0.07528
1996,46-65 y.,Upper Secondary Level,Both equally,0.03584,83,183,0.00883,0.06284
1996,46-65 y.,Second Stage of Tertiary Education,Both equally,0.05993,41,41,-0.01363,0.13349
1997,17-29 y.,Pre-primary Level,Earn money,0.20953,71,237,0.15761,0.26146
1997,17-29 y.,Pre-primary Level,Both equally,0.55733,166,237,0.49396,0.62070
1997,17-29 y.,Lower Secondary Level,Earn money,0.13099,89,204,0.08458,0.17740
1997,17-29 y.,Lower Secondary Level,Both equally,0.15966,115,204,0.10927,0.21005
1997,17-29 y.,Upper Secondary Level,Earn money,0.11649,168,374,0.08393,0.14905
1997,17-29 y.,Upper Secondary Level,Both equally,0.16385,206,374,0.12629,0.20142
1997,30-45 y.,Lower Secondary Level,Earn money,0.09845,53,106,0.04147,0.15544
1997,30-45 y.,Lower Secondary Level,Both equally,0.13330,53,106,0.06828,0.19831
1997,30-45 y.,Upper Secondary Level,Earn money,0.07158,169,422,0.04695,0.09620
1997,30-45 y.,Upper Secondary Level,Both equally,0.10498,253,422,0.07570,0.13426
1997,30-45 y.,Second Stage of Tertiary Education,Both equally,0.05996,51,51,-0.00585,0.12576
1997,46-65 y.,Lower Secondary Level,Earn money,0.05216,52,52,-0.00887,0.11318
1997,46-65 y.,Upper Secondary Level,Earn money,0.03704,82,186,0.00982,0.06425
1997,46-65 y.,Upper Secondary Level,Both equally,0.05362,104,186,0.02116,0.08608
1998,17-29 y.,Pre-primary Level,Earn money,0.26433,87,232,0.20746,0.32120
1998,17-29 y.,Pre-primary Level,Both equally,0.43577,145,232,0.37182,0.49971
1998,17-29 y.,Lower Secondary Level,Earn money,0.13602,95,219,0.09051,0.18153
1998,17-29 y.,Lower Secondary Level,Both equally,0.16443,124,219,0.11523,0.21364
1998,17-29 y.,Upper Secondary Level,Earn money,0.12014,159,381,0.08745,0.15283
1998,17-29 y.,Upper Secondary Level,Both equally,0.16363,222,381,0.12644,0.20083
1998,30-45 y.,Lower Secondary Level,Earn money,0.12100,61,106,0.05862,0.18338
1998,30-45 y.,Lower Secondary Level,Both equally,0.10768,45,106,0.04839,0.16697
1998,30-45 y.,Upper Secondary Level,Earn money,0.07131,197,441,0.04727,0.09536
1998,30-45 y.,Upper Secondary Level,Both equally,0.09530,244,441,0.06787,0.12274
1998,30-45 y.,Second Stage of Tertiary Education,Both equally,0.06271,57,57,-0.00079,0.12621
1998,46-65 y.,Lower Secondary Level,Earn money,0.03840,38,38,-0.02352,0.10032
1998,46-65 y.,Upper Secondary Level,Earn money,0.03909,93,191,0.01153,0.06665
1998,46-65 y.,Upper Secondary Level,Both equally,0.03653,98,191,0.00985,0.06320
1998,46-65 y.,Second Stage of Tertiary Education,Both equally,0.05347,42,42,-0.01539,0.12233
1999,17-29 y.,Pre-primary Level,Earn money,0.24475,78,223,0.18820,0.30131
1999,17-29 y.,Pre-primary Level,Both equally,0.42347,145,223,0.35847,0.48847
1999,17-29 y.,Lower Secondary Level,Earn money,0.13977,95,196,0.09110,0.18843
1999,17-29 y.,Lower Secondary Level,Both equally,0.15112,101,196,0.10085,0.20139
1999,17-29 y.,Upper Secondary Level,Earn money,0.09989,141,356,0.06870,0.13109
1999,17-29 y.,Upper Secondary Level,Both equally,0.16973,215,356,0.13068,0.20878
1999,30-45 y.,Lower Secondary Level,Earn money,0.10517,50,97,0.04380,0.16653
1999,30-45 y.,Lower Secondary Level,Both equally,0.09792,47,97,0.03847,0.15738
1999,30-45 y.,Upper Secondary Level,Earn money,0.05799,145,367,0.03404,0.08193
1999,30-45 y.,Upper Secondary Level,Both equally,0.08753,222,367,0.05858,0.11649
1999,30-45 y.,Post-secondary Non-tertiary Level,Both equally,0.11436,32,32,0.00233,0.22640
1999,30-45 y.,Second Stage of Tertiary Education,Both equally,0.06278,57,57,-0.00075,0.12631
1999,46-65 y.,Upper Secondary Level,Earn money,0.01927,57,161,-0.00203,0.04057
1999,46-65 y.,Upper Secondary Level,Both equally,0.03816,104,161,0.00848,0.06785
2000,17-29 y.,Pre-primary Level,Earn money,0.25733,131,342,0.21093,0.30373
2000,17-29 y.,Pre-primary Level,Both equally,0.42551,211,342,0.37303,0.47799
2000,17-29 y.,Lower Secondary Level,Earn money,0.13668,143,325,0.09927,0.17408
2000,17-29 y.,Lower Secondary Level,Both equally,0.17827,182,325,0.13659,0.21994
2000,17-29 y.,Upper Secondary Level,Earn money,0.11463,258,625,0.08964,0.13963
2000,17-29 y.,Upper Secondary Level,Both equally,0.15558,367,625,0.12714,0.18402
2000,17-29 y.,Post-secondary Non-tertiary Level,Both equally,0.12988,44,44,0.02940,0.23036
2000,30-45 y.,Lower Secondary Level,Earn money,0.09375,65,121,0.04160,0.14591
2000,30-45 y.,Lower Secondary Level,Both equally,0.09476,56,121,0.04235,0.14716
2000,30-45 y.,Upper Secondary Level,Earn money,0.06144,312,745,0.04419,0.07870
2000,30-45 y.,Upper Secondary Level,Other reasons,0.01142,53,745,0.00378,0.01905
2000,30-45 y.,Upper Secondary Level,Both equally,0.07973,380,745,0.06026,0.09919
2000,30-45 y.,Post-secondary Non-tertiary Level,Earn money,0.06242,34,91,0.01244,0.11241
2000,30-45 y.,Post-secondary Non-tertiary Level,Both equally,0.09981,57,91,0.03788,0.16174
2000,30-45 y.,First Stage of Tertiary Education,Both equally,0.06039,54,54,-0.00374,0.12452
2000,30-45 y.,Second Stage of Tertiary Education,Both equally,0.07054,120,120,0.02453,0.11654
2000,46-65 y.,Lower Secondary Level,Earn money,0.05475,50,50,-0.00895,0.11845
2000,46-65 y.,Upper Secondary Level,Earn money,0.02316,122,318,0.00660,0.03972
2000,46-65 y.,Upper Secondary Level,Other reasons,0.00881,35,318,-0.00148,0.01909
2000,46-65 y.,Upper Secondary Level,Both equally,0.03348,161,318,0.01368,0.05329
2000,46-65 y.,Second Stage of Tertiary Education,Both equally,0.02703,47,47,-0.01983,0.07390
2001,17-29 y.,Pre-primary Level,Earn money,0.28422,146,382,0.23893,0.32951
2001,17-29 y.,Pre-primary Level,Both equally,0.40576,236,382,0.35645,0.45507
2001,17-29 y.,Lower Secondary Level,Earn money,0.14597,134,280,0.10454,0.18740
2001,17-29 y.,Lower Secondary Level,Both equally,0.14549,146,280,0.10411,0.18686
2001,17-29 y.,Upper Secondary Level,Earn money,0.10698,191,526,0.08054,0.13342
2001,17-29 y.,Upper Secondary Level,Both equally,0.15794,335,526,0.12674,0.18913
2001,17-29 y.,Post-secondary Non-tertiary Level,Both equally,0.11845,37,37,0.01289,0.22401
