year,sampreg,plb0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,West,Earn money,0.30008197729394065,546,1998,0.2997790163674245,0.3003849382204568
1994,West,Other reasons,0.06725669314410791,105,1998,0.0670911192353825,0.06742226705283333
1994,West,Both equally,0.39025951235935663,696,1998,0.38993704011427327,0.39058198460444
1994,East,Earn money,0.11716052127267221,310,1998,0.11694791572336595,0.11737312682197847
1994,East,Both equally,0.1252412959299226,341,1998,0.12502248904250504,0.12546010281734019
1995,West,Earn money,0.2997836088903829,622,2128,0.29948396388187115,0.3000832538988947
1995,West,Other reasons,0.06123500670588763,109,2128,0.06107819975952463,0.061391813652250625
1995,West,Both equally,0.4366609138745048,804,2128,0.4363365413419393,0.4369852864070703
1995,East,Earn money,0.07929439936481744,245,2128,0.07911768631638137,0.07947111241325351
1995,East,Both equally,0.12302607116440727,348,2128,0.12281124909874475,0.12324089323006979
1996,West,Earn money,0.29130329141728734,580,2118,0.29101005103040045,0.2915965318041742
1996,West,Other reasons,0.06579301327692236,106,2118,0.06563300873007055,0.06595301782377416
1996,West,Both equally,0.4274921661223248,799,2118,0.42717288320923635,0.4278114490354133
1996,East,Earn money,0.10196661219399553,302,2118,0.10177131494895165,0.1021619094390394
1996,East,Both equally,0.11344491698946989,331,2118,0.11324024129954703,0.11364959267939274
1997,West,Earn money,0.2783057485577155,568,2106,0.27801955646934695,0.27859194064608406
1997,West,Other reasons,0.0510116819589699,85,2106,0.0508711790981673,0.051152184819772496
1997,West,Both equally,0.45121575703360334,823,2106,0.4508979870602985,0.4515335270069082
1997,East,Earn money,0.0994634529975386,279,2106,0.09927233466408487,0.09965457133099233
1997,East,Both equally,0.12000335945217275,351,2106,0.11979584080793748,0.12021087809640801
1998,West,Earn money,0.3101778677818038,616,2203,0.30987532326767003,0.31048041229593754
1998,West,Other reasons,0.06263568066443949,113,2203,0.062477198487890934,0.06279416284098804
1998,West,Both equally,0.400443782911614,799,2203,0.40012330282418845,0.4007642629990395
1998,East,Earn money,0.10293918293019702,302,2203,0.10274042859076761,0.10313793726962643
1998,East,Both equally,0.12380348571194576,373,2203,0.12358806745168917,0.12401890397220235
1999,West,Earn money,0.2941730334319472,508,1910,0.29385787151063353,0.2944881953532608
1999,West,Other reasons,0.04506205437363545,73,1910,0.044918579366294065,0.04520552938097684
1999,West,Both equally,0.42859151399084566,719,1910,0.42824923652066965,0.4289337914610217
1999,East,Earn money,0.08277632000321332,238,1910,0.08258574151687594,0.0829668984895507
1999,East,Both equally,0.14939707820035827,372,1910,0.14915052100931317,0.14964363539140338
2000,West,Earn money,0.28558112676765807,889,3332,0.2852682762090401,0.285893977326276
2000,West,Other reasons,0.0662152714728792,204,3332,0.0660430456813689,0.0663874972643895
2000,West,Both equally,0.4142240766410941,1287,3332,0.41388290010799056,0.4145652531741977
2000,East,Earn money,0.1020922343894259,425,3332,0.10188252979666125,0.10230193898219055
2000,East,Both equally,0.13188729072894267,527,3332,0.13165292977638576,0.13212165168149959
2001,West,Earn money,0.29435134049990724,761,2983,0.2940367123716907,0.2946659686281238
2001,West,Other reasons,0.05118593065695964,139,2983,0.05103379320540439,0.051338068108514885
2001,West,Both equally,0.42281996965791324,1199,2983,0.42247893095264416,0.4231610083631823
2001,East,Earn money,0.09841076786107537,386,2983,0.09820513337717145,0.0986164023449793
2001,East,Both equally,0.1332319913241445,498,2983,0.13299739242301425,0.13346659022527477
2003,West,Earn money,0.3263569437270584,857,3077,0.3260483823292819,0.32666550512483494
2003,West,Other reasons,0.03567994049195831,126,3077,0.03555787218899876,0.03580200879491786
2003,West,Both equally,0.39335578151233497,1167,3077,0.39303431181145687,0.39367725121321306
2003,East,Earn money,0.11172867778806156,434,3077,0.11152136055880556,0.11193599501731756
2003,East,Both equally,0.13287865648058683,493,3077,0.13265527467448227,0.1331020382866914
2005,West,Earn money,0.30015661308995095,684,2560,0.29984602771880164,0.30046719846110026
2005,West,Other reasons,0.030357620154167514,89,2560,0.030241355886006693,0.030473884422328335
2005,West,Both equally,0.4006494645988239,964,2560,0.40031739483086354,0.40098153436678424
2005,East,Earn money,0.11083042020332673,347,2560,0.11061769037258178,0.11104315003407168
2005,East,Both equally,0.15800588195373097,476,2560,0.15775871081264686,0.15825305309481508
2007,West,Earn money,0.31193447786844175,689,2539,0.311623216678289,0.3122457390585945
2007,West,Other reasons,0.03840544241025656,94,2539,0.03827632917307225,0.03853455564744088
2007,West,Both equally,0.41964811470976043,1037,2539,0.4193165512035323,0.4199796782159886
2007,East,Earn money,0.08825641254866005,292,2539,0.08806582791597652,0.08844699718134359
2007,East,Both equally,0.1417555524628813,427,2539,0.14152120841557686,0.14198989651018573
2009,West,Earn money,0.3436809567537633,607,2040,0.3433468213910949,0.3440150921164317
2009,West,Other reasons,0.04207073113957009,83,2040,0.04192949561247102,0.04221196666666916
2009,West,Both equally,0.39212221967836625,762,2040,0.39177873603216484,0.39246570332456765
2009,East,Earn money,0.10611836793506432,271,2040,0.10590168610673972,0.10633504976338892
2009,East,Both equally,0.11600772449323607,317,2040,0.11578242776087903,0.1162330212255931
2011,West,Earn money,0.31359274611504107,425,1598,0.3131381631824688,0.31404732904761334
2011,West,Other reasons,0.04713035069799891,67,1598,0.04692271296796241,0.04733798842803541
2011,West,Both equally,0.4298038628450701,684,1598,0.4293188128748446,0.43028891281529563
2011,East,Earn money,0.1131309319353848,198,1598,0.11282057630687888,0.11344128756389073
2011,East,Both equally,0.09634210840650517,224,1598,0.09605300761167201,0.09663120920133833
2013,West,Earn money,0.30680640770270984,570,1949,0.30641000605125496,0.3072028093541647
2013,West,Other reasons,0.07899268000743043,130,1949,0.07876083329728861,0.07922452671757224
2013,West,Both equally,0.4222843949370647,822,1949,0.4218598383941097,0.42270895148001975
2013,East,Earn money,0.10830572664851386,217,1949,0.10803860464002171,0.108572848657006
2013,East,Both equally,0.08361079070428115,210,1949,0.0833728618457248,0.0838487195628375
2017,West,Earn money,0.2986434262528898,1018,3409,0.29831410329985514,0.2989727492059245
2017,West,Other reasons,0.07327330009984583,258,3409,0.07308578994213429,0.07346081025755737
2017,West,Both equally,0.4488370139619366,1457,3409,0.448479114999184,0.44919491292468916
2017,East,Earn money,0.07276217292508523,268,3409,0.07257526639036124,0.07294907945980922
2017,East,Other reasons,0.007986337507458622,35,3409,0.007922289040069466,0.008050385974847777
2017,East,Both equally,0.09849774925278391,373,3409,0.09828332562159836,0.09871217288396947
