year,migback,pgisced97,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Lower Secondary Level,Comp. time,0.05324,138,481,0.03316,0.07333
1984,No migration background,Lower Secondary Level,Some of both,0.01823,46,481,0.00626,0.03020
1984,No migration background,Lower Secondary Level,Paid,0.07785,201,481,0.05388,0.10182
1984,No migration background,Lower Secondary Level,Not compensated,0.03816,96,481,0.02102,0.05530
1984,No migration background,Upper Secondary Level,Comp. time,0.12343,604,1915,0.10869,0.13816
1984,No migration background,Upper Secondary Level,Some of both,0.04512,226,1915,0.03582,0.05442
1984,No migration background,Upper Secondary Level,Paid,0.14828,712,1915,0.13235,0.16420
1984,No migration background,Upper Secondary Level,Not compensated,0.07683,373,1915,0.06490,0.08876
1984,No migration background,Post-secondary Non-tertiary Level,Not compensated,0.18386,34,34,0.05169,0.31602
1984,No migration background,First Stage of Tertiary Education,Comp. time,0.15387,99,324,0.11452,0.19323
1984,No migration background,First Stage of Tertiary Education,Some of both,0.07349,49,324,0.04503,0.10194
1984,No migration background,First Stage of Tertiary Education,Paid,0.11695,75,324,0.08190,0.15200
1984,No migration background,First Stage of Tertiary Education,Not compensated,0.16257,101,324,0.12233,0.20281
1984,No migration background,Second Stage of Tertiary Education,Comp. time,0.08689,58,379,0.05849,0.11529
1984,No migration background,Second Stage of Tertiary Education,Some of both,0.06326,46,379,0.03872,0.08780
1984,No migration background,Second Stage of Tertiary Education,Paid,0.07364,51,379,0.04731,0.09997
1984,No migration background,Second Stage of Tertiary Education,Not compensated,0.33288,224,379,0.28537,0.38039
1984,Direct migration background,Primary Level,Paid,0.20538,193,193,0.14824,0.26252
1984,Direct migration background,Lower Secondary Level,Comp. time,0.05406,40,282,0.02762,0.08050
1984,Direct migration background,Lower Secondary Level,Paid,0.19485,242,282,0.14854,0.24116
1984,Direct migration background,Upper Secondary Level,Comp. time,0.10884,70,418,0.07894,0.13873
1984,Direct migration background,Upper Secondary Level,Some of both,0.03417,31,418,0.01673,0.05160
1984,Direct migration background,Upper Secondary Level,Paid,0.21670,273,418,0.17716,0.25625
1984,Direct migration background,Upper Secondary Level,Not compensated,0.05086,44,418,0.02977,0.07195
