year,quintil_oecd,sex,plb0195_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Paid,0.5618811881188119,16099,0.5542168471398567,0.5695455290977671
1984,1st Quintile,male,Comp. time,0.1967821782178218,16099,0.1906407953808789,0.20292356105476467
1984,1st Quintile,male,Not compensated,0.13551980198019803,16099,0.1302324828376989,0.14080712112269717
1984,1st Quintile,male,Some of both,0.10581683168316831,16099,0.10106515104966758,0.11056851231666905
1984,1st Quintile,female,Paid,0.3782894736842105,16099,0.3707980758720117,0.3857808714964093
1984,1st Quintile,female,Comp. time,0.3684210526315789,16099,0.36096957051924144,0.3758725347439164
1984,1st Quintile,female,Not compensated,0.15625,16099,0.1506411538555828,0.1618588461444172
1984,1st Quintile,female,Some of both,0.09703947368421052,16099,0.09246685254307987,0.10161209482534117
1984,2nd Quintile,male,Paid,0.4560975609756098,16099,0.4484036705086737,0.46379145144254585
1984,2nd Quintile,male,Not compensated,0.24634146341463414,16099,0.23968547295097364,0.25299745387829464
1984,2nd Quintile,male,Comp. time,0.1878048780487805,16099,0.18177178194013197,0.193837974157429
1984,2nd Quintile,male,Some of both,0.10975609756097561,16099,0.10492745060258547,0.11458474451936575
1984,2nd Quintile,female,Comp. time,0.41647597254004576,16099,0.4088607785966367,0.4240911664834548
1984,2nd Quintile,female,Paid,0.2745995423340961,16099,0.267705158818876,0.2814939258493162
1984,2nd Quintile,female,Not compensated,0.20594965675057209,16099,0.199702805332857,0.21219650816828717
1984,2nd Quintile,female,Some of both,0.10297482837528604,16099,0.09827994860974806,0.10766970814082402
1984,3rd Quintile,male,Paid,0.36235955056179775,16099,0.354934243687749,0.3697848574358465
1984,3rd Quintile,male,Not compensated,0.3342696629213483,16099,0.3269825705129558,0.3415567553297408
1984,3rd Quintile,male,Comp. time,0.19382022471910113,16099,0.18771400936512728,0.19992644007307497
1984,3rd Quintile,male,Some of both,0.10955056179775281,16099,0.10472588130849755,0.11437524228700807
1984,3rd Quintile,female,Comp. time,0.36893203883495146,16099,0.3614784081034664,0.37638566956643654
1984,3rd Quintile,female,Not compensated,0.2766990291262136,16099,0.26978836218281277,0.2836096960696144
1984,3rd Quintile,female,Paid,0.22330097087378642,16099,0.21686775228801355,0.22973418945955928
1984,3rd Quintile,female,Some of both,0.13106796116504854,16099,0.12585484024836974,0.13628108208172734
1984,4th Quintile,male,Not compensated,0.609375,16099,0.601838339452193,0.616911660547807
1984,4th Quintile,male,Paid,0.171875,16099,0.166047115655011,0.177702884344989
1984,4th Quintile,male,Comp. time,0.140625,16099,0.13525493865810037,0.14599506134189963
1984,4th Quintile,male,Some of both,0.078125,16099,0.07397939752263867,0.08227060247736133
1984,4th Quintile,female,Not compensated,0.42857142857142855,16099,0.42092692647359725,0.43621593066925984
1984,4th Quintile,female,Comp. time,0.3116883116883117,16099,0.3045333147600144,0.318843308616609
1984,4th Quintile,female,Paid,0.14285714285714285,16099,0.13745166358497157,0.14826262212931413
1984,4th Quintile,female,Some of both,0.11688311688311688,16099,0.11192014737370709,0.12184608639252667
1984,5th Quintile,male,Not compensated,0.660377358490566,16099,0.6530617403815381,0.6676929765995939
1984,5th Quintile,male,Some of both,0.1509433962264151,16099,0.1454133087397841,0.1564734837130461
1984,5th Quintile,male,Paid,0.1320754716981132,16099,0.12684538741730905,0.13730555597891736
1984,5th Quintile,male,Comp. time,0.05660377358490566,16099,0.05303411746177368,0.06017342970803764
1984,5th Quintile,female,Not compensated,0.6666666666666666,16099,0.6593846718699302,0.673948661463403
1984,5th Quintile,female,Comp. time,0.125,16099,0.11989123819593908,0.13010876180406092
1984,5th Quintile,female,Paid,0.125,16099,0.11989123819593908,0.13010876180406092
1984,5th Quintile,female,Some of both,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1985,1st Quintile,male,Paid,0.5545602605863192,14443,0.5464544543494503,0.5626660668231882
1985,1st Quintile,male,Comp. time,0.18322475570032573,14443,0.1769156075654029,0.18953390383524857
1985,1st Quintile,male,Not compensated,0.16530944625407165,14443,0.15925131120357758,0.17136758130456572
1985,1st Quintile,male,Some of both,0.09690553745928339,14443,0.09208086035964003,0.10173021455892675
1985,1st Quintile,female,Paid,0.35445544554455444,14443,0.3466540678703099,0.362256823218799
1985,1st Quintile,female,Comp. time,0.3346534653465347,14443,0.32695775029736984,0.3423491803956995
1985,1st Quintile,female,Not compensated,0.2079207920792079,14443,0.20130227593097688,0.21453930822743894
1985,1st Quintile,female,Some of both,0.10297029702970296,14443,0.09801366407010437,0.10792692998930156
1985,2nd Quintile,male,Paid,0.41801075268817206,14443,0.4099666320914484,0.4260548732848957
1985,2nd Quintile,male,Not compensated,0.2513440860215054,14443,0.24426947068797752,0.2584187013550332
1985,2nd Quintile,male,Comp. time,0.1989247311827957,14443,0.19241432001100264,0.20543514235458873
1985,2nd Quintile,male,Some of both,0.13172043010752688,14443,0.12620494486345424,0.1372359153515995
1985,2nd Quintile,female,Comp. time,0.40848806366047746,14443,0.40047130503987866,0.41650482228107627
1985,2nd Quintile,female,Paid,0.29973474801061006,14443,0.29226291425157946,0.30720658176964066
1985,2nd Quintile,female,Not compensated,0.1962864721485411,14443,0.18980873696484615,0.20276420733223607
1985,2nd Quintile,female,Some of both,0.09549071618037135,14443,0.09069763863418868,0.10028379372655401
1985,3rd Quintile,male,Not compensated,0.3649025069637883,14443,0.35705130790663886,0.3727537060209377
1985,3rd Quintile,male,Paid,0.3286908077994429,14443,0.3210298610766925,0.33635175452219324
1985,3rd Quintile,male,Comp. time,0.17270194986072424,14443,0.16653732027058005,0.17886657945086842
1985,3rd Quintile,male,Some of both,0.13370473537604458,14443,0.12815421462857704,0.1392552561235121
1985,3rd Quintile,female,Comp. time,0.43317972350230416,14443,0.42509836981583404,0.4412610771887743
1985,3rd Quintile,female,Not compensated,0.2672811059907834,14443,0.2600637157034421,0.2744984962781247
1985,3rd Quintile,female,Paid,0.18433179723502305,14443,0.17800790790955534,0.19065568656049076
1985,3rd Quintile,female,Some of both,0.1152073732718894,14443,0.11000036520415345,0.12041438133962536
1985,4th Quintile,male,Not compensated,0.6339285714285714,14443,0.6260720473514759,0.6417850955056669
1985,4th Quintile,male,Paid,0.16071428571428573,14443,0.154724524319179,0.16670404710939246
1985,4th Quintile,male,Comp. time,0.15178571428571427,14443,0.14593383166366408,0.15763759690776447
1985,4th Quintile,male,Some of both,0.05357142857142857,14443,0.04989913070032818,0.05724372644252896
1985,4th Quintile,female,Not compensated,0.4520547945205479,14443,0.4439378706776448,0.46017171836345105
1985,4th Quintile,female,Comp. time,0.3150684931506849,14443,0.3074922583492266,0.3226447279521432
1985,4th Quintile,female,Paid,0.1232876712328767,14443,0.11792580781168077,0.12864953465407264
1985,4th Quintile,female,Some of both,0.1095890410958904,14443,0.10449448700790241,0.1146835951838784
