year,regtyp,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Comp. time,0.2737544991712391,694,3706,0.2735073033905482,0.27400169495193005
1985,Urban regions,Some of both,0.12068606679835385,322,3706,0.12050546617803147,0.12086666741867623
1985,Urban regions,Paid,0.33673571353583626,1172,3706,0.33647371033943324,0.33699771673223927
1985,Urban regions,Not compensated,0.2688237204945708,687,3706,0.26857793087692344,0.2690695101122182
1985,Rural regions,Comp. time,0.26601458280493606,209,3706,0.2655860273043084,0.2664431383055637
1985,Rural regions,Some of both,0.09956715693314815,81,3706,0.09927675844412305,0.09985755542217324
1985,Rural regions,Paid,0.33544114140157877,310,3706,0.3349832257111502,0.33589905709200735
1985,Rural regions,Not compensated,0.2989771188603371,231,3706,0.2985331058371873,0.29942113188348696
1986,Urban regions,Comp. time,0.29515025619483237,720,3502,0.2948938134976518,0.29540669889201293
1986,Urban regions,Some of both,0.12500881546023604,319,3502,0.12482286697734926,0.12519476394312282
1986,Urban regions,Paid,0.36467408828474673,1183,3502,0.36440346122587086,0.3649447153436226
1986,Urban regions,Not compensated,0.21516684006018488,515,3502,0.2149357949276433,0.21539788519272646
1986,Rural regions,Comp. time,0.3450310582113934,246,3502,0.34455597770152285,0.34550613872126396
1986,Rural regions,Some of both,0.1040835310102629,75,3502,0.10377835349399389,0.1043887085265319
1986,Rural regions,Paid,0.3665025063648939,300,3502,0.36602095935497,0.3669840533748178
1986,Rural regions,Not compensated,0.18438290441344982,144,3502,0.18399535128097863,0.184770457545921
1988,Urban regions,Comp. time,0.31590059344139515,769,3454,0.315649195234853,0.3161519916479373
1988,Urban regions,Some of both,0.12322915157816197,328,3454,0.12305139440816261,0.12340690874816133
1988,Urban regions,Paid,0.35441755150164944,1158,3454,0.3541588727149883,0.3546762302883106
1988,Urban regions,Not compensated,0.20645270347879346,479,3454,0.20623381442557442,0.2066715925320125
1988,Rural regions,Comp. time,0.3669105364050397,249,3454,0.36641981178919386,0.3674012610208855
1988,Rural regions,Some of both,0.13620703436170545,90,3454,0.13585778967368742,0.13655627904972348
1988,Rural regions,Paid,0.323853323194123,269,3454,0.3233768704341467,0.32432977595409934
1988,Rural regions,Not compensated,0.1730291060391318,112,3454,0.1726439560380844,0.17341425604017918
1989,Urban regions,Comp. time,0.3133009769116429,803,3649,0.31306270814590265,0.3135392456773831
1989,Urban regions,Some of both,0.14726778659763595,415,3649,0.14708574810095965,0.14744982509431226
1989,Urban regions,Paid,0.3533478676604817,1221,3649,0.3531023178404114,0.353593417480552
1989,Urban regions,Not compensated,0.1860833688302395,459,3649,0.18588345319230667,0.1862832844681723
1989,Rural regions,Comp. time,0.32271049738910634,238,3649,0.3222565052032155,0.32316448957499716
1989,Rural regions,Some of both,0.15330677321192696,111,3649,0.15295690992383046,0.15365663650002345
1989,Rural regions,Paid,0.3521215261924808,289,3649,0.3516577080607105,0.35258534432425115
1989,Rural regions,Not compensated,0.17186120320648585,113,3649,0.17149485408978699,0.1722275523231847
1990,Urban regions,Comp. time,0.32912615794265054,1107,6084,0.3289049473864147,0.3293473684988864
1990,Urban regions,Some of both,0.14193677993300563,553,6084,0.14177248985493657,0.1421010700110747
1990,Urban regions,Paid,0.35520539443394733,1480,6084,0.3549800978055462,0.3554306910623485
1990,Urban regions,Not compensated,0.17373166769039647,541,6084,0.17355330489640045,0.1739100304843925
1990,Rural regions,Comp. time,0.3586326045380457,842,6084,0.35831126060911406,0.3589539484669773
1990,Rural regions,Some of both,0.1549538544840206,360,6084,0.1547113983480698,0.1551963106199714
1990,Rural regions,Paid,0.3795608186863275,991,6084,0.3792356699500555,0.37988596742259956
1990,Rural regions,Not compensated,0.10685272229160628,210,6084,0.10664573384274571,0.10705971074046684
1991,Urban regions,Comp. time,0.3338467920443131,1169,5670,0.3336269801799813,0.3340666039086449
1991,Urban regions,Some of both,0.14787643338621387,537,5670,0.14771097406584846,0.14804189270657928
1991,Urban regions,Paid,0.34705620740829385,1433,5670,0.3468343222410089,0.3472780925755788
1991,Urban regions,Not compensated,0.17122056716117917,536,5670,0.17104498195886209,0.17139615236349626
1991,Rural regions,Comp. time,0.39466354534573017,825,5670,0.39432149363842095,0.3950055970530394
1991,Rural regions,Some of both,0.13998841289048863,277,5670,0.13974559647827584,0.14023122930270143
1991,Rural regions,Paid,0.33485936087252777,644,5670,0.3345290918772167,0.33518962986783885
1991,Rural regions,Not compensated,0.1304886808912534,249,5670,0.13025295684784144,0.13072440493466536
1992,Urban regions,Comp. time,0.3430594657468203,1104,5327,0.3428350688234872,0.3432838626701534
1992,Urban regions,Some of both,0.16231001407385323,572,5327,0.1621357196534356,0.16248430849427087
1992,Urban regions,Paid,0.33267642059986857,1291,5327,0.33245370614229897,0.3328991350574382
1992,Urban regions,Not compensated,0.16195409957945792,510,5327,0.16177995937868112,0.16212823978023472
1992,Rural regions,Comp. time,0.37106801630604247,720,5327,0.3707222597325764,0.37141377287950855
1992,Rural regions,Some of both,0.181056181225338,310,5327,0.18078058353311735,0.18133177891755867
1992,Rural regions,Paid,0.31167752186890535,572,5327,0.31134601650407306,0.31200902723373763
1992,Rural regions,Not compensated,0.1361982805997142,248,5327,0.13595279010084144,0.13644377109858696
1993,Urban regions,Comp. time,0.3343758244624645,1106,5256,0.3341533071658511,0.3345983417590779
1993,Urban regions,Some of both,0.16653640387143026,585,5256,0.16636068042787736,0.16671212731498317
1993,Urban regions,Paid,0.32067876432139536,1191,5256,0.3204586215180876,0.3208989071247031
1993,Urban regions,Not compensated,0.17840900734470977,535,5256,0.17822842802216873,0.1785895866672508
1993,Rural regions,Comp. time,0.37494022802907095,690,5256,0.3745949380960051,0.3752855179621368
1993,Rural regions,Some of both,0.16570862008352474,314,5256,0.1654434200643811,0.1659738201026684
1993,Rural regions,Paid,0.30882442106480246,567,5256,0.3084948932086329,0.30915394892097203
1993,Rural regions,Not compensated,0.15052673082260187,268,5256,0.15027168172227065,0.1507817799229331
1994,Urban regions,Comp. time,0.371383159058896,1218,5183,0.3711579170177966,0.37160840109999543
1994,Urban regions,Some of both,0.16579919378169408,569,5183,0.16562582461766642,0.16597256294572174
1994,Urban regions,Paid,0.2922565123523844,1074,5183,0.2920444979398605,0.29246852676490837
1994,Urban regions,Not compensated,0.17056113480702548,524,5183,0.17038579619097516,0.1707364734230758
1994,Rural regions,Comp. time,0.38012605189161114,697,5183,0.3797771971753542,0.3804749066078681
1994,Rural regions,Some of both,0.18745564174798113,336,5183,0.18717516175589052,0.18773612174007173
1994,Rural regions,Paid,0.28248522173175455,492,5183,0.2821616710043401,0.282808772459169
1994,Rural regions,Not compensated,0.14993308462865318,273,5183,0.14967651550905903,0.15018965374824733
1995,Urban regions,Comp. time,0.370124531481512,1275,5516,0.3698984042424074,0.37035065872061657
1995,Urban regions,Some of both,0.1745766319929411,627,5516,0.17439885193929242,0.17475441204658979
1995,Urban regions,Paid,0.2824057912353391,1138,5516,0.28219496344376815,0.28261661902691004
1995,Urban regions,Not compensated,0.17289304529020794,538,5516,0.17271594421576725,0.17307014636464862
1995,Rural regions,Comp. time,0.3869198111832454,759,5516,0.38657968872502213,0.3872599336414687
1995,Rural regions,Some of both,0.18256175865139262,365,5516,0.18229198559934917,0.18283153170343608
1995,Rural regions,Paid,0.28018313666694417,535,5516,0.2798695206828616,0.28049675265102675
1995,Rural regions,Not compensated,0.15033529349841768,279,5516,0.15008570736744728,0.15058487962938807
1996,Urban regions,Comp. time,0.41665633299063365,1418,5342,0.41642527094343607,0.41688739503783123
1996,Urban regions,Some of both,0.16709529643848153,572,5342,0.1669204498554755,0.16727014302148757
