"plb0196_h","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1986","Staedtischer Raum","maennlich","","","",""
"Ja","1986","Staedtischer Raum","weiblich","","","",""
"Ja","1986","Laendlicher Raum","maennlich","","","",""
"Ja","1986","Laendlicher Raum","weiblich","","","",""
"Nein","1986","Staedtischer Raum","maennlich","1916","","",""
"Nein","1986","Staedtischer Raum","weiblich","1485","","",""
"Nein","1986","Laendlicher Raum","maennlich","513","1","1","1"
"Nein","1986","Laendlicher Raum","weiblich","390","1","1","1"
"Ja","1987","Staedtischer Raum","maennlich","","","",""
"Ja","1987","Staedtischer Raum","weiblich","","","",""
"Ja","1987","Laendlicher Raum","maennlich","","","",""
"Ja","1987","Laendlicher Raum","weiblich","","","",""
"Nein","1987","Staedtischer Raum","maennlich","","","",""
"Nein","1987","Staedtischer Raum","weiblich","","","",""
"Nein","1987","Laendlicher Raum","maennlich","","","",""
"Nein","1987","Laendlicher Raum","weiblich","","","",""
"Ja","1988","Staedtischer Raum","maennlich","","","",""
"Ja","1988","Staedtischer Raum","weiblich","","","",""
"Ja","1988","Laendlicher Raum","maennlich","","","",""
"Ja","1988","Laendlicher Raum","weiblich","","","",""
"Nein","1988","Staedtischer Raum","maennlich","1817","","",""
"Nein","1988","Staedtischer Raum","weiblich","1350","","",""
"Nein","1988","Laendlicher Raum","maennlich","461","1","1","1"
"Nein","1988","Laendlicher Raum","weiblich","382","1","1","1"
"Ja","1989","Staedtischer Raum","maennlich","","","",""
"Ja","1989","Staedtischer Raum","weiblich","","","",""
"Ja","1989","Laendlicher Raum","maennlich","","","",""
"Ja","1989","Laendlicher Raum","weiblich","","","",""
"Nein","1989","Staedtischer Raum","maennlich","1736","","",""
"Nein","1989","Staedtischer Raum","weiblich","1324","","",""
"Nein","1989","Laendlicher Raum","maennlich","425","1","1","1"
"Nein","1989","Laendlicher Raum","weiblich","354","1","1","1"
"Ja","1990","Staedtischer Raum","maennlich","","","",""
"Ja","1990","Staedtischer Raum","weiblich","","","",""
"Ja","1990","Laendlicher Raum","maennlich","","","",""
"Ja","1990","Laendlicher Raum","weiblich","","","",""
"Nein","1990","Staedtischer Raum","maennlich","1599","","",""
"Nein","1990","Staedtischer Raum","weiblich","1306","","",""
"Nein","1990","Laendlicher Raum","maennlich","420","1","1","1"
"Nein","1990","Laendlicher Raum","weiblich","374","1","1","1"
"Ja","1991","Staedtischer Raum","maennlich","","","",""
"Ja","1991","Staedtischer Raum","weiblich","","","",""
"Ja","1991","Laendlicher Raum","maennlich","","","",""
"Ja","1991","Laendlicher Raum","weiblich","","","",""
"Nein","1991","Staedtischer Raum","maennlich","1853","","",""
"Nein","1991","Staedtischer Raum","weiblich","1664","","",""
"Nein","1991","Laendlicher Raum","maennlich","1123","","",""
"Nein","1991","Laendlicher Raum","weiblich","968","1","1","1"
"Ja","1992","Staedtischer Raum","maennlich","","","",""
"Ja","1992","Staedtischer Raum","weiblich","","","",""
"Ja","1992","Laendlicher Raum","maennlich","","","",""
"Ja","1992","Laendlicher Raum","weiblich","","","",""
"Nein","1992","Staedtischer Raum","maennlich","1756","","",""
"Nein","1992","Staedtischer Raum","weiblich","1504","","",""
"Nein","1992","Laendlicher Raum","maennlich","929","1","1","1"
"Nein","1992","Laendlicher Raum","weiblich","785","1","1","1"
"Ja","1993","Staedtischer Raum","maennlich","","","",""
"Ja","1993","Staedtischer Raum","weiblich","","","",""
"Ja","1993","Laendlicher Raum","maennlich","","","",""
"Ja","1993","Laendlicher Raum","weiblich","","","",""
"Nein","1993","Staedtischer Raum","maennlich","1790","","",""
"Nein","1993","Staedtischer Raum","weiblich","1520","","",""
"Nein","1993","Laendlicher Raum","maennlich","875","1","1","1"
"Nein","1993","Laendlicher Raum","weiblich","759","1","1","1"
"Ja","1994","Staedtischer Raum","maennlich","","","",""
"Ja","1994","Staedtischer Raum","weiblich","","","",""
"Ja","1994","Laendlicher Raum","maennlich","","","",""
"Ja","1994","Laendlicher Raum","weiblich","","","",""
