year,sampreg,plb0196_h,proportion,n,lower_confidence,upper_confidence
1986,West,2.0,1.0,10583,1.0,1.0
1988,West,2.0,1.0,9970,1.0,1.0
1989,West,2.0,1.0,9662,1.0,1.0
1990,West,2.0,0.6190794979079498,13886,0.6110023529741938,0.6271566428417058
1990,East,2.0,0.3809205020920502,13886,0.37284335715829425,0.38899764702580614
1991,West,2.0,0.6511421993979104,13586,0.6431277737071367,0.6591566250886841
1991,East,2.0,0.3488578006020896,13586,0.3408433749113159,0.3568722262928633
1992,West,2.0,0.7145700636942676,13316,0.7068992515465276,0.7222408758420076
1992,East,2.0,0.2854299363057325,13316,0.2777591241579925,0.2931007484534725
1993,West,2.0,0.745752427184466,13101,0.7382960203886295,0.7532088339803025
1993,East,2.0,0.254247572815534,13101,0.24679116601969753,0.2617039796113705
1994,West,2.0,0.7434612031386225,12873,0.7359168524351549,0.7510055538420901
1994,East,2.0,0.2565387968613775,12873,0.24899444615790983,0.26408314756484513
1995,West,2.0,0.7413793103448276,13284,0.7339329593814301,0.7488256613082251
1995,East,2.0,0.25862068965517243,13284,0.2511743386917749,0.26606704061856995
1996,West,2.0,0.7387589928057554,13048,0.7312209922984231,0.7462969933130877
1996,East,2.0,0.2612410071942446,13048,0.2537030066869122,0.268779007701577
1997,West,2.0,0.6905263157894737,12828,0.6825265259972318,0.6985261055817155
1997,East,2.0,0.3094736842105263,12828,0.30147389441828454,0.31747347400276804
1998,West,2.0,0.6728847435043305,14238,0.6651783298322953,0.6805911571763656
1998,East,2.0,0.3271152564956695,14238,0.3194088428236343,0.33482167016770475
1999,West,2.0,0.6695095948827292,13674,0.6616252409094787,0.6773939488559797
1999,East,2.0,0.3304904051172708,13674,0.3226060511440203,0.3383747590905213
2000,West,2.0,0.7291915571485464,24107,0.7235818989100695,0.7348012153870234
2000,East,2.0,0.2708084428514536,24107,0.26519878461297663,0.2764181010899306
2002,West,1.0,0.5387816874763526,23026,0.5323428641976009,0.5452205107551042
2002,West,2.0,0.21389834783705386,23026,0.20860183668864427,0.21919485898546345
2002,East,1.0,0.16698196493883213,23026,0.1621646082151461,0.17179932166251816
2002,East,2.0,0.08033799974776139,23026,0.07682707557810182,0.08384892391742095
2003,West,1.0,0.5326892535733192,22166,0.526120964488419,0.5392575426582193
2003,West,2.0,0.2214134462678666,22166,0.21594746860815484,0.22687942392757837
2003,East,1.0,0.16860772895712017,22166,0.16367878207751732,0.17353667583672303
2003,East,2.0,0.07728957120169402,22166,0.0737739217035922,0.08080522069979584
2004,West,1.0,0.5380494505494505,21612,0.531402576766836,0.544696324332065
2004,West,2.0,0.21387362637362636,21612,0.20840682377927439,0.21934042896797834
2004,East,1.0,0.17184065934065934,21612,0.16681111652717143,0.17687020215414725
2004,East,2.0,0.07623626373626374,21612,0.07269816581395686,0.07977436165857063
2005,West,1.0,0.5406847487772344,20698,0.5338955367354313,0.5474739608190374
2005,West,2.0,0.20927819771750408,20698,0.20373620781536908,0.21482018761963909
2005,East,1.0,0.17029791018230325,20698,0.1651768765117981,0.1754189438528084
2005,East,2.0,0.07973914332295835,20698,0.07604866093022378,0.08342962571569293
2006,West,1.0,0.5581208053691276,22269,0.5515981925938873,0.5646434181443678
2006,West,2.0,0.198255033557047,22269,0.1930185957958367,0.2034914713182573
2006,East,1.0,0.17221476510067113,22269,0.16725570075596563,0.17717382944537663
2006,East,2.0,0.07140939597315436,22269,0.06802722517141191,0.07479156677489682
2007,West,1.0,0.5622929569350424,20850,0.5555589101245304,0.5690270037455545
2007,West,2.0,0.18147774737145325,20850,0.17624620223052742,0.18670929251237908
2007,East,1.0,0.17917326803975228,20850,0.17396773274898597,0.1843788033305186
2007,East,2.0,0.07705602765375198,20850,0.07343614894401108,0.08067590636349288
2008,West,1.0,0.5495310668229777,19571,0.5425603392497174,0.556501794396238
2008,West,2.0,0.195926143024619,19571,0.1903652603989869,0.2014870256502511
2008,East,1.0,0.1780480656506448,19571,0.17268835426944382,0.18340777703184577
2008,East,2.0,0.0764947245017585,19571,0.07277093609385285,0.08021851290966414
2009,West,1.0,0.5294020208712937,18254,0.5221610821092346,0.5366429596333528
2009,West,2.0,0.21053503395726353,18254,0.20462070240981928,0.21644936550470778
2009,East,1.0,0.18005631936392247,18254,0.17448223876791538,0.18563039995992955
2009,East,2.0,0.08000662580752028,18254,0.0760708316610009,0.08394241995403967
2010,West,1.0,0.5348642506877168,24328,0.5285964595879162,0.5411320417875174
2010,West,2.0,0.23466092572658773,24328,0.22933555065534944,0.239986300797826
2010,East,1.0,0.15608180839612487,24328,0.15152113275201912,0.16064248404023063
2010,East,2.0,0.07439301518957063,24328,0.07109553450695694,0.07769049587218432
2011,West,1.0,0.5827736072698538,28898,0.577088246845232,0.5884589676944757
2011,West,2.0,0.19271039114974317,28898,0.1881627160928977,0.19725806620658864
2011,East,1.0,0.15784274990122482,28898,0.1536390559177704,0.16204644388467923
2011,East,2.0,0.06667325167917819,28898,0.06379707968995033,0.06954942366840605
2012,West,1.0,0.5655999226530021,28166,0.5598110619200848,0.5713887833859194
2012,West,2.0,0.2158948080827613,28166,0.21108971563357432,0.22069990053194827
2012,East,1.0,0.1518901672628831,28166,0.14769852352647017,0.15608181099929602
2012,East,2.0,0.06661510200135358,28166,0.06370297562873047,0.0695272283739767
2013,West,1.0,0.586034231609614,31177,0.5805668093409638,0.5915016538782641
2013,West,2.0,0.21731609613983977,31177,0.2127380722093213,0.22189412007035822
2013,East,1.0,0.13929351784413693,31177,0.13544997346448692,0.14313706222378694
2013,East,2.0,0.05735615440640932,31177,0.05477506682840857,0.059937241984410077
2014,West,1.0,0.5778223783241345,27654,0.5720010529345572,0.5836437037137119
2014,West,2.0,0.2222779729051681,27654,0.21737750549196555,0.22717844031837064
2014,East,1.0,0.14219769192172604,27654,0.13808129759540383,0.14631408624804826
2014,East,2.0,0.0577019568489714,27654,0.054953641853117144,0.060450271844825654
2015,West,1.0,0.6182756079587325,27342,0.612517140134951,0.624034075782514
2015,West,2.0,0.18559848405095272,27342,0.18099011309450885,0.1902068550073966
2015,East,1.0,0.14559427308137698,27342,0.1414136101524716,0.14977493601028236
2015,East,2.0,0.050531634908937785,27342,0.04793528718447178,0.05312798263340379
2016,West,1.0,0.6126744959007312,27798,0.6069478247542451,0.6184011670472173
2016,West,2.0,0.18568579658763573,27798,0.1811145500587753,0.19025704311649616
2016,East,1.0,0.1491247507201418,27798,0.14493722867064643,0.1533122727696372
2016,East,2.0,0.05251495679149125,27798,0.04989268934336018,0.05513722423962232
2017,West,1.0,0.6109912686183873,31140,0.6055763249394431,0.6164062122973314
