"plb0218","year","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","maennlich","1827","","",""
"Nein, nie","2005","weiblich","2449","","",""
"Ja, jede Woche","2005","maennlich","916","0.152885787509992","0.143830220785311","0.161941354234672"
"Ja, jede Woche","2005","weiblich","686","0.141222711328447","0.131895304891991","0.150550117764903"
"Ja, alle 2 Wochen","2005","maennlich","776","0.132242920952813","0.123718863017357","0.140766978888269"
"Ja, alle 2 Wochen","2005","weiblich","814","0.163097212685975","0.153201908933895","0.172992516438054"
"Ja, alle 3-4 Wochen","2005","maennlich","649","0.104226876099357","0.0965382282832702","0.111915523915444"
"Ja, alle 3-4 Wochen","2005","weiblich","395","0.0736327251255699","0.0666376015246499","0.0806278487264899"
"Seltener","2005","maennlich","1899","","",""
"Seltener","2005","weiblich","1011","","",""
"Nein, nie","2006","maennlich","","","",""
"Nein, nie","2006","weiblich","","","",""
"Ja, jede Woche","2006","maennlich","","","",""
"Ja, jede Woche","2006","weiblich","","","",""
"Ja, alle 2 Wochen","2006","maennlich","","","",""
"Ja, alle 2 Wochen","2006","weiblich","","","",""
"Ja, alle 3-4 Wochen","2006","maennlich","","","",""
"Ja, alle 3-4 Wochen","2006","weiblich","","","",""
"Seltener","2006","maennlich","","","",""
"Seltener","2006","weiblich","","","",""
"Nein, nie","2007","maennlich","1784","","",""
"Nein, nie","2007","weiblich","2368","","",""
"Ja, jede Woche","2007","maennlich","944","0.151486310211181","0.142446197378634","0.160526423043729"
"Ja, jede Woche","2007","weiblich","745","0.144390328263989","0.13504498692932","0.153735669598658"
"Ja, alle 2 Wochen","2007","maennlich","861","0.151418711695618","0.142380256084484","0.160457167306751"
"Ja, alle 2 Wochen","2007","weiblich","829","0.156159748827864","0.146508068182069","0.165811429473659"
"Ja, alle 3-4 Wochen","2007","maennlich","679","0.113295324797669","0.105303366223062","0.121287283372275"
"Ja, alle 3-4 Wochen","2007","weiblich","432","0.0803761941287017","0.0731475458224697","0.0876048424349336"
"Seltener","2007","maennlich","1774","","",""
"Seltener","2007","weiblich","1060","","",""
"Nein, nie","2008","maennlich","","","",""
"Nein, nie","2008","weiblich","","","",""
"Ja, jede Woche","2008","maennlich","","","",""
"Ja, jede Woche","2008","weiblich","","","",""
"Ja, alle 2 Wochen","2008","maennlich","","","",""
"Ja, alle 2 Wochen","2008","weiblich","","","",""
"Ja, alle 3-4 Wochen","2008","maennlich","","","",""
"Ja, alle 3-4 Wochen","2008","weiblich","","","",""
"Seltener","2008","maennlich","","","",""
"Seltener","2008","weiblich","","","",""
"Nein, nie","2009","maennlich","1569","","",""
"Nein, nie","2009","weiblich","2108","","",""
"Ja, jede Woche","2009","maennlich","839","0.160903075500013","0.150959019026704","0.170847131973322"
"Ja, jede Woche","2009","weiblich","721","0.151310810639916","0.141318866944052","0.161302754335781"
"Ja, alle 2 Wochen","2009","maennlich","677","0.136634739934399","0.127339658546482","0.145929821322316"
"Ja, alle 2 Wochen","2009","weiblich","779","0.164394256493306","0.154059870169581","0.174728642817032"
"Ja, alle 3-4 Wochen","2009","maennlich","548","0.10224092836717","0.0940418009029251","0.110440055831414"
"Ja, alle 3-4 Wochen","2009","weiblich","363","0.0689579506337704","0.0618928641069519","0.0760230371605888"
"Seltener","2009","maennlich","1612","","",""
"Seltener","2009","weiblich","970","0.186596050094462","0.175733169000999","0.197458931187924"
"Nein, nie","2010","maennlich","664","0.289472744037415","0.271602007447401","0.307343480627428"
"Nein, nie","2010","weiblich","870","0.42223871664681","0.400847457001062","0.443629976292558"
"Ja, jede Woche","2010","maennlich","339","0.1289242171908","0.11571906335783","0.142129371023769"
"Ja, jede Woche","2010","weiblich","294","","",""
"Ja, alle 2 Wochen","2010","maennlich","394","0.155652790127259","0.14136756020947","0.169938020045048"
"Ja, alle 2 Wochen","2010","weiblich","365","0.183383624548791","0.166623685563742","0.200143563533839"
"Ja, alle 3-4 Wochen","2010","maennlich","282","","",""
"Ja, alle 3-4 Wochen","2010","weiblich","151","","",""
"Seltener","2010","maennlich","795","0.308989867095912","0.290781853454439","0.327197880737386"
"Seltener","2010","weiblich","368","0.180166934644732","0.163521950923845","0.196811918365619"
"Nein, nie","2011","maennlich","2595","","",""
"Nein, nie","2011","weiblich","3718","0.443583991982753","0.432926116922373","0.454241867043134"
"Ja, jede Woche","2011","maennlich","1265","","",""
"Ja, jede Woche","2011","weiblich","1166","","",""
"Ja, alle 2 Wochen","2011","maennlich","1201","","",""
"Ja, alle 2 Wochen","2011","weiblich","1415","","",""
"Ja, alle 3-4 Wochen","2011","maennlich","892","0.10459093310382","0.0980411272863061","0.111140738921334"
"Ja, alle 3-4 Wochen","2011","weiblich","660","0.0767172611445566","0.0710077781028101","0.082426744186303"
"Seltener","2011","maennlich","2433","","",""
"Seltener","2011","weiblich","1388","","",""
"Nein, nie","2012","maennlich","813","0.336875156258981","0.318197917142094","0.355552395375869"
"Nein, nie","2012","weiblich","1235","","",""
"Ja, jede Woche","2012","maennlich","350","0.139321091579105","0.125637202287371","0.153004980870838"
"Ja, jede Woche","2012","weiblich","394","0.142275776905121","0.129077094989025","0.155474458821218"
"Ja, alle 2 Wochen","2012","maennlich","410","0.17543939493843","0.160409519243308","0.190469270633552"
"Ja, alle 2 Wochen","2012","weiblich","449","0.170978671128261","0.156753907356298","0.185203434900225"
"Ja, alle 3-4 Wochen","2012","maennlich","265","","",""
"Ja, alle 3-4 Wochen","2012","weiblich","206","","",""
"Seltener","2012","maennlich","622","0.241545776209702","0.224631829871961","0.258459722547442"
"Seltener","2012","weiblich","407","0.14627813658572","0.132926357021259","0.159629916150181"
"Nein, nie","2013","maennlich","2417","","",""
"Nein, nie","2013","weiblich","3579","0.428890380630743","0.418038435434802","0.439742325826684"
"Ja, jede Woche","2013","maennlich","1053","","",""
"Ja, jede Woche","2013","weiblich","1039","","",""
"Ja, alle 2 Wochen","2013","maennlich","1057","","",""
"Ja, alle 2 Wochen","2013","weiblich","1354","","",""
"Ja, alle 3-4 Wochen","2013","maennlich","759","0.101919651837712","0.0950848851295646","0.108754418545858"
"Ja, alle 3-4 Wochen","2013","weiblich","599","0.078609168228252","0.0727080645477915","0.0845102719087126"
"Seltener","2013","maennlich","2241","","",""
"Seltener","2013","weiblich","1419","","",""
"Nein, nie","2014","maennlich","","","",""
"Nein, nie","2014","weiblich","","","",""
"Ja, jede Woche","2014","maennlich","","","",""
"Ja, jede Woche","2014","weiblich","","","",""
"Ja, alle 2 Wochen","2014","maennlich","","","",""
"Ja, alle 2 Wochen","2014","weiblich","","","",""
"Ja, alle 3-4 Wochen","2014","maennlich","","","",""
"Ja, alle 3-4 Wochen","2014","weiblich","","","",""
"Seltener","2014","maennlich","","","",""
"Seltener","2014","weiblich","","","",""
"Nein, nie","2015","maennlich","2533","","",""
"Nein, nie","2015","weiblich","3516","0.432993628811089","0.422007463995774","0.443979793626403"
"Ja, jede Woche","2015","maennlich","1038","","",""
"Ja, jede Woche","2015","weiblich","1030","","",""
"Ja, alle 2 Wochen","2015","maennlich","1050","","",""
"Ja, alle 2 Wochen","2015","weiblich","1308","","",""
"Ja, alle 3-4 Wochen","2015","maennlich","734","0.09849887768154","0.0917445336498304","0.10525322171325"
"Ja, alle 3-4 Wochen","2015","weiblich","570","0.0727804462412538","0.0670206113348055","0.078540281147702"
"Seltener","2015","maennlich","2122","","",""
"Seltener","2015","weiblich","1390","","",""
"Nein, nie","2016","maennlich","","","",""
"Nein, nie","2016","weiblich","","","",""
"Ja, jede Woche","2016","maennlich","","","",""
"Ja, jede Woche","2016","weiblich","","","",""
"Ja, alle 2 Wochen","2016","maennlich","","","",""
"Ja, alle 2 Wochen","2016","weiblich","","","",""
"Ja, alle 3-4 Wochen","2016","maennlich","","","",""
"Ja, alle 3-4 Wochen","2016","weiblich","","","",""
"Seltener","2016","maennlich","","","",""
"Seltener","2016","weiblich","","","",""
"Nein, nie","2017","maennlich","3011","0.369754280547128","0.359268660915016","0.38023990017924"
"Nein, nie","2017","weiblich","4127","0.476128146038049","0.465581360431355","0.486674931644743"
"Ja, jede Woche","2017","maennlich","1119","","",""
"Ja, jede Woche","2017","weiblich","1134","","",""
"Ja, alle 2 Wochen","2017","maennlich","1126","","",""
"Ja, alle 2 Wochen","2017","weiblich","1373","","",""
"Ja, alle 3-4 Wochen","2017","maennlich","879","0.103665570012012","0.0970443982921233","0.1102867417319"
"Ja, alle 3-4 Wochen","2017","weiblich","732","0.0748701929836547","0.069312411462056","0.0804279745052533"
"Seltener","2017","maennlich","2007","","",""
"Seltener","2017","weiblich","1248","","",""
"Nein, nie","2018","maennlich","","","",""
"Nein, nie","2018","weiblich","","","",""
"Ja, jede Woche","2018","maennlich","","","",""
"Ja, jede Woche","2018","weiblich","","","",""
"Ja, alle 2 Wochen","2018","maennlich","","","",""
"Ja, alle 2 Wochen","2018","weiblich","","","",""
"Ja, alle 3-4 Wochen","2018","maennlich","","","",""
"Ja, alle 3-4 Wochen","2018","weiblich","","","",""
"Seltener","2018","maennlich","","","",""
"Seltener","2018","weiblich","","","",""
"Nein, nie","2019","maennlich","2952","","",""
"Nein, nie","2019","weiblich","4023","0.481244219270702","0.470563713848245","0.491924724693158"
"Ja, jede Woche","2019","maennlich","1371","","",""
"Ja, jede Woche","2019","weiblich","1061","","",""
"Ja, alle 2 Wochen","2019","maennlich","1186","","",""
"Ja, alle 2 Wochen","2019","weiblich","1302","","",""
"Ja, alle 3-4 Wochen","2019","maennlich","847","0.0974435253815215","0.0911334310077048","0.103753619755338"
"Ja, alle 3-4 Wochen","2019","weiblich","668","0.0744279464611563","0.06881745762968","0.0800384352926325"
"Seltener","2019","maennlich","2129","","",""
"Seltener","2019","weiblich","1353","","",""
