,Unnamed: 0,year,bula_h,sex,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,Schleswig-Holstein,male,"No, never",0.28833,42,10804,0.22462,0.35224
1,1,2005,Schleswig-Holstein,male,"Yes, every week",0.26531,32,10804,0.19925,0.34458
2,2,2005,Schleswig-Holstein,male,"Yes, less frequently",0.44636,61,10804,0.36435,0.5485
3,3,2005,Schleswig-Holstein,female,"No, never",0.66104,75,10804,0.5557,0.76996
4,4,2005,Schleswig-Holstein,female,"Yes, less frequently",0.33896,39,10804,0.27607,0.4166
5,5,2005,Hamburg,male,"No, never",0.48852,31,10804,0.35305,0.62074
6,6,2005,Hamburg,male,"Yes, less frequently",0.51148,31,10804,0.34016,0.68242
7,7,2005,Hamburg,female,"No, never",1.0,38,10804,0.82531,1.23591
8,8,2005,Lower Saxony,male,"No, never",0.26599,136,10804,0.23623,0.29713
9,9,2005,Lower Saxony,male,"Yes, every week",0.16964,90,10804,0.13733,0.20763
10,10,2005,Lower Saxony,male,"Yes, every 2 weeks",0.11154,66,10804,0.08891,0.13888
11,11,2005,Lower Saxony,male,"Yes, every 3-4 weeks",0.10171,56,10804,0.07892,0.13256
12,12,2005,Lower Saxony,male,"Yes, less frequently",0.35112,174,10804,0.29823,0.40285
13,13,2005,Lower Saxony,female,"No, never",0.41342,195,10804,0.36007,0.46498
14,14,2005,Lower Saxony,female,"Yes, every week",0.16317,67,10804,0.13274,0.19662
15,15,2005,Lower Saxony,female,"Yes, every 2 weeks",0.17403,76,10804,0.13975,0.20932
16,16,2005,Lower Saxony,female,"Yes, every 3-4 weeks",0.08995,41,10804,0.0701,0.11908
17,17,2005,Lower Saxony,female,"Yes, less frequently",0.15943,78,10804,0.12682,0.18723
18,18,2005,North Rhine-Westphalia,male,"No, never",0.3209,429,10804,0.29928,0.34776
19,19,2005,North Rhine-Westphalia,male,"Yes, every week",0.14484,192,10804,0.12528,0.16536
20,20,2005,North Rhine-Westphalia,male,"Yes, every 2 weeks",0.15061,178,10804,0.12923,0.17154
21,21,2005,North Rhine-Westphalia,male,"Yes, every 3-4 weeks",0.10154,121,10804,0.08813,0.11431
22,22,2005,North Rhine-Westphalia,male,"Yes, less frequently",0.2821,384,10804,0.26122,0.309
23,23,2005,North Rhine-Westphalia,female,"No, never",0.47089,543,10804,0.44397,0.50136
24,24,2005,North Rhine-Westphalia,female,"Yes, every week",0.12239,120,10804,0.10413,0.1411
25,25,2005,North Rhine-Westphalia,female,"Yes, every 2 weeks",0.15151,160,10804,0.13406,0.1719
26,26,2005,North Rhine-Westphalia,female,"Yes, every 3-4 weeks",0.08369,77,10804,0.06972,0.10089
27,27,2005,North Rhine-Westphalia,female,"Yes, less frequently",0.17152,201,10804,0.14653,0.19547
28,28,2005,Hesse,male,"No, never",0.28233,123,10804,0.24322,0.32532
29,29,2005,Hesse,male,"Yes, every week",0.17766,74,10804,0.14942,0.20969
30,30,2005,Hesse,male,"Yes, every 2 weeks",0.11641,53,10804,0.08995,0.14567
31,31,2005,Hesse,male,"Yes, every 3-4 weeks",0.11037,54,10804,0.08228,0.13681
32,32,2005,Hesse,male,"Yes, less frequently",0.31323,143,10804,0.2752,0.34974
33,33,2005,Hesse,female,"No, never",0.50013,166,10804,0.44205,0.56411
34,34,2005,Hesse,female,"Yes, every week",0.1542,56,10804,0.12056,0.18816
35,35,2005,Hesse,female,"Yes, every 2 weeks",0.11449,48,10804,0.09036,0.1368
36,36,2005,Hesse,female,"Yes, less frequently",0.23118,90,10804,0.19596,0.28386
37,37,2005,"Rhineland-Palatinate, Saarland",male,"No, never",0.37686,123,10804,0.32043,0.42598
38,38,2005,"Rhineland-Palatinate, Saarland",male,"Yes, every week",0.23249,64,10804,0.18346,0.28537
39,39,2005,"Rhineland-Palatinate, Saarland",male,"Yes, every 2 weeks",0.12316,34,10804,0.08837,0.16425
40,40,2005,"Rhineland-Palatinate, Saarland",male,"Yes, less frequently",0.26749,97,10804,0.21906,0.3104
41,41,2005,"Rhineland-Palatinate, Saarland",female,"No, never",0.47368,145,10804,0.40796,0.54676
42,42,2005,"Rhineland-Palatinate, Saarland",female,"Yes, every week",0.18889,47,10804,0.14832,0.22781
43,43,2005,"Rhineland-Palatinate, Saarland",female,"Yes, every 2 weeks",0.18281,51,10804,0.13758,0.23129
44,44,2005,"Rhineland-Palatinate, Saarland",female,"Yes, less frequently",0.15463,54,10804,0.12201,0.19229
45,45,2005,Baden-Wuerttemberg,male,"No, never",0.32864,287,10804,0.29125,0.37414
46,46,2005,Baden-Wuerttemberg,male,"Yes, every week",0.12661,102,10804,0.10533,0.15582
47,47,2005,Baden-Wuerttemberg,male,"Yes, every 2 weeks",0.11322,86,10804,0.09474,0.13553
48,48,2005,Baden-Wuerttemberg,male,"Yes, every 3-4 weeks",0.08888,82,10804,0.07459,0.10344
49,49,2005,Baden-Wuerttemberg,male,"Yes, less frequently",0.34265,257,10804,0.3102,0.38129
50,50,2005,Baden-Wuerttemberg,female,"No, never",0.45647,313,10804,0.41628,0.49435
51,51,2005,Baden-Wuerttemberg,female,"Yes, every week",0.11449,70,10804,0.09151,0.1384
52,52,2005,Baden-Wuerttemberg,female,"Yes, every 2 weeks",0.1827,82,10804,0.14955,0.2172
53,53,2005,Baden-Wuerttemberg,female,"Yes, every 3-4 weeks",0.09654,51,10804,0.07454,0.12117
54,54,2005,Baden-Wuerttemberg,female,"Yes, less frequently",0.1498,104,10804,0.1251,0.17496
55,55,2005,Bavaria,male,"No, never",0.33552,300,10804,0.30452,0.37406
