year,quintil_oecd,sex,plb0240,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Full-time,0.7591836734693878,16099,0.7525786705374682,0.7657886764013073
1984,1st Quintile,male,Either,0.1510204081632653,16099,0.14548916098720358,0.15655165533932705
1984,1st Quintile,male,Part-time,0.04897959183673469,16099,0.0456456415449474,0.05231354212852198
1984,1st Quintile,male,I'm not sure yet,0.04081632653061224,16099,0.037759826053366786,0.0438728270078577
1984,1st Quintile,female,Part-time,0.4396551724137931,16099,0.43198790874703097,0.4473224360805552
1984,1st Quintile,female,Full-time,0.34051724137931033,16099,0.33319695793688153,0.34783752482173913
1984,1st Quintile,female,Either,0.12931034482758622,16099,0.12412706150534289,0.13449362814982954
1984,1st Quintile,female,I'm not sure yet,0.09051724137931035,16099,0.08608503972717983,0.09494944303144086
1984,2nd Quintile,male,Full-time,0.7941176470588235,16099,0.7878715517587759,0.8003637423588711
1984,2nd Quintile,male,Either,0.11029411764705882,16099,0.10545511313030673,0.11513312216381091
1984,2nd Quintile,male,I'm not sure yet,0.07352941176470588,16099,0.06949757458538777,0.077561248944024
1984,2nd Quintile,male,Part-time,0.022058823529411766,16099,0.01978998201235912,0.024327665046464414
1984,2nd Quintile,female,Part-time,0.46706586826347307,16099,0.4593589198030797,0.47477281672386645
1984,2nd Quintile,female,Full-time,0.3473053892215569,16099,0.3399506480135566,0.3546601304295572
1984,2nd Quintile,female,Either,0.09281437125748503,16099,0.08833195364899182,0.09729678886597823
1984,2nd Quintile,female,I'm not sure yet,0.09281437125748503,16099,0.08833195364899182,0.09729678886597823
1984,3rd Quintile,male,Full-time,0.8319327731092437,16099,0.8261565726742592,0.8377089735442282
1984,3rd Quintile,male,Either,0.07563025210084033,16099,0.07154586160377012,0.07971464259791054
1984,3rd Quintile,male,Part-time,0.05042016806722689,16099,0.04704010731129186,0.053800228823161926
1984,3rd Quintile,male,I'm not sure yet,0.04201680672268908,16099,0.03891762467557254,0.04511598876980562
1984,3rd Quintile,female,Part-time,0.5088495575221239,16099,0.5011270455263049,0.5165720695179429
1984,3rd Quintile,female,Full-time,0.2920353982300885,16099,0.2850114687743761,0.2990593276858009
1984,3rd Quintile,female,Either,0.11946902654867257,16099,0.1144588087863003,0.12447924431104485
1984,3rd Quintile,female,I'm not sure yet,0.07964601769911504,16099,0.07546370883812999,0.0838283265601001
1984,4th Quintile,male,Full-time,0.7795275590551181,16099,0.7731235857458761,0.78593153236436
1984,4th Quintile,male,Either,0.09448818897637795,16099,0.08996970815348124,0.09900666979927467
1984,4th Quintile,male,I'm not sure yet,0.08661417322834646,16099,0.08226928871526126,0.09095905774143165
1984,4th Quintile,male,Part-time,0.03937007874015748,16099,0.03636595499736175,0.04237420248295321
1984,4th Quintile,female,Part-time,0.5081081081081081,16099,0.5003854018597131,0.5158308143565031
1984,4th Quintile,female,Full-time,0.2864864864864865,16099,0.2795023970344433,0.2934705759385297
1984,4th Quintile,female,I'm not sure yet,0.11351351351351352,16099,0.1086132835208227,0.11841374350620434
1984,4th Quintile,female,Either,0.0918918918918919,16099,0.08742953815619212,0.09635424562759168
1984,5th Quintile,male,Full-time,0.8333333333333334,16099,0.8275764109665379,0.8390902557001289
1984,5th Quintile,male,I'm not sure yet,0.07575757575757576,16099,0.07167003020762265,0.07984512130752887
1984,5th Quintile,male,Either,0.06060606060606061,16099,0.05692020323155309,0.06429191798056812
1984,5th Quintile,male,Part-time,0.030303030303030304,16099,0.027655032195126154,0.03295102841093445
1984,5th Quintile,female,Part-time,0.49264705882352944,16099,0.4849241721942185,0.5003699454528404
1984,5th Quintile,female,Full-time,0.27941176470588236,16099,0.27248033937804755,0.28634319003371717
1984,5th Quintile,female,Either,0.1323529411764706,16099,0.12711820294753612,0.13758767940540506
1984,5th Quintile,female,I'm not sure yet,0.09558823529411764,16099,0.09104628952254429,0.10013018106569099
