year,age_gr,quintil_oecd,plb0418,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,As soon as possible,0.2810842574266064,126,1564,0.28029632793619824,0.2818721869170146
1984,17-29 y.,1st Quintile,Next year,0.18566695067249975,70,1564,0.18498539956181387,0.18634850178318563
1984,17-29 y.,1st Quintile,In the next 2 to 5 years,0.4069401906460031,137,1564,0.4060791083978496,0.40780127289415663
1984,17-29 y.,1st Quintile,"In the distant future, in more than five years",0.1263086012548906,57,1564,0.1257263296790731,0.1268908728307081
1984,17-29 y.,2nd Quintile,As soon as possible,0.21825668751863897,66,1564,0.2174408736099678,0.21907250142731013
1984,17-29 y.,2nd Quintile,Next year,0.22529560150884786,59,1564,0.22447047677542,0.22612072624227572
1984,17-29 y.,2nd Quintile,In the next 2 to 5 years,0.3590038756907404,99,1564,0.35805643396254094,0.3599513174189398
1984,17-29 y.,2nd Quintile,"In the distant future, in more than five years",0.19744383528177276,50,1564,0.19665763219455387,0.19823003836899164
1984,17-29 y.,3rd Quintile,As soon as possible,0.19402951851597697,48,1564,0.19318969623797175,0.1948693407939822
1984,17-29 y.,3rd Quintile,Next year,0.1694133483905382,36,1564,0.16861671187988883,0.17020998490118758
1984,17-29 y.,3rd Quintile,In the next 2 to 5 years,0.41909357747951526,83,1564,0.41804571929065903,0.4201414356683715
1984,17-29 y.,3rd Quintile,"In the distant future, in more than five years",0.2174635556139696,45,1564,0.21658748432306946,0.21833962690486974
1984,17-29 y.,4th Quintile,As soon as possible,0.1614075466233833,38,1564,0.1605690362835398,0.1622460569632268
1984,17-29 y.,4th Quintile,Next year,0.21476998180782744,40,1564,0.2138340240113325,0.21570593960432238
1984,17-29 y.,4th Quintile,In the next 2 to 5 years,0.37958614886346487,66,1564,0.3784801187534305,0.3806921789734992
1984,17-29 y.,4th Quintile,"In the distant future, in more than five years",0.24423632270532444,46,1564,0.2432571277592947,0.2452155176513542
1984,17-29 y.,5th Quintile,In the next 2 to 5 years,1.0,54,1564,1.0,1.0
1984,30-45 y.,1st Quintile,As soon as possible,0.41952928176657023,99,1564,0.41838760958535937,0.4206709539477811
1984,30-45 y.,1st Quintile,In the next 2 to 5 years,0.2702402104025808,58,1564,0.26921282102473343,0.27126759978042814
1984,30-45 y.,1st Quintile,"In the distant future, in more than five years",0.310230507830849,66,1564,0.3091603092662759,0.31130070639542207
1984,30-45 y.,2nd Quintile,As soon as possible,0.23363250199989985,43,1564,0.23236213264553168,0.23490287135426802
1984,30-45 y.,2nd Quintile,In the next 2 to 5 years,0.38702598503057833,45,1564,0.38556368686829134,0.3884882831928653
1984,30-45 y.,2nd Quintile,"In the distant future, in more than five years",0.37934151296952184,44,1564,0.3778847584475166,0.38079826749152706
1984,30-45 y.,3rd Quintile,"In the distant future, in more than five years",1.0,36,1564,1.0,1.0
1984,46-65 y.,1st Quintile,As soon as possible,1.0,53,1564,1.0,1.0
1985,17-29 y.,1st Quintile,As soon as possible,0.3388818315995849,124,1001,0.3380335773377023,0.3397300858614675
1985,17-29 y.,1st Quintile,Next year,0.2562343410225076,76,1001,0.25545199462042417,0.257016687424591
1985,17-29 y.,1st Quintile,In the next 2 to 5 years,0.305577006001288,97,1001,0.3047514724215241,0.3064025395810519
1985,17-29 y.,1st Quintile,"In the distant future, in more than five years",0.09930682137661954,35,1001,0.09877085155279101,0.09984279120044807
1985,17-29 y.,2nd Quintile,As soon as possible,0.3036104168842221,57,1001,0.3025260202954783,0.30469481347296584
1985,17-29 y.,2nd Quintile,Next year,0.3428841422553502,52,1001,0.34176470862580743,0.34400357588489294
1985,17-29 y.,2nd Quintile,In the next 2 to 5 years,0.35350544086042773,64,1001,0.3523780249382572,0.35463285678259826
1985,17-29 y.,3rd Quintile,As soon as possible,0.2688393301408013,47,1001,0.2677701625724249,0.2699084977091777
1985,17-29 y.,3rd Quintile,Next year,0.32919172799359525,49,1001,0.32805850174659235,0.33032495424059816
1985,17-29 y.,3rd Quintile,In the next 2 to 5 years,0.4019689418656035,62,1001,0.4007865781811369,0.4031513055500701
