year,quintil_oecd,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,As soon as possible,0.07905,141,229,0.04403,0.11408
1984,1st Quintile,male,Next year,0.02419,35,229,0.00425,0.04413
1984,1st Quintile,male,In the next 2 to 5 years,0.03681,53,229,0.01237,0.06126
1984,1st Quintile,female,As soon as possible,0.05685,137,463,0.03573,0.07796
1984,1st Quintile,female,Next year,0.02926,64,463,0.01389,0.04463
1984,1st Quintile,female,In the next 2 to 5 years,0.08064,152,463,0.05582,0.10547
1984,1st Quintile,female,"In the distant future, in more than five years",0.04808,110,463,0.02857,0.06759
1984,2nd Quintile,male,As soon as possible,0.03600,55,93,-0.00207,0.07407
1984,2nd Quintile,male,In the next 2 to 5 years,0.02679,38,93,-0.00621,0.05978
1984,2nd Quintile,female,As soon as possible,0.03314,80,341,0.01411,0.05217
1984,2nd Quintile,female,Next year,0.03903,62,341,0.01845,0.05962
1984,2nd Quintile,female,In the next 2 to 5 years,0.06372,117,341,0.03776,0.08968
1984,2nd Quintile,female,"In the distant future, in more than five years",0.04794,82,341,0.02523,0.07065
1984,3rd Quintile,male,As soon as possible,0.02391,41,83,-0.00916,0.05697
1984,3rd Quintile,male,In the next 2 to 5 years,0.03094,42,83,-0.00654,0.06842
1984,3rd Quintile,female,As soon as possible,0.02782,50,195,0.00468,0.05096
1984,3rd Quintile,female,In the next 2 to 5 years,0.05163,77,195,0.02049,0.08276
1984,3rd Quintile,female,"In the distant future, in more than five years",0.04858,68,195,0.01833,0.07884
1984,4th Quintile,male,As soon as possible,0.01974,36,76,-0.01174,0.05121
1984,4th Quintile,male,In the next 2 to 5 years,0.02929,40,76,-0.00887,0.06744
1984,4th Quintile,female,As soon as possible,0.02000,34,184,-0.00028,0.04029
1984,4th Quintile,female,Next year,0.02150,31,184,0.00049,0.04252
1984,4th Quintile,female,In the next 2 to 5 years,0.04374,61,184,0.01411,0.07338
1984,4th Quintile,female,"In the distant future, in more than five years",0.03785,58,184,0.01020,0.06550
1984,5th Quintile,male,In the next 2 to 5 years,0.02314,33,33,-0.02895,0.07524
1984,5th Quintile,female,In the next 2 to 5 years,0.03855,51,84,-0.00287,0.07996
1984,5th Quintile,female,"In the distant future, in more than five years",0.02277,33,84,-0.00932,0.05487
1985,1st Quintile,male,As soon as possible,0.09403,137,208,0.05427,0.13379
1985,1st Quintile,male,Next year,0.02696,32,208,0.00490,0.04903
1985,1st Quintile,male,In the next 2 to 5 years,0.03373,39,208,0.00913,0.05832
1985,1st Quintile,female,As soon as possible,0.06327,130,337,0.03724,0.08930
1985,1st Quintile,female,Next year,0.04120,72,337,0.01995,0.06245
1985,1st Quintile,female,In the next 2 to 5 years,0.04545,96,337,0.02318,0.06772
1985,1st Quintile,female,"In the distant future, in more than five years",0.01731,39,337,0.00337,0.03126
1985,2nd Quintile,male,As soon as possible,0.04734,63,126,0.01011,0.08457
1985,2nd Quintile,male,Next year,0.02454,31,126,-0.00258,0.05166
1985,2nd Quintile,male,In the next 2 to 5 years,0.02551,32,126,-0.00213,0.05315
1985,2nd Quintile,female,As soon as possible,0.03287,72,191,0.00751,0.05822
1985,2nd Quintile,female,Next year,0.03327,47,191,0.00777,0.05877
1985,2nd Quintile,female,In the next 2 to 5 years,0.04241,72,191,0.01375,0.07106
1985,3rd Quintile,male,As soon as possible,0.03234,47,85,-0.00549,0.07018
1985,3rd Quintile,male,In the next 2 to 5 years,0.02826,38,85,-0.00718,0.06370
1985,3rd Quintile,female,As soon as possible,0.02996,48,138,0.00141,0.05851
1985,3rd Quintile,female,Next year,0.02447,35,138,-0.00140,0.05034
1985,3rd Quintile,female,In the next 2 to 5 years,0.03944,55,138,0.00685,0.07204
1985,4th Quintile,female,In the next 2 to 5 years,0.02842,38,72,-0.01023,0.06707
1985,4th Quintile,female,"In the distant future, in more than five years",0.02528,34,72,-0.01123,0.06180
1985,5th Quintile,female,In the next 2 to 5 years,0.02715,34,34,-0.02830,0.08260
1986,1st Quintile,male,As soon as possible,0.07601,113,204,0.03956,0.11247
1986,1st Quintile,male,Next year,0.03804,45,204,0.01173,0.06436
1986,1st Quintile,male,In the next 2 to 5 years,0.04006,46,204,0.01308,0.06703
1986,1st Quintile,female,As soon as possible,0.07062,121,317,0.04237,0.09887
1986,1st Quintile,female,Next year,0.03211,60,317,0.01267,0.05155
1986,1st Quintile,female,In the next 2 to 5 years,0.03994,86,317,0.01835,0.06153
1986,1st Quintile,female,"In the distant future, in more than five years",0.02778,50,317,0.00966,0.04590
1986,2nd Quintile,male,As soon as possible,0.03298,53,96,-0.00293,0.06890
1986,2nd Quintile,male,In the next 2 to 5 years,0.02712,43,96,-0.00555,0.05978
1986,2nd Quintile,female,As soon as possible,0.02653,53,211,0.00480,0.04827
1986,2nd Quintile,female,Next year,0.02127,37,211,0.00175,0.04078
1986,2nd Quintile,female,In the next 2 to 5 years,0.04283,70,211,0.01544,0.07021
1986,2nd Quintile,female,"In the distant future, in more than five years",0.03530,51,211,0.01034,0.06026
1986,3rd Quintile,male,As soon as possible,0.02144,31,68,-0.01324,0.05612
1986,3rd Quintile,male,In the next 2 to 5 years,0.02267,37,68,-0.01297,0.05831
1986,3rd Quintile,female,As soon as possible,0.02208,35,138,-0.00253,0.04668
1986,3rd Quintile,female,In the next 2 to 5 years,0.03425,62,138,0.00379,0.06470
1986,3rd Quintile,female,"In the distant future, in more than five years",0.03090,41,138,0.00192,0.05988
1986,4th Quintile,female,As soon as possible,0.02859,36,117,-0.00174,0.05891
1986,4th Quintile,female,In the next 2 to 5 years,0.03620,47,117,0.00221,0.07020
1986,4th Quintile,female,"In the distant future, in more than five years",0.02404,34,117,-0.00383,0.05192
1987,1st Quintile,male,As soon as possible,0.08451,118,200,0.04586,0.12315
1987,1st Quintile,male,Next year,0.03313,42,200,0.00826,0.05800
1987,1st Quintile,male,In the next 2 to 5 years,0.03633,40,200,0.01033,0.06233
1987,1st Quintile,female,As soon as possible,0.06120,111,318,0.03481,0.08758
1987,1st Quintile,female,Next year,0.03670,71,318,0.01600,0.05740
1987,1st Quintile,female,In the next 2 to 5 years,0.04049,80,318,0.01879,0.06219
1987,1st Quintile,female,"In the distant future, in more than five years",0.03169,56,318,0.01241,0.05098
1987,2nd Quintile,male,As soon as possible,0.03095,46,83,-0.00653,0.06844
1987,2nd Quintile,male,In the next 2 to 5 years,0.02513,37,83,-0.00875,0.05901
1987,2nd Quintile,female,As soon as possible,0.02544,48,241,0.00552,0.04536
1987,2nd Quintile,female,Next year,0.03019,61,241,0.00854,0.05184
1987,2nd Quintile,female,In the next 2 to 5 years,0.05364,85,241,0.02514,0.08215
1987,2nd Quintile,female,"In the distant future, in more than five years",0.02743,47,241,0.00677,0.04810
1987,3rd Quintile,male,As soon as possible,0.02597,36,69,-0.01183,0.06377
1987,3rd Quintile,male,In the next 2 to 5 years,0.02105,33,69,-0.01307,0.05516
1987,3rd Quintile,female,As soon as possible,0.03302,48,158,0.00507,0.06097
1987,3rd Quintile,female,Next year,0.03297,48,158,0.00504,0.06090
1987,3rd Quintile,female,In the next 2 to 5 years,0.03998,62,158,0.00934,0.07063
1987,4th Quintile,female,In the next 2 to 5 years,0.04260,56,56,-0.01077,0.09597
1987,5th Quintile,male,In the next 2 to 5 years,0.02277,31,31,-0.03061,0.07615
1988,1st Quintile,male,As soon as possible,0.06951,104,193,0.03354,0.10549
1988,1st Quintile,male,Next year,0.04591,43,193,0.01631,0.07552
1988,1st Quintile,male,In the next 2 to 5 years,0.04126,46,193,0.01313,0.06939
1988,1st Quintile,female,As soon as possible,0.05075,90,305,0.02607,0.07542
1988,1st Quintile,female,Next year,0.03998,64,305,0.01796,0.06200
1988,1st Quintile,female,In the next 2 to 5 years,0.05857,107,305,0.03217,0.08497
1988,1st Quintile,female,"In the distant future, in more than five years",0.02262,44,305,0.00590,0.03933
1988,2nd Quintile,male,As soon as possible,0.02803,37,103,-0.00400,0.06007
1988,2nd Quintile,male,Next year,0.02748,32,103,-0.00425,0.05920
1988,2nd Quintile,male,In the next 2 to 5 years,0.02591,34,103,-0.00492,0.05674
1988,2nd Quintile,female,As soon as possible,0.02185,42,218,0.00240,0.04130
1988,2nd Quintile,female,Next year,0.02500,49,218,0.00423,0.04577
1988,2nd Quintile,female,In the next 2 to 5 years,0.04718,82,218,0.01897,0.07539
1988,2nd Quintile,female,"In the distant future, in more than five years",0.03145,45,218,0.00823,0.05467
1988,3rd Quintile,male,As soon as possible,0.02792,39,103,-0.00405,0.05989
1988,3rd Quintile,male,Next year,0.02589,31,103,-0.00493,0.05671
1988,3rd Quintile,male,In the next 2 to 5 years,0.02591,33,103,-0.00492,0.05674
1988,3rd Quintile,female,As soon as possible,0.02056,36,175,-0.00052,0.04165
1988,3rd Quintile,female,Next year,0.03376,48,175,0.00693,0.06060
1988,3rd Quintile,female,In the next 2 to 5 years,0.04452,58,175,0.01387,0.07516
1988,3rd Quintile,female,"In the distant future, in more than five years",0.02656,33,175,0.00267,0.05045
1988,4th Quintile,male,As soon as possible,0.01967,31,31,-0.03002,0.06937
1988,4th Quintile,female,As soon as possible,0.03767,44,122,0.00375,0.07160
1988,4th Quintile,female,Next year,0.02288,33,122,-0.00376,0.04952
1988,4th Quintile,female,In the next 2 to 5 years,0.03795,45,122,0.00390,0.07200
1988,5th Quintile,female,In the next 2 to 5 years,0.03191,36,36,-0.02632,0.09014
1989,1st Quintile,male,As soon as possible,0.07227,93,168,0.03300,0.11154
1989,1st Quintile,male,Next year,0.03419,37,168,0.00663,0.06176
1989,1st Quintile,male,In the next 2 to 5 years,0.03968,38,168,0.01008,0.06929
1989,1st Quintile,female,As soon as possible,0.04134,78,259,0.01705,0.06564
1989,1st Quintile,female,Next year,0.02935,53,259,0.00875,0.04994
1989,1st Quintile,female,In the next 2 to 5 years,0.04103,84,259,0.01682,0.06523
1989,1st Quintile,female,"In the distant future, in more than five years",0.01987,44,259,0.00284,0.03689
1989,2nd Quintile,male,As soon as possible,0.02990,42,77,-0.00839,0.06819
1989,2nd Quintile,male,In the next 2 to 5 years,0.02580,35,77,-0.00984,0.06144
1989,2nd Quintile,female,As soon as possible,0.01993,40,219,0.00138,0.03848
1989,2nd Quintile,female,Next year,0.02361,38,219,0.00345,0.04376
1989,2nd Quintile,female,In the next 2 to 5 years,0.05464,99,219,0.02447,0.08481
1989,2nd Quintile,female,"In the distant future, in more than five years",0.02969,42,219,0.00716,0.05222
1989,3rd Quintile,male,In the next 2 to 5 years,0.02796,36,36,-0.02666,0.08258
1989,3rd Quintile,female,In the next 2 to 5 years,0.05229,63,63,-0.00312,0.10770
1989,4th Quintile,male,In the next 2 to 5 years,0.02838,36,36,-0.02663,0.08339
1989,4th Quintile,female,In the next 2 to 5 years,0.03521,41,41,-0.02191,0.09232
1989,5th Quintile,female,In the next 2 to 5 years,0.03619,36,36,-0.02568,0.09806
1990,1st Quintile,male,As soon as possible,0.06010,78,122,0.01775,0.10245
1990,1st Quintile,male,Next year,0.03433,44,122,0.00189,0.06677
1990,1st Quintile,female,As soon as possible,0.03764,67,240,0.01351,0.06177
1990,1st Quintile,female,Next year,0.02190,42,240,0.00335,0.04046
1990,1st Quintile,female,In the next 2 to 5 years,0.04926,80,240,0.02182,0.07670
1990,1st Quintile,female,"In the distant future, in more than five years",0.03071,51,240,0.00883,0.05258
1990,2nd Quintile,male,In the next 2 to 5 years,0.02713,33,33,-0.02916,0.08342
1990,2nd Quintile,female,Next year,0.02726,44,176,0.00313,0.05139
1990,2nd Quintile,female,In the next 2 to 5 years,0.05829,89,176,0.02358,0.09300
1990,2nd Quintile,female,"In the distant future, in more than five years",0.03063,43,176,0.00510,0.05616
