year,migback,sex,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,No migration background,male,Easy,0.01835,100,461,0.00609,0.03062
1987,No migration background,male,Difficult,0.05302,251,461,0.03254,0.07349
1987,No migration background,male,Almost impossible,0.02515,110,461,0.01084,0.03946
1987,No migration background,female,Easy,0.03182,170,1242,0.02206,0.04159
1987,No migration background,female,Difficult,0.13020,699,1242,0.11148,0.14892
1987,No migration background,female,Almost impossible,0.07917,373,1242,0.06415,0.09420
1987,Direct migration background,male,Easy,0.01782,33,214,0.00005,0.03558
1987,Direct migration background,male,Difficult,0.05151,110,214,0.02182,0.08119
1987,Direct migration background,male,Almost impossible,0.04672,71,214,0.01838,0.07506
1987,Direct migration background,female,Easy,0.02412,42,592,0.01175,0.03649
1987,Direct migration background,female,Difficult,0.18286,304,592,0.15169,0.21402
1987,Direct migration background,female,Almost impossible,0.16955,246,592,0.13929,0.19980
1988,No migration background,male,Easy,0.02623,116,430,0.01110,0.04135
1988,No migration background,male,Difficult,0.05014,224,430,0.02949,0.07079
1988,No migration background,male,Almost impossible,0.02297,90,430,0.00880,0.03715
1988,No migration background,female,Easy,0.02780,152,1169,0.01837,0.03723
1988,No migration background,female,Difficult,0.12710,638,1169,0.10800,0.14620
1988,No migration background,female,Almost impossible,0.08279,379,1169,0.06699,0.09859
1988,Direct migration background,male,Difficult,0.06486,109,175,0.02827,0.10146
1988,Direct migration background,male,Almost impossible,0.03704,66,175,0.00898,0.06510
1988,Direct migration background,female,Easy,0.01858,41,563,0.00742,0.02975
1988,Direct migration background,female,Difficult,0.17634,274,563,0.14483,0.20784
1988,Direct migration background,female,Almost impossible,0.16525,248,563,0.13455,0.19596
1988,Indirect migration background,female,Difficult,0.03569,34,34,-0.02761,0.09899
1989,No migration background,male,Easy,0.02447,107,381,0.00893,0.04000
1989,No migration background,male,Difficult,0.04547,191,381,0.02453,0.06642
1989,No migration background,male,Almost impossible,0.02059,83,381,0.00631,0.03487
1989,No migration background,female,Easy,0.03377,176,1050,0.02284,0.04470
1989,No migration background,female,Difficult,0.11431,544,1050,0.09506,0.13357
1989,No migration background,female,Almost impossible,0.07540,330,1050,0.05942,0.09138
1989,Direct migration background,male,Difficult,0.05406,77,141,0.01660,0.09152
1989,Direct migration background,male,Almost impossible,0.03854,64,141,0.00665,0.07043
1989,Direct migration background,female,Easy,0.04131,57,544,0.02457,0.05805
1989,Direct migration background,female,Difficult,0.15601,248,544,0.12548,0.18653
1989,Direct migration background,female,Almost impossible,0.17277,239,544,0.14097,0.20457
1989,Indirect migration background,female,Difficult,0.03542,35,35,-0.02671,0.09756
1990,No migration background,male,Easy,0.02473,148,462,0.01055,0.03891
1990,No migration background,male,Difficult,0.03737,225,462,0.02006,0.05469
1990,No migration background,male,Almost impossible,0.01652,89,462,0.00488,0.02815
1990,No migration background,female,Easy,0.03064,214,1219,0.02096,0.04032
1990,No migration background,female,Difficult,0.09394,649,1219,0.07755,0.11032
1990,No migration background,female,Almost impossible,0.05974,356,1219,0.04643,0.07305
1990,Direct migration background,male,Easy,0.03072,31,176,0.00515,0.05628
1990,Direct migration background,male,Difficult,0.03495,75,176,0.00774,0.06216
1990,Direct migration background,male,Almost impossible,0.04195,70,176,0.01225,0.07165
1990,Direct migration background,female,Easy,0.03483,55,514,0.01896,0.05069
1990,Direct migration background,female,Difficult,0.16186,254,514,0.12998,0.19373
1990,Direct migration background,female,Almost impossible,0.13106,205,514,0.10186,0.16026
1990,Indirect migration background,female,Difficult,0.02479,31,31,-0.03085,0.08042
1991,No migration background,male,Easy,0.02272,149,541,0.01015,0.03529
1991,No migration background,male,Difficult,0.03760,257,541,0.02156,0.05365
1991,No migration background,male,Almost impossible,0.02164,135,541,0.00937,0.03391
1991,No migration background,female,Easy,0.03401,231,1335,0.02428,0.04374
1991,No migration background,female,Difficult,0.09870,699,1335,0.08270,0.11471
1991,No migration background,female,Almost impossible,0.06213,405,1335,0.04918,0.07509
1991,Direct migration background,male,Difficult,0.04038,71,130,0.00641,0.07435
1991,Direct migration background,male,Almost impossible,0.04049,59,130,0.00647,0.07450
1991,Direct migration background,female,Easy,0.03846,57,473,0.02111,0.05580
1991,Direct migration background,female,Difficult,0.14452,222,473,0.11280,0.17625
1991,Direct migration background,female,Almost impossible,0.12447,194,473,0.09469,0.15426
1991,Indirect migration background,female,Difficult,0.03177,35,35,-0.02718,0.09072
1992,No migration background,male,Easy,0.02716,156,570,0.01381,0.04052
1992,No migration background,male,Difficult,0.03772,276,570,0.02206,0.05337
1992,No migration background,male,Almost impossible,0.02383,138,570,0.01130,0.03637
1992,No migration background,female,Easy,0.04153,284,1423,0.03116,0.05190
1992,No migration background,female,Difficult,0.10275,743,1423,0.08697,0.11853
1992,No migration background,female,Almost impossible,0.05701,396,1423,0.04496,0.06906
1992,Direct migration background,male,Difficult,0.04729,68,126,0.01008,0.08451
1992,Direct migration background,male,Almost impossible,0.04427,58,126,0.00821,0.08032
1992,Direct migration background,female,Easy,0.04211,64,478,0.02409,0.06014
1992,Direct migration background,female,Difficult,0.14199,215,478,0.11067,0.17331
