,Unnamed: 0,year,bula_h,quintil_oecd,plb0426,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,1.0,46,252,0.80111,1.21321
1,1,1994,North Rhine-Westphalia,2nd Quintile,In my current field/ field I was trained in,0.6211,39,252,0.48803,0.76452
2,2,1994,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,0.3789,31,252,0.28066,0.5615
3,3,1994,North Rhine-Westphalia,3rd Quintile,In my current field/ field I was trained in,1.0,33,252,0.80272,1.23737
4,4,1994,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,35,252,0.73899,1.32756
5,5,1994,Saxony,2nd Quintile,Does not matter,1.0,31,252,0.86314,1.1371
6,6,1994,Thuringa,1st Quintile,Does not matter,1.0,37,252,0.82452,1.17061
7,7,1996,North Rhine-Westphalia,1st Quintile,In my current field/ field I was trained in,0.31198,34,341,0.23089,0.40868
8,8,1996,North Rhine-Westphalia,1st Quintile,Does not matter,0.33704,42,341,0.26244,0.41856
9,9,1996,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.35099,49,341,0.28264,0.42646
10,10,1996,North Rhine-Westphalia,2nd Quintile,In my current field/ field I was trained in,0.58459,38,341,0.44762,0.74057
11,11,1996,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,0.41541,32,341,0.35085,0.49389
12,12,1996,Baden-Wuerttemberg,1st Quintile,Does not matter,0.5245,31,341,0.30771,0.75728
13,13,1996,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,0.4755,45,341,0.35008,0.62709
14,14,1996,Baden-Wuerttemberg,2nd Quintile,Does not apply/do not (yet) have a job,1.0,35,341,0.66128,1.39522
15,15,1996,Saxony,1st Quintile,Does not matter,1.0,35,341,0.87305,1.16038
16,16,1997,North Rhine-Westphalia,1st Quintile,In my current field/ field I was trained in,0.32477,36,267,0.26469,0.3976
17,17,1997,North Rhine-Westphalia,1st Quintile,Does not matter,0.34993,34,267,0.26011,0.43269
18,18,1997,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.32529,39,267,0.23891,0.40264
19,19,1997,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,1.0,41,267,0.78598,1.21664
20,20,1997,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,44,267,0.67622,1.33538
21,21,1997,Baden-Wuerttemberg,2nd Quintile,Does not apply/do not (yet) have a job,1.0,33,267,0.70891,1.29543
22,22,1997,Saxony,1st Quintile,Does not matter,1.0,40,267,0.78856,1.27232
23,23,1998,North Rhine-Westphalia,1st Quintile,In my current field/ field I was trained in,0.36779,45,168,0.28279,0.45245
24,24,1998,North Rhine-Westphalia,1st Quintile,Does not matter,0.2927,37,168,0.24959,0.34196
25,25,1998,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.33951,48,168,0.28053,0.40307
26,26,1998,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,38,168,0.62851,1.45764
27,27,1999,North Rhine-Westphalia,1st Quintile,Does not matter,0.42962,42,182,0.3371,0.5274
28,28,1999,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.57038,43,182,0.47063,0.67676
29,29,1999,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,1.0,31,182,0.79701,1.22718
30,30,1999,Baden-Wuerttemberg,1st Quintile,Does not matter,1.0,32,182,0.76632,1.22847
31,31,1999,Saxony,1st Quintile,Does not matter,1.0,34,182,0.7904,1.21036
32,32,2000,North Rhine-Westphalia,1st Quintile,Does not matter,0.51977,37,179,0.40746,0.63192
33,33,2000,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.48023,36,179,0.38648,0.59066
34,34,2000,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,1.0,35,179,0.82904,1.19868
35,35,2000,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,40,179,0.77069,1.26223
36,36,2000,Saxony,1st Quintile,Does not matter,1.0,31,179,0.81761,1.20444
37,37,2001,Lower Saxony,1st Quintile,Does not apply/do not (yet) have a job,1.0,31,609,0.83226,1.18611
38,38,2001,North Rhine-Westphalia,1st Quintile,In my current field/ field I was trained in,0.24407,41,609,0.19362,0.28936
39,39,2001,North Rhine-Westphalia,1st Quintile,Does not matter,0.29127,51,609,0.24719,0.34494
40,40,2001,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.46466,72,609,0.40515,0.52308
41,41,2001,North Rhine-Westphalia,2nd Quintile,In my current field/ field I was trained in,0.4116,35,609,0.34068,0.5138
42,42,2001,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,0.5884,45,609,0.48381,0.68986
43,43,2001,North Rhine-Westphalia,3rd Quintile,In my current field/ field I was trained in,1.0,35,609,0.86305,1.17075
44,44,2001,North Rhine-Westphalia,4th Quintile,In my current field/ field I was trained in,0.50221,33,609,0.39761,0.6467
45,45,2001,North Rhine-Westphalia,4th Quintile,Does not apply/do not (yet) have a job,0.49779,35,609,0.42438,0.57538
46,46,2001,North Rhine-Westphalia,5th Quintile,Does not apply/do not (yet) have a job,1.0,33,609,0.85656,1.1413
47,47,2001,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,34,609,0.80915,1.19028
48,48,2001,Baden-Wuerttemberg,2nd Quintile,Does not apply/do not (yet) have a job,1.0,34,609,0.73731,1.23776
49,49,2001,Bavaria,4th Quintile,Does not apply/do not (yet) have a job,1.0,31,609,0.81235,1.23707
50,50,2001,Saxony,1st Quintile,Does not matter,1.0,54,609,0.88383,1.15796
51,51,2001,Thuringa,1st Quintile,Does not matter,1.0,45,609,0.81654,1.1767
52,52,2003,North Rhine-Westphalia,1st Quintile,In my current field/ field I was trained in,0.19713,31,747,0.15855,0.25241
53,53,2003,North Rhine-Westphalia,1st Quintile,Does not matter,0.44521,71,747,0.37332,0.51621
54,54,2003,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.35766,51,747,0.29508,0.43201
55,55,2003,North Rhine-Westphalia,2nd Quintile,In my current field/ field I was trained in,0.39116,34,747,0.3317,0.46158
