year,migback,sex,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,male,In my current field/ field I was trained in,0.03041,192,525,0.01571,0.04511
1994,No migration background,male,Do something new,0.01156,76,525,0.00241,0.02071
1994,No migration background,male,Does not matter,0.01557,121,525,0.00497,0.02617
1994,No migration background,male,Does not apply/do not (yet) have a job,0.02381,136,525,0.01075,0.03686
1994,No migration background,female,In my current field/ field I was trained in,0.05235,365,1013,0.03863,0.06608
1994,No migration background,female,Do something new,0.02052,149,1013,0.01179,0.02926
1994,No migration background,female,Does not matter,0.03718,308,1013,0.02552,0.04883
1994,No migration background,female,Does not apply/do not (yet) have a job,0.02397,191,1013,0.01455,0.03340
1994,Direct migration background,male,In my current field/ field I was trained in,0.03449,36,87,-0.00408,0.07305
1994,Direct migration background,male,Does not matter,0.03978,51,87,-0.00153,0.08109
1994,Direct migration background,female,In my current field/ field I was trained in,0.03504,41,174,0.00764,0.06245
1994,Direct migration background,female,Does not matter,0.03550,55,174,0.00793,0.06307
1994,Direct migration background,female,Does not apply/do not (yet) have a job,0.04864,78,174,0.01659,0.08070
1994,Indirect migration background,male,Does not apply/do not (yet) have a job,0.08870,58,58,0.01489,0.16251
1994,Indirect migration background,female,Does not apply/do not (yet) have a job,0.07937,52,52,0.00518,0.15356
1996,No migration background,male,In my current field/ field I was trained in,0.02443,173,538,0.01137,0.03748
1996,No migration background,male,Do something new,0.01584,94,538,0.00528,0.02640
1996,No migration background,male,Does not matter,0.01870,128,538,0.00724,0.03016
1996,No migration background,male,Does not apply/do not (yet) have a job,0.02066,143,538,0.00863,0.03269
1996,No migration background,female,In my current field/ field I was trained in,0.04352,319,978,0.03072,0.05631
1996,No migration background,female,Do something new,0.02475,154,978,0.01500,0.03449
1996,No migration background,female,Does not matter,0.04191,324,978,0.02934,0.05447
1996,No migration background,female,Does not apply/do not (yet) have a job,0.02444,181,978,0.01476,0.03412
1996,Direct migration background,male,In my current field/ field I was trained in,0.02925,41,140,0.00124,0.05727
1996,Direct migration background,male,Does not matter,0.03486,57,140,0.00436,0.06535
1996,Direct migration background,male,Does not apply/do not (yet) have a job,0.03051,42,140,0.00192,0.05911
1996,Direct migration background,female,In my current field/ field I was trained in,0.05403,54,281,0.02755,0.08051
1996,Direct migration background,female,Do something new,0.03987,36,281,0.01695,0.06279
1996,Direct migration background,female,Does not matter,0.06536,88,281,0.03641,0.09431
1996,Direct migration background,female,Does not apply/do not (yet) have a job,0.05056,103,281,0.02490,0.07623
1996,Indirect migration background,male,Does not apply/do not (yet) have a job,0.08272,57,57,0.01057,0.15486
1996,Indirect migration background,female,Does not apply/do not (yet) have a job,0.07131,61,61,0.00619,0.13642
1997,No migration background,male,In my current field/ field I was trained in,0.02429,146,535,0.01123,0.03734
1997,No migration background,male,Do something new,0.01505,81,535,0.00472,0.02538
1997,No migration background,male,Does not matter,0.02224,156,535,0.00973,0.03474
1997,No migration background,male,Does not apply/do not (yet) have a job,0.02159,152,535,0.00926,0.03392
1997,No migration background,female,In my current field/ field I was trained in,0.04067,304,956,0.02814,0.05320
1997,No migration background,female,Do something new,0.02369,138,956,0.01404,0.03333
1997,No migration background,female,Does not matter,0.04494,318,956,0.03180,0.05808
1997,No migration background,female,Does not apply/do not (yet) have a job,0.02683,196,956,0.01658,0.03708
1997,Direct migration background,male,In my current field/ field I was trained in,0.03003,33,150,0.00262,0.05743
1997,Direct migration background,male,Does not matter,0.04319,67,150,0.01055,0.07583
1997,Direct migration background,male,Does not apply/do not (yet) have a job,0.03142,50,150,0.00341,0.05943
1997,Direct migration background,female,In my current field/ field I was trained in,0.05920,55,253,0.03006,0.08834
1997,Direct migration background,female,Does not matter,0.05390,89,253,0.02602,0.08179
1997,Direct migration background,female,Does not apply/do not (yet) have a job,0.06455,109,253,0.03421,0.09489
1997,Indirect migration background,male,Does not apply/do not (yet) have a job,0.09361,66,66,0.02280,0.16442
1997,Indirect migration background,female,Does not apply/do not (yet) have a job,0.06400,55,55,-0.00128,0.12929
1998,No migration background,male,In my current field/ field I was trained in,0.02128,170,591,0.00964,0.03293
1998,No migration background,male,Do something new,0.01185,80,591,0.00312,0.02058
1998,No migration background,male,Does not matter,0.01928,146,591,0.00818,0.03037
1998,No migration background,male,Does not apply/do not (yet) have a job,0.02559,195,591,0.01284,0.03833
1998,No migration background,female,In my current field/ field I was trained in,0.04378,344,1051,0.03141,0.05616
1998,No migration background,female,Do something new,0.01820,133,1051,0.01011,0.02629
