year,sampreg,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,West,Very often,0.03378467014986826,713,22027,0.033741601739128595,0.033827738560607924
2003,West,Often,0.1319496738239355,2874,22027,0.13186899888309012,0.13203034876478087
2003,West,Sometimes,0.27565076599311034,5923,22027,0.27554424979732656,0.2757572821888941
2003,West,Seldom,0.2158321966659508,4465,22027,0.2157341292658529,0.2159302640660487
2003,West,Never,0.15399211942748467,2735,22027,0.15390607980518325,0.15407815904978608
2003,East,Very often,0.006548237871112724,192,22027,0.006529011485049246,0.006567464257176202
2003,East,Often,0.028647122330080987,846,22027,0.028607358239017906,0.02868688642114407
2003,East,Sometimes,0.05929466463909725,1761,22027,0.05923836616098057,0.05935096311721393
2003,East,Seldom,0.054041719525956704,1557,22027,0.05398782277146584,0.05409561628044757
2003,East,Never,0.04025882957340278,961,22027,0.040211973091475915,0.040305686055329644
2008,West,Very often,0.026528007104313394,477,19174,0.02648973577391388,0.026566278434712907
2008,West,Often,0.12502016399166416,2325,19174,0.12494139621793472,0.1250989317653936
2008,West,Sometimes,0.27432512366211287,4946,19174,0.2742188652425896,0.27443138208163614
2008,West,Seldom,0.23359654623738607,4195,19174,0.23349577851287467,0.23369731396189747
2008,West,Never,0.15427381681278093,2493,19174,0.154187792637706,0.15435984098785588
2008,East,Very often,0.004746862555713582,131,19174,0.004730493274015239,0.004763231837411925
2008,East,Often,0.027025607961877345,687,19174,0.026986989234542732,0.02706422668921196
2008,East,Sometimes,0.0617905515874968,1614,19174,0.06173320990211789,0.06184789327287571
2008,East,Seldom,0.05841492742547778,1469,19174,0.058359073819173386,0.05847078103178218
2008,East,Never,0.03427839266117699,837,19174,0.0342350619601539,0.03432172336220009
2013,West,Very often,0.021024663908880373,552,25410,0.020988542547878054,0.02106078526988269
2013,West,Often,0.12468566997274068,3323,25410,0.12460249283143655,0.1247688471140448
2013,West,Sometimes,0.27226618549017223,6953,25410,0.27215411356553715,0.2723782574148073
2013,West,Seldom,0.25804849844552713,6128,25410,0.25793833129248633,0.2581586655985679
2013,West,Never,0.13144555854714404,2756,25410,0.13136048683370238,0.1315306302605857
2013,East,Very often,0.003133960557996117,121,25410,0.0031198878115473666,0.0031480333044448675
2013,East,Often,0.02206438093231557,704,25410,0.022027396862098658,0.022101365002532482
2013,East,Sometimes,0.06320854226206668,1821,25410,0.06314727576536525,0.06326980875876811
2013,East,Seldom,0.06401078307464614,1923,25410,0.06394915541263334,0.06407241073665894
2013,East,Never,0.04011175680851102,1129,25410,0.04006235306284658,0.040161160554175464
2018,West,Very often,0.03247728460555324,820,25559,0.03243515380946597,0.032519415401640515
2018,West,Often,0.14415739317144075,3548,25559,0.14407391082704546,0.14424087551583603
2018,West,Sometimes,0.28643299273863054,7147,25559,0.28632554231650675,0.28654044316075433
2018,West,Seldom,0.2423674163053082,5765,25559,0.24226556990974538,0.24246926270087102
2018,West,Never,0.122107774925517,2798,25559,0.12202995846285992,0.12218559138817407
2018,East,Very often,0.0038652590774585294,158,25559,0.0038505112661435218,0.003880006888773537
2018,East,Often,0.024143290296259376,742,25559,0.024106808981695142,0.02417977161082361
2018,East,Sometimes,0.05648162187713519,1784,25559,0.05642675528498819,0.056536488469282185
2018,East,Seldom,0.05540482452969084,1768,25559,0.05535045245832493,0.05545919660105675
2018,East,Never,0.032562142473006414,1029,25559,0.03251995852238448,0.03260432642362835
