year,bula_h,pgisced97,ple0004,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,Pre-primary Level,Not at all,0.9545454545454546,28961,0.9521464213293297,0.9569444877615795
2002,Schleswig-Holstein,Pre-primary Level,Strong,0.045454545454545456,28961,0.04305551223842055,0.04785357867067036
2002,Schleswig-Holstein,Primary Level,Strong,0.42857142857142855,28961,0.4228718613840531,0.434270995758804
2002,Schleswig-Holstein,Primary Level,Not at all,0.2857142857142857,28961,0.2805113165200493,0.2909172549085221
2002,Schleswig-Holstein,Primary Level,A Little,0.2857142857142857,28961,0.2805113165200493,0.2909172549085221
2002,Schleswig-Holstein,Lower Secondary Level,Not at all,0.5227272727272727,28961,0.5169745931655897,0.5284799522889557
2002,Schleswig-Holstein,Lower Secondary Level,A Little,0.3068181818181818,28961,0.3015067278503514,0.31212963578601227
2002,Schleswig-Holstein,Lower Secondary Level,Strong,0.17045454545454544,28961,0.1661236900707432,0.17478540083834768
2002,Schleswig-Holstein,Upper Secondary Level,Not at all,0.662303664921466,28961,0.6568568697051204,0.6677504601378116
2002,Schleswig-Holstein,Upper Secondary Level,A Little,0.2198952879581152,28961,0.21512511960635627,0.2246654563098741
2002,Schleswig-Holstein,Upper Secondary Level,Strong,0.11780104712041885,28961,0.11408819938616693,0.12151389485467076
2002,Schleswig-Holstein,Post-secondary Non-tertiary Level,Not at all,0.6944444444444444,28961,0.6891391054314301,0.6997497834574588
2002,Schleswig-Holstein,Post-secondary Non-tertiary Level,A Little,0.25,28961,0.24501287871104643,0.25498712128895357
2002,Schleswig-Holstein,Post-secondary Non-tertiary Level,Strong,0.05555555555555555,28961,0.052917394833368575,0.05819371627774253
2002,Schleswig-Holstein,First Stage of Tertiary Education,Not at all,0.7037037037037037,28961,0.6984446534069602,0.7089627540004473
2002,Schleswig-Holstein,First Stage of Tertiary Education,A Little,0.2777777777777778,28961,0.272619158606938,0.2829363969486176
2002,Schleswig-Holstein,First Stage of Tertiary Education,Strong,0.018518518518518517,28961,0.016965797365497876,0.02007123967153916
