"ple0004","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stark","2002","Staedtischer Raum","Westdeutschland","1279","","",""
"Stark","2002","Staedtischer Raum","Ostdeutschland","158","","",""
"Stark","2002","Laendlicher Raum","Westdeutschland","354","0.102843493547707","0.0935671951364241","0.112119791958989"
"Stark","2002","Laendlicher Raum","Ostdeutschland","417","0.134625106583127","0.123555099921553","0.145695113244701"
"Ein wenig","2002","Staedtischer Raum","Westdeutschland","3511","0.287633721370592","0.279979218405246","0.295288224335937"
"Ein wenig","2002","Staedtischer Raum","Ostdeutschland","569","0.335397055175123","0.313377248860858","0.357416861489388"
"Ein wenig","2002","Laendlicher Raum","Westdeutschland","1153","","",""
"Ein wenig","2002","Laendlicher Raum","Ostdeutschland","1202","","",""
"Gar nicht","2002","Staedtischer Raum","Westdeutschland","8644","0.590684758474434","0.58236994981329","0.598999567135578"
"Gar nicht","2002","Staedtischer Raum","Ostdeutschland","1039","","",""
"Gar nicht","2002","Laendlicher Raum","Westdeutschland","2612","","",""
"Gar nicht","2002","Laendlicher Raum","Ostdeutschland","2033","","",""
"Stark","2003","Staedtischer Raum","Westdeutschland","","","",""
"Stark","2003","Staedtischer Raum","Ostdeutschland","","","",""
"Stark","2003","Laendlicher Raum","Westdeutschland","","","",""
"Stark","2003","Laendlicher Raum","Ostdeutschland","","","",""
"Ein wenig","2003","Staedtischer Raum","Westdeutschland","","","",""
"Ein wenig","2003","Staedtischer Raum","Ostdeutschland","","","",""
"Ein wenig","2003","Laendlicher Raum","Westdeutschland","","","",""
"Ein wenig","2003","Laendlicher Raum","Ostdeutschland","","","",""
"Gar nicht","2003","Staedtischer Raum","Westdeutschland","","","",""
"Gar nicht","2003","Staedtischer Raum","Ostdeutschland","","","",""
"Gar nicht","2003","Laendlicher Raum","Westdeutschland","","","",""
"Gar nicht","2003","Laendlicher Raum","Ostdeutschland","","","",""
"Stark","2004","Staedtischer Raum","Westdeutschland","1229","","",""
"Stark","2004","Staedtischer Raum","Ostdeutschland","187","","",""
"Stark","2004","Laendlicher Raum","Westdeutschland","333","0.106257913584732","0.096481630743798","0.116034196425665"
"Stark","2004","Laendlicher Raum","Ostdeutschland","386","0.137427231534488","0.125941809237124","0.148912653831852"
"Ein wenig","2004","Staedtischer Raum","Westdeutschland","3312","0.288253369712424","0.280320887077281","0.296185852347566"
"Ein wenig","2004","Staedtischer Raum","Ostdeutschland","569","0.326185779002574","0.304270790185823","0.348100767819325"
"Ein wenig","2004","Laendlicher Raum","Westdeutschland","1098","","",""
"Ein wenig","2004","Laendlicher Raum","Ostdeutschland","1149","","",""
"Gar nicht","2004","Staedtischer Raum","Westdeutschland","7984","0.585395179427584","0.576767361566155","0.594022997289013"
"Gar nicht","2004","Staedtischer Raum","Ostdeutschland","1002","","",""
"Gar nicht","2004","Laendlicher Raum","Westdeutschland","2386","","",""
"Gar nicht","2004","Laendlicher Raum","Ostdeutschland","1917","","",""
"Stark","2005","Staedtischer Raum","Westdeutschland","","","",""
"Stark","2005","Staedtischer Raum","Ostdeutschland","","","",""
"Stark","2005","Laendlicher Raum","Westdeutschland","","","",""
"Stark","2005","Laendlicher Raum","Ostdeutschland","","","",""
"Ein wenig","2005","Staedtischer Raum","Westdeutschland","","","",""
"Ein wenig","2005","Staedtischer Raum","Ostdeutschland","","","",""
"Ein wenig","2005","Laendlicher Raum","Westdeutschland","","","",""
"Ein wenig","2005","Laendlicher Raum","Ostdeutschland","","","",""
"Gar nicht","2005","Staedtischer Raum","Westdeutschland","","","",""
"Gar nicht","2005","Staedtischer Raum","Ostdeutschland","","","",""
"Gar nicht","2005","Laendlicher Raum","Westdeutschland","","","",""
"Gar nicht","2005","Laendlicher Raum","Ostdeutschland","","","",""
"Stark","2006","Staedtischer Raum","Westdeutschland","1224","","",""
"Stark","2006","Staedtischer Raum","Ostdeutschland","185","","",""
"Stark","2006","Laendlicher Raum","Westdeutschland","435","0.123570969970581","0.11339537692558","0.133746563015583"
"Stark","2006","Laendlicher Raum","Ostdeutschland","397","0.129805210781202","0.118708750992295","0.140901670570109"
"Ein wenig","2006","Staedtischer Raum","Westdeutschland","3503","0.297413075821026","0.289443746115092","0.30538240552696"
"Ein wenig","2006","Staedtischer Raum","Ostdeutschland","607","0.345383032365995","0.323047678704541","0.367718386027449"
"Ein wenig","2006","Laendlicher Raum","Westdeutschland","1188","","",""
"Ein wenig","2006","Laendlicher Raum","Ostdeutschland","1273","","",""
"Gar nicht","2006","Staedtischer Raum","Westdeutschland","7912","0.589214794504912","0.580637783791011","0.597791805218813"
"Gar nicht","2006","Staedtischer Raum","Ostdeutschland","949","0.521630614754044","0.498166080919477","0.54509514858861"
"Gar nicht","2006","Laendlicher Raum","Westdeutschland","2395","","",""
"Gar nicht","2006","Laendlicher Raum","Ostdeutschland","1854","","",""
"Stark","2007","Staedtischer Raum","Westdeutschland","","","",""
"Stark","2007","Staedtischer Raum","Ostdeutschland","","","",""
"Stark","2007","Laendlicher Raum","Westdeutschland","","","",""
"Stark","2007","Laendlicher Raum","Ostdeutschland","","","",""
"Ein wenig","2007","Staedtischer Raum","Westdeutschland","","","",""
"Ein wenig","2007","Staedtischer Raum","Ostdeutschland","","","",""
"Ein wenig","2007","Laendlicher Raum","Westdeutschland","","","",""
"Ein wenig","2007","Laendlicher Raum","Ostdeutschland","","","",""
"Gar nicht","2007","Staedtischer Raum","Westdeutschland","","","",""
"Gar nicht","2007","Staedtischer Raum","Ostdeutschland","","","",""
"Gar nicht","2007","Laendlicher Raum","Westdeutschland","","","",""
"Gar nicht","2007","Laendlicher Raum","Ostdeutschland","","","",""
"Stark","2008","Staedtischer Raum","Westdeutschland","1096","","",""
"Stark","2008","Staedtischer Raum","Ostdeutschland","168","","",""
"Stark","2008","Laendlicher Raum","Westdeutschland","388","0.121209702391266","0.110421850458614","0.131997554323917"
"Stark","2008","Laendlicher Raum","Ostdeutschland","364","0.121784624498744","0.110364007613573","0.133205241383914"
"Ein wenig","2008","Staedtischer Raum","Westdeutschland","3048","0.292363524404432","0.283861214623221","0.300865834185643"
"Ein wenig","2008","Staedtischer Raum","Ostdeutschland","530","0.32294024341189","0.300106616254413","0.345773870569366"
"Ein wenig","2008","Laendlicher Raum","Westdeutschland","1060","","",""
"Ein wenig","2008","Laendlicher Raum","Ostdeutschland","1120","","",""
"Gar nicht","2008","Staedtischer Raum","Westdeutschland","6850","0.592779668566956","0.583595674361862","0.601963662772049"
"Gar nicht","2008","Staedtischer Raum","Ostdeutschland","913","0.558784198749402","0.53453776289068","0.583030634608124"
"Gar nicht","2008","Laendlicher Raum","Westdeutschland","2068","","",""
"Gar nicht","2008","Laendlicher Raum","Ostdeutschland","1666","","",""
"Stark","2009","Staedtischer Raum","Westdeutschland","","","",""
"Stark","2009","Staedtischer Raum","Ostdeutschland","","","",""
"Stark","2009","Laendlicher Raum","Westdeutschland","","","",""
"Stark","2009","Laendlicher Raum","Ostdeutschland","","","",""
"Ein wenig","2009","Staedtischer Raum","Westdeutschland","","","",""
"Ein wenig","2009","Staedtischer Raum","Ostdeutschland","","","",""
"Ein wenig","2009","Laendlicher Raum","Westdeutschland","","","",""
"Ein wenig","2009","Laendlicher Raum","Ostdeutschland","","","",""
"Gar nicht","2009","Staedtischer Raum","Westdeutschland","","","",""
"Gar nicht","2009","Staedtischer Raum","Ostdeutschland","","","",""
