"ple0009","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, stark eingeschraenkt","2011","2042","","",""
"Ja, etwas eingeschraenkt","2011","4361","0.220764325638024","0.215097841001291","0.226430810274757"
"Nein, nicht eingeschraenkt","2011","14178","","",""
"Ja, stark eingeschraenkt","2012","2505","","",""
"Ja, etwas eingeschraenkt","2012","6673","0.267316271062551","0.262039791679098","0.272592750446003"
"Nein, nicht eingeschraenkt","2012","17846","","",""
"Ja, stark eingeschraenkt","2013","2567","","",""
"Ja, etwas eingeschraenkt","2013","6711","0.243259346638933","0.238431076611656","0.248087616666209"
"Nein, nicht eingeschraenkt","2013","21056","","",""
"Ja, stark eingeschraenkt","2014","","","",""
"Ja, etwas eingeschraenkt","2014","","","",""
"Nein, nicht eingeschraenkt","2014","","","",""
"Ja, stark eingeschraenkt","2015","2298","","",""
"Ja, etwas eingeschraenkt","2015","6095","0.250993425276554","0.245757846061401","0.256229004491706"
"Nein, nicht eingeschraenkt","2015","17953","","",""
"Ja, stark eingeschraenkt","2016","150","","",""
"Ja, etwas eingeschraenkt","2016","484","0.141946507247078","0.129279504396638","0.154613510097518"
"Nein, nicht eingeschraenkt","2016","2282","","",""
"Ja, stark eingeschraenkt","2017","2367","","",""
"Ja, etwas eingeschraenkt","2017","6508","0.256784403356108","0.251679295130459","0.261889511581758"
"Nein, nicht eingeschraenkt","2017","19255","","",""
"Ja, stark eingeschraenkt","2018","19","","",""
"Ja, etwas eingeschraenkt","2018","58","0.164992515876097","0.127525015322808","0.202460016429386"
"Nein, nicht eingeschraenkt","2018","300","0.792838627716055","0.751929124459971","0.83374813097214"
"Ja, stark eingeschraenkt","2019","2480","","",""
"Ja, etwas eingeschraenkt","2019","6959","0.264229277543182","0.259157195229109","0.269301359857255"
"Nein, nicht eingeschraenkt","2019","19591","","",""
"Ja, stark eingeschraenkt","2020","167","","",""
"Ja, etwas eingeschraenkt","2020","414","0.0950823860480453","0.0856815420344191","0.104483230061671"
"Nein, nicht eingeschraenkt","2020","3159","0.856890074689862","0.845667055030425","0.868113094349299"
