"ple0011","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2011","Westdeutschland","1437","","",""
"Ja","2011","Ostdeutschland","427","0.0929328329501266","0.0848076547076953","0.101058011192558"
"Nein","2011","Westdeutschland","14403","","",""
"Nein","2011","Ostdeutschland","4478","0.907067167049873","0.898941988807442","0.915192345292305"
"Ja","2012","Westdeutschland","","","",""
"Ja","2012","Ostdeutschland","","","",""
"Nein","2012","Westdeutschland","","","",""
"Nein","2012","Ostdeutschland","","","",""
"Ja","2013","Westdeutschland","1363","","",""
"Ja","2013","Ostdeutschland","383","0.0936750669936079","0.0851160382833314","0.102234095703884"
"Nein","2013","Westdeutschland","13051","","",""
"Nein","2013","Ostdeutschland","4069","0.906324933006392","0.897765904296116","0.914883961716669"
"Ja","2014","Westdeutschland","","","",""
"Ja","2014","Ostdeutschland","","","",""
"Nein","2014","Westdeutschland","","","",""
"Nein","2014","Ostdeutschland","","","",""
"Ja","2015","Westdeutschland","1732","","",""
"Ja","2015","Ostdeutschland","452","0.0961077735745009","0.0881373394884769","0.104078207660525"
"Nein","2015","Westdeutschland","18055","","",""
"Nein","2015","Ostdeutschland","4801","0.903892226425499","0.895921792339475","0.911862660511523"
"Ja","2016","Westdeutschland","","","",""
"Ja","2016","Ostdeutschland","","","",""
"Nein","2016","Westdeutschland","","","",""
"Nein","2016","Ostdeutschland","","","",""
"Ja","2017","Westdeutschland","1894","","",""
"Ja","2017","Ostdeutschland","464","0.087459738399145","0.0800539330772923","0.0948655437209978"
"Nein","2017","Westdeutschland","19065","","",""
"Nein","2017","Ostdeutschland","5126","0.912540261600855","0.905134456279002","0.919946066922708"
"Ja","2018","Westdeutschland","","","",""
"Ja","2018","Ostdeutschland","","","",""
"Nein","2018","Westdeutschland","","","",""
"Nein","2018","Ostdeutschland","","","",""
"Ja","2019","Westdeutschland","1861","","",""
"Ja","2019","Ostdeutschland","457","0.0880557784867293","0.0806138830810244","0.0954976738924342"
"Nein","2019","Westdeutschland","18321","","",""
"Nein","2019","Ostdeutschland","5113","0.911944221513271","0.904502326107566","0.919386116918976"
