year,migback,pgisced97,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,No answer / don't know,No,0.99802,238,238,0.99235,1.00368
2009,No migration background,Primary Level,No,0.99104,64,64,0.96777,1.01431
2009,No migration background,Lower Secondary Level,Yes,0.11755,146,1282,0.09991,0.13519
2009,No migration background,Lower Secondary Level,No,0.88245,1136,1282,0.86481,0.90009
2009,No migration background,Upper Secondary Level,Yes,0.08385,683,8160,0.07783,0.08986
2009,No migration background,Upper Secondary Level,No,0.91615,7477,8160,0.91014,0.92217
2009,No migration background,Post-secondary Non-tertiary Level,No,0.97018,768,768,0.95814,0.98221
2009,No migration background,First Stage of Tertiary Education,Yes,0.08162,94,1206,0.06616,0.09708
2009,No migration background,First Stage of Tertiary Education,No,0.91838,1112,1206,0.90292,0.93384
2009,No migration background,Second Stage of Tertiary Education,Yes,0.05399,224,3656,0.04666,0.06131
2009,No migration background,Second Stage of Tertiary Education,No,0.94601,3432,3656,0.93869,0.95334
2009,Direct migration background,Primary Level,No,0.93874,80,80,0.88586,0.99162
2009,Direct migration background,Lower Secondary Level,Yes,0.13415,39,362,0.09900,0.16931
2009,Direct migration background,Lower Secondary Level,No,0.86585,323,362,0.83069,0.90100
2009,Direct migration background,Upper Secondary Level,Yes,0.05574,41,615,0.03759,0.07389
2009,Direct migration background,Upper Secondary Level,No,0.94426,574,615,0.92611,0.96241
2009,Direct migration background,Post-secondary Non-tertiary Level,No,0.94294,159,159,0.90677,0.97911
2009,Direct migration background,First Stage of Tertiary Education,No,0.95200,88,88,0.90708,0.99692
2009,Direct migration background,Second Stage of Tertiary Education,No,0.95774,279,279,0.93409,0.98139
2009,Indirect migration background,Lower Secondary Level,No,0.95905,142,142,0.92634,0.99176
2009,Indirect migration background,Upper Secondary Level,No,0.98612,285,285,0.97251,0.99973
2009,Indirect migration background,Post-secondary Non-tertiary Level,No,0.96861,36,36,0.91084,1.02638
2009,Indirect migration background,Second Stage of Tertiary Education,No,0.99421,86,86,0.97809,1.01034
2011,No migration background,No answer / don't know,No,0.99061,208,208,0.97747,1.00375
2011,No migration background,Primary Level,No,0.91819,108,108,0.86625,0.97012
2011,No migration background,Lower Secondary Level,Yes,0.12171,187,1614,0.10575,0.13767
2011,No migration background,Lower Secondary Level,No,0.87829,1427,1614,0.86233,0.89425
2011,No migration background,Upper Secondary Level,Yes,0.09534,864,9378,0.08940,0.10128
