syear,migback,sampreg,ple0012,proportion,n,lower_confidence,upper_confidence
2009,No migration background,West,2.0,0.5810855810855811,18254,0.5739281075277626,0.5882430546433995
2009,No migration background,East,2.0,0.22266622266622266,18254,0.21663079584039613,0.22870164949204919
2009,Direct migration background,West,2.0,0.08186258186258186,18254,0.07788541684571433,0.08583974687944938
2009,No migration background,West,1.0,0.04195804195804196,18254,0.03904948937600028,0.04486659454008364
2009,Indirect migration background,West,2.0,0.03663003663003663,18254,0.033904874937441265,0.039355198322632
2009,No migration background,East,1.0,0.023032523032523032,18254,0.02085637788822269,0.025208668176823375
2009,Direct migration background,West,1.0,0.00604950604950605,18254,0.004924591891249994,0.007174420207762106
2009,Direct migration background,East,2.0,0.003552003552003552,18254,0.0026889434046660104,0.004415063699341093
2009,Indirect migration background,East,2.0,0.0021645021645021645,18254,0.0014903071520232275,0.0028386971769811015
2009,Direct migration background,East,1.0,0.0006105006105006105,18254,0.0002521670453086265,0.0009688341756925945
2009,Indirect migration background,West,1.0,0.0003885003885003885,18254,0.00010261734377603623,0.0006743834332247408
2011,No migration background,West,2.0,0.5879489033502049,28898,0.5822738818989226,0.5936239248014872
2011,No migration background,East,2.0,0.20530248252590985,28898,0.2006453327353861,0.2099596323164336
2011,Direct migration background,West,2.0,0.08565919498674379,28898,0.0824324605561054,0.08888592941738219
2011,No migration background,West,1.0,0.04695107254760183,28898,0.044512124579317365,0.04939002051588629
2011,Indirect migration background,West,2.0,0.03552663292359605,28898,0.03339238768052254,0.03766087816666956
2011,No migration background,East,1.0,0.024584237165582067,28898,0.022798796462583263,0.02636967786858087
2011,Direct migration background,West,1.0,0.006893227283682815,28898,0.00593926446313693,0.007847190104228699
2011,Direct migration background,East,2.0,0.0037599421547360808,28898,0.0030542833578519057,0.004465600951620256
2011,Indirect migration background,East,2.0,0.0019763798505664015,28898,0.0014643116621536538,0.002488448038979149
2011,Direct migration background,East,1.0,0.000819474572186069,28898,0.000489552098772021,0.001149397045600117
2011,Indirect migration background,West,1.0,0.0005784526391901663,28898,0.0003012288880589694,0.0008556763903213632
2013,No migration background,West,2.0,0.5895791370719814,31177,0.5841187343055921,0.5950395398383707
2013,No migration background,East,2.0,0.20120852326937347,31177,0.19675833066350137,0.20565871587524556
2013,Direct migration background,West,2.0,0.07977313685995971,31177,0.07676557410291361,0.0827806996170058
2013,No migration background,West,1.0,0.05226333085974769,31177,0.049792851132226396,0.05473381058726899
2013,Indirect migration background,West,2.0,0.03424149263224849,31177,0.032222896089581635,0.03626008917491534
2013,No migration background,East,1.0,0.02814587087882964,31177,0.02630998028196512,0.02998176147569416
2013,Direct migration background,West,1.0,0.0073147461041026185,31177,0.006368848069007524,0.008260644139197712
2013,Direct migration background,East,2.0,0.003816389271705714,31177,0.0031319499704620135,0.004500828572949414
2013,Indirect migration background,East,2.0,0.001961200042404325,31177,0.0014700959314911505,0.0024523041533174995
2013,Indirect migration background,West,1.0,0.000848086504823492,31177,0.0005249583888940003,0.0011712146207529836
2013,Direct migration background,East,1.0,0.0007950810982720238,31177,0.00048220534658907995,0.0011079568499549675
2013,Indirect migration background,East,1.0,5.300540655146825e-05,31177,-2.7808757430113403e-05,0.0001338195705330499
2015,No migration background,West,2.0,0.527555910543131,27342,0.5216382453739155,0.5334735757123465
2015,No migration background,East,2.0,0.17276357827476038,27342,0.1682825070093041,0.17724464954021665
2015,Direct migration background,West,2.0,0.15451277955271567,27342,0.15022851127439332,0.158797047831038
2015,Indirect migration background,West,2.0,0.05714856230031949,27342,0.054397089523115255,0.05990003507752373
2015,No migration background,West,1.0,0.039896166134185305,27342,0.037576285627414024,0.04221604664095659
2015,No migration background,East,1.0,0.021086261980830672,27342,0.019383268668145513,0.02278925529351583
2015,Direct migration background,East,2.0,0.011421725239616614,27342,0.010162184215882417,0.01268126626335081
2015,Direct migration background,West,1.0,0.009584664536741214,27342,0.008429781323814615,0.010739547749667813
2015,Indirect migration background,East,2.0,0.0035543130990415336,27342,0.002848896639695434,0.004259729558387633
2015,Indirect migration background,West,1.0,0.0015175718849840256,27342,0.0010561631828077643,0.001978980587160287
2015,Direct migration background,East,1.0,0.0007987220447284345,27342,0.0004638605142453829,0.0011335835752114862
2015,Indirect migration background,East,1.0,0.0001597444089456869,27342,9.94190438172613e-06,0.00030954691350964765
2017,No migration background,West,2.0,0.5271384986251836,31140,0.5215931850024019,0.5326838122479652
2017,No migration background,East,2.0,0.17187088025914346,31140,0.16768056261178335,0.17606119790650357
2017,Direct migration background,West,2.0,0.15477042449809786,31140,0.15075318155369413,0.15878766744250158
2017,Indirect migration background,West,2.0,0.056423970771027156,31140,0.053861157053482864,0.05898678448857145
2017,No migration background,West,1.0,0.03936118121209838,31140,0.03720139435113444,0.041520968073062325
2017,No migration background,East,1.0,0.02090474217484651,31140,0.019315713813735837,0.02249377053595718
2017,Direct migration background,East,2.0,0.013145504538777355,31140,0.011880442106767584,0.014410566970787126
2017,Direct migration background,West,1.0,0.010245206975780631,31140,0.009126745725576785,0.011363668225984478
2017,Indirect migration background,East,2.0,0.003578289201099853,31140,0.002915071548730794,0.004241506853468913
2017,Indirect migration background,West,1.0,0.0015066480846736223,31140,0.0010758485078962144,0.0019374476614510301
2017,Direct migration background,East,1.0,0.0009039888508041734,31140,0.0005701922445239397,0.0012377854570844071
2017,Indirect migration background,East,1.0,0.00015066480846736224,31140,1.4341549382104496e-05,0.00028698806755262
2019,No migration background,West,2.0,0.5425942531872587,29565,0.5369154667961217,0.5482730395783958
2019,No migration background,East,2.0,0.17942219969589457,29565,0.17504833746061615,0.18379606193117298
2019,Direct migration background,West,2.0,0.13248079847167532,29565,0.12861638892555213,0.1363452080177985
2019,Indirect migration background,West,2.0,0.05477796405317946,29565,0.05218416103110772,0.0573717670752512
2019,No migration background,West,1.0,0.04171702600491247,29565,0.039437887671152014,0.04399616433867293
2019,No migration background,East,1.0,0.020546610004288667,29565,0.018929538942187116,0.022163681066390217
2019,Direct migration background,East,2.0,0.01118952005926157,29565,0.009990491880818037,0.012388548237705101
2019,Direct migration background,West,1.0,0.010175835315216968,29565,0.00903182170664986,0.011319848923784076
2019,Indirect migration background,East,2.0,0.004249678350033139,29565,0.0035081625871142587,0.00499119411295202
2019,Indirect migration background,West,1.0,0.0020273694880892043,29565,0.0015146345658024053,0.002540104410376003
2019,Direct migration background,East,1.0,0.0005458302467932473,29565,0.00027958775400873406,0.0008120727395777604
2019,Indirect migration background,East,1.0,0.00027291512339662363,29565,8.462754927721043e-05,0.00046120269751603687
2021,No migration background,West,2.0,0.4751343735323279,19931,0.4682013317438138,0.482067415320842
2021,Direct migration background,West,2.0,0.22428638522152064,19931,0.21849551690129237,0.2300772535417489
2021,No migration background,East,2.0,0.15122893075196994,19931,0.14625494826794214,0.15620291323599775
2021,Indirect migration background,West,2.0,0.04258205917653812,19931,0.03977884915539928,0.045385269197676964
2021,No migration background,West,1.0,0.03976412878985545,19931,0.03705127601463422,0.04247698156507668
2021,Direct migration background,East,2.0,0.026196315816938893,19931,0.023978898972991887,0.0284137326608859
2021,No migration background,East,1.0,0.01789907634503992,19931,0.016058368358094943,0.019739784331984898
2021,Direct migration background,West,1.0,0.015446433230705004,19931,0.013734348289390531,0.01715851817201948
2021,Indirect migration background,East,2.0,0.003965976099775609,19931,0.0030933993032750615,0.004838552896276157
2021,Indirect migration background,West,1.0,0.002035171945937484,19931,0.0014094956552069874,0.0026608482366679803
2021,Direct migration background,East,1.0,0.0012524135051922977,19931,0.0007614001901447963,0.001743426820239799
2021,Indirect migration background,East,1.0,0.00020873558419871627,19931,8.175528500240393e-06,0.00040929563989719215
